"iteration","cell_type","subcluster","module","module_size","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"T3","Astrocytes","8","black",391,TRUE,4.59413384836709e-07,5231,346,160,0.46242774566474,0.0305868858726821,"GO:0005829","GO:CC","cytosol",16860,380,"GO:0005737, GO:0110165"
"T3","Astrocytes","8","black",391,TRUE,6.53262553980324e-05,474,351,29,0.0826210826210826,0.0611814345991561,"GO:0003712","GO:MF","transcription coregulator activity",17314,341,"GO:0030674, GO:0140110"
"T3","Astrocytes","8","black",391,TRUE,0.00019699271434908,120,186,13,0.0698924731182796,0.108333333333333,"KEGG:04152","KEGG","AMPK signaling pathway",8484,286,"KEGG:00000"
"T3","Astrocytes","8","black",391,TRUE,0.00024925886285006,1007,351,45,0.128205128205128,0.0446871896722939,"GO:0060090","GO:MF","molecular adaptor activity",17314,8382,"GO:0003674"
"T3","Astrocytes","8","black",391,TRUE,0.00027662807212324,267,351,20,0.056980056980057,0.0749063670411985,"GO:0003713","GO:MF","transcription coactivator activity",17314,342,"GO:0003712"
"T3","Astrocytes","8","black",391,TRUE,0.00032044399444566,10755,346,262,0.757225433526012,0.0243607624360762,"GO:0005737","GO:CC","cytoplasm",16860,309,"GO:0005622, GO:0110165"
"T3","Astrocytes","8","black",391,TRUE,0.00042055258211705,860,351,40,0.113960113960114,0.0465116279069767,"GO:0030674","GO:MF","protein-macromolecule adaptor activity",17314,3987,"GO:0060090"
"T3","Astrocytes","8","black",391,TRUE,0.00058899908381015,13667,346,312,0.901734104046243,0.0228287114948416,"GO:0005622","GO:CC","intracellular anatomical structure",16860,237,"GO:0110165"
"T3","Astrocytes","8","black",391,TRUE,0.00076619091867899,2213,333,79,0.237237237237237,0.0356981473113421,"GO:0031324","GO:BP","negative regulation of cellular metabolic process",16178,7373,"GO:0009892, GO:0031323, GO:0044237, GO:0048523"
"T3","Astrocytes","8","black",391,TRUE,0.00137010614465309,221,351,17,0.0484330484330484,0.0769230769230769,"GO:0005096","GO:MF","GTPase activator activity",17314,1276,"GO:0008047, GO:0030695"
"T3","Astrocytes","8","black",391,TRUE,0.00217678863253032,2428,333,83,0.249249249249249,0.0341845140032949,"GO:0009892","GO:BP","negative regulation of metabolic process",16178,3790,"GO:0008152, GO:0019222, GO:0048519"
"T3","Astrocytes","8","black",391,TRUE,0.00496365973017654,2545,234,84,0.358974358974359,0.0330058939096267,"REAC:R-HSA-162582","REAC","Signal Transduction",10842,2144,"REAC:0000000"
"T3","Astrocytes","8","black",391,TRUE,0.00562114365267658,4113,333,122,0.366366366366366,0.0296620471675176,"GO:0048523","GO:BP","negative regulation of cellular process",16178,13231,"GO:0009987, GO:0048519, GO:0050794"
"T3","Astrocytes","8","black",391,TRUE,0.0057222903299594,2210,333,76,0.228228228228228,0.0343891402714932,"GO:0035556","GO:BP","intracellular signal transduction",16178,9405,"GO:0007165"
"T3","Astrocytes","8","black",391,TRUE,0.00644586096616927,121,186,11,0.0591397849462366,0.0909090909090909,"KEGG:04919","KEGG","Thyroid hormone signaling pathway",8484,376,"KEGG:00000"
"T3","Astrocytes","8","black",391,TRUE,0.00760501829638132,1110,333,46,0.138138138138138,0.0414414414414414,"GO:0010648","GO:BP","negative regulation of cell communication",16178,4344,"GO:0007154, GO:0010646, GO:0048523"
"T3","Astrocytes","8","black",391,TRUE,0.00856260490840573,1115,333,46,0.138138138138138,0.0412556053811659,"GO:0023057","GO:BP","negative regulation of signaling",16178,6879,"GO:0023051, GO:0023052, GO:0048519"
"T3","Astrocytes","8","black",391,TRUE,0.0111723881305341,1340,333,52,0.156156156156156,0.0388059701492537,"GO:0048585","GO:BP","negative regulation of response to stimulus",16178,13281,"GO:0048519, GO:0048583, GO:0050896"
"T3","Astrocytes","8","black",391,TRUE,0.0117083958656848,521,351,26,0.0740740740740741,0.0499040307101727,"GO:0008134","GO:MF","transcription factor binding",17314,1571,"GO:0005515"
"T3","Astrocytes","8","black",391,TRUE,0.0122661027676945,2256,333,76,0.228228228228228,0.0336879432624113,"GO:0010605","GO:BP","negative regulation of macromolecule metabolic process",16178,4302,"GO:0009892, GO:0043170, GO:0060255"
"T3","Astrocytes","8","black",391,TRUE,0.0125907653234108,2537,333,83,0.249249249249249,0.0327158060701616,"GO:0009966","GO:BP","regulation of signal transduction",16178,3842,"GO:0007165, GO:0010646, GO:0023051, GO:0048583"
"T3","Astrocytes","8","black",391,TRUE,0.0132917486952273,1064,333,44,0.132132132132132,0.0413533834586466,"GO:0009968","GO:BP","negative regulation of signal transduction",16178,3844,"GO:0007165, GO:0009966, GO:0010648, GO:0023057, GO:0048585"
"T3","Astrocytes","8","black",391,TRUE,0.0137666084178241,434,351,23,0.0655270655270655,0.0529953917050691,"GO:0030695","GO:MF","GTPase regulator activity",17314,3988,"GO:0060589"
"T3","Astrocytes","8","black",391,TRUE,0.0137666084178241,434,351,23,0.0655270655270655,0.0529953917050691,"GO:0060589","GO:MF","nucleoside-triphosphatase regulator activity",17314,8391,"GO:0030234"
