"iteration","cell_type","subcluster","module","module_size","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"T1","Astrocytes_microglia","23","black",146,TRUE,0.00092572502239963,12730,128,117,0.9140625,0.00919088766692852,"GO:0043226","GO:CC","organelle",16860,1878,"GO:0110165"
"T1","Astrocytes_microglia","23","black",146,TRUE,0.00415808292217102,11912,128,111,0.8671875,0.00931833445265279,"GO:0043229","GO:CC","intracellular organelle",16860,1881,"GO:0005622, GO:0043226"
"T1","Astrocytes_microglia","23","black",146,TRUE,0.00627396514865863,86,71,6,0.0845070422535211,0.0697674418604651,"KEGG:05210","KEGG","Colorectal cancer",8484,461,"KEGG:00000"
"T1","Astrocytes_microglia","23","black",146,TRUE,0.00637462594837872,11983,128,111,0.8671875,0.00926312275723942,"GO:0043227","GO:CC","membrane-bounded organelle",16860,1879,"GO:0043226"
"T1","Astrocytes_microglia","23","black",146,TRUE,0.0198700371445487,10755,128,102,0.796875,0.0094839609483961,"GO:0005737","GO:CC","cytoplasm",16860,309,"GO:0005622, GO:0110165"
"T1","Astrocytes_microglia","23","black",146,TRUE,0.0228540573789906,1015,128,20,0.15625,0.0197044334975369,"GO:0031967","GO:CC","organelle envelope",16860,1215,"GO:0031975, GO:0043227, GO:0043229"
"T1","Astrocytes_microglia","23","black",146,TRUE,0.0228540573789906,1015,128,20,0.15625,0.0197044334975369,"GO:0031975","GO:CC","envelope",16860,1222,"GO:0110165"
"T1","Astrocytes_microglia","23","black",146,TRUE,0.0338359995491097,76,71,5,0.0704225352112676,0.0657894736842105,"KEGG:05212","KEGG","Pancreatic cancer",8484,463,"KEGG:00000"
"T1","Astrocytes_microglia","23","black",146,TRUE,0.0338603827196624,13667,128,119,0.9296875,0.0087071047047633,"GO:0005622","GO:CC","intracellular anatomical structure",16860,237,"GO:0110165"
"T1","Astrocytes_microglia","23","black",146,TRUE,0.0371828457523271,10872,128,102,0.796875,0.00938189845474614,"GO:0043231","GO:CC","intracellular membrane-bounded organelle",16860,1883,"GO:0043227, GO:0043229"
"T1","Astrocytes_microglia","23","blue",334,TRUE,0.00022726592026476,2636,261,76,0.291187739463602,0.0288315629742033,"GO:0048731","GO:BP","system development",16178,13413,"GO:0007275, GO:0048856"
"T1","Astrocytes_microglia","23","blue",334,TRUE,0.00045282539495916,3134,261,85,0.325670498084291,0.0271218889597958,"GO:0007275","GO:BP","multicellular organism development",16178,2835,"GO:0032501, GO:0048856"
"T1","Astrocytes_microglia","23","blue",334,TRUE,0.00216010114018746,2545,180,69,0.383333333333333,0.0271119842829077,"REAC:R-HSA-162582","REAC","Signal Transduction",10842,2144,"REAC:0000000"
"T1","Astrocytes_microglia","23","blue",334,TRUE,0.00244903128125624,1821,261,56,0.21455938697318,0.0307523338824822,"GO:0009653","GO:BP","anatomical structure morphogenesis",16178,3608,"GO:0032502, GO:0048856"
"T1","Astrocytes_microglia","23","blue",334,TRUE,0.00508517603636465,545,261,25,0.0957854406130268,0.0458715596330275,"GO:0032989","GO:BP","cellular anatomical entity morphogenesis",16178,8249,"GO:0009653"
"T1","Astrocytes_microglia","23","blue",334,TRUE,0.0126915633802416,650,261,27,0.103448275862069,0.0415384615384615,"GO:0000902","GO:BP","cell morphogenesis",16178,242,"GO:0009653"
"T1","Astrocytes_microglia","23","blue",334,TRUE,0.0147768137307131,4214,261,100,0.383141762452107,0.0237304224015187,"GO:0048856","GO:BP","anatomical structure development",16178,13525,"GO:0032502"
"T1","Astrocytes_microglia","23","blue",334,TRUE,0.0164930656314719,4614,261,107,0.409961685823755,0.0231902904204595,"GO:0032502","GO:BP","developmental process",16178,7884,"GO:0008150"
"T1","Astrocytes_microglia","23","blue",334,TRUE,0.018145962917172,440,261,21,0.0804597701149425,0.0477272727272727,"GO:0048812","GO:BP","neuron projection morphogenesis",16178,13483,"GO:0031175, GO:0120039"
"T1","Astrocytes_microglia","23","blue",334,TRUE,0.0230447715412472,155,180,11,0.0611111111111111,0.0709677419354839,"REAC:R-HSA-9013148","REAC","CDC42 GTPase cycle",10842,261,"REAC:R-HSA-9012999"
