"iteration","cell_type","subcluster","module","module_size","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"T1","Connective_tissue_cells","21","antiquewhite4",79,TRUE,0.00502153716335386,11,67,3,0.0447761194029851,0.272727272727273,"GO:0031005","GO:MF","filamin binding",17314,4084,"GO:0008092"
"T1","Connective_tissue_cells","21","antiquewhite4",79,TRUE,0.00967572474619549,140,31,5,0.161290322580645,0.0357142857142857,"KEGG:04120","KEGG","Ubiquitin mediated proteolysis",8484,270,"KEGG:00000"
"T1","Connective_tissue_cells","21","antiquewhite4",79,TRUE,0.0283829782561357,674,67,11,0.164179104477612,0.0163204747774481,"GO:0016746","GO:MF","acyltransferase activity",17314,2944,"GO:0016740"
"T1","Connective_tissue_cells","21","bisque4",52,TRUE,2.01895792588045e-13,62,45,10,0.222222222222222,0.161290322580645,"GO:0015453","GO:MF","oxidoreduction-driven active transmembrane transporter activity",17314,2561,"GO:0015399"
"T1","Connective_tissue_cells","21","bisque4",52,TRUE,5.4358123597774e-13,160,45,13,0.288888888888889,0.08125,"GO:0009060","GO:BP","aerobic respiration",16178,3273,"GO:0045333"
"T1","Connective_tissue_cells","21","bisque4",52,TRUE,5.56260967651693e-13,221,31,14,0.451612903225806,0.0633484162895928,"KEGG:05208","KEGG","Chemical carcinogenesis - reactive oxygen species",8484,460,"KEGG:00000"
"T1","Connective_tissue_cells","21","bisque4",52,TRUE,1.13033005264587e-12,134,31,12,0.387096774193548,0.0895522388059701,"KEGG:00190","KEGG","Oxidative phosphorylation",8484,18,"KEGG:00000"
"T1","Connective_tissue_cells","21","bisque4",52,TRUE,1.37858583453307e-12,127,45,12,0.266666666666667,0.094488188976378,"GO:0006119","GO:BP","oxidative phosphorylation",16178,1997,"GO:0009060"
"T1","Connective_tissue_cells","21","bisque4",52,TRUE,1.74278001392482e-12,155,46,12,0.260869565217391,0.0774193548387097,"GO:0098800","GO:CC","inner mitochondrial membrane protein complex",16860,3262,"GO:0005743, GO:0098796, GO:0098798"
"T1","Connective_tissue_cells","21","bisque4",52,TRUE,3.94047761270019e-12,186,45,13,0.288888888888889,0.0698924731182796,"GO:0045333","GO:BP","cellular respiration",16178,11755,"GO:0015980"
"T1","Connective_tissue_cells","21","bisque4",52,TRUE,6.81192951008251e-12,87,46,10,0.217391304347826,0.114942528735632,"GO:0098803","GO:CC","respiratory chain complex",16860,3264,"GO:0070469, GO:0098796"
"T1","Connective_tissue_cells","21","bisque4",52,TRUE,1.21582091640489e-11,92,46,10,0.217391304347826,0.108695652173913,"GO:0005746","GO:CC","mitochondrial respirasome",16860,317,"GO:0005743, GO:0070469"
"T1","Connective_tissue_cells","21","bisque4",52,TRUE,1.51854985216511e-11,94,46,10,0.217391304347826,0.106382978723404,"GO:0070469","GO:CC","respirasome",16860,2497,"GO:0016020, GO:0110165"
"T1","Connective_tissue_cells","21","bisque4",52,TRUE,2.92371776856291e-11,127,34,11,0.323529411764706,0.0866141732283465,"REAC:R-HSA-163200","REAC","Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",10842,2015,"REAC:R-HSA-1428517"
"T1","Connective_tissue_cells","21","bisque4",52,TRUE,3.24883425809448e-11,82,45,10,0.222222222222222,0.121951219512195,"GO:0019646","GO:BP","aerobic electron transport chain",16178,6172,"GO:0006119, GO:0009060, GO:0022904"
"T1","Connective_tissue_cells","21","bisque4",52,TRUE,6.67941463681346e-11,108,45,10,0.222222222222222,0.0925925925925926,"GO:0009055","GO:MF","electron transfer activity",17314,2130,"GO:0003674"
"T1","Connective_tissue_cells","21","bisque4",52,TRUE,6.77393427498551e-11,88,45,10,0.222222222222222,0.113636363636364,"GO:0042775","GO:BP","mitochondrial ATP synthesis coupled electron transport",16178,10709,"GO:0042773"
