"iteration","cell_type","subcluster","module","module_size","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"T0","DA_like_neurons","11","blue",408,TRUE,3.73641967301443e-05,13,358,6,0.0167597765363128,0.461538461538462,"GO:0043209","GO:CC","myelin sheath",16860,1872,"GO:0110165"
"T0","DA_like_neurons","11","blue",408,TRUE,0.00028379027946506,67,343,11,0.032069970845481,0.164179104477612,"GO:0042982","GO:BP","amyloid precursor protein metabolic process",16178,10816,"GO:0019538"
"T0","DA_like_neurons","11","blue",408,TRUE,0.00036075887861499,42,343,9,0.0262390670553936,0.214285714285714,"GO:0034205","GO:BP","amyloid-beta formation",16178,8787,"GO:0042987, GO:0050435"
"T0","DA_like_neurons","11","blue",408,TRUE,0.00121311961455961,48,343,9,0.0262390670553936,0.1875,"GO:0050435","GO:BP","amyloid-beta metabolic process",16178,13614,"GO:0006518"
"T0","DA_like_neurons","11","blue",408,TRUE,0.0012418482124472,242,358,18,0.0502793296089385,0.0743801652892562,"GO:0044297","GO:CC","cell body",16860,2050,"GO:0110165"
"T0","DA_like_neurons","11","blue",408,TRUE,0.00144446461811359,5466,343,159,0.463556851311953,0.0290889132821076,"GO:0016043","GO:BP","cellular component organization",16178,5137,"GO:0071840"
"T0","DA_like_neurons","11","blue",408,TRUE,0.00278345806457076,444,358,25,0.0698324022346369,0.0563063063063063,"GO:0048471","GO:CC","perinuclear region of cytoplasm",16860,2231,"GO:0005737, GO:0110165"
"T0","DA_like_neurons","11","blue",408,TRUE,0.00292013966142312,53,343,9,0.0262390670553936,0.169811320754717,"GO:0042987","GO:BP","amyloid precursor protein catabolic process",16178,10821,"GO:0042982"
"T0","DA_like_neurons","11","blue",408,TRUE,0.00295489323657971,13667,358,320,0.893854748603352,0.0234140630716324,"GO:0005622","GO:CC","intracellular anatomical structure",16860,237,"GO:0110165"
"T0","DA_like_neurons","11","blue",408,TRUE,0.00444257588629923,216,358,16,0.0446927374301676,0.0740740740740741,"GO:0043025","GO:CC","neuronal cell body",16860,1848,"GO:0036477, GO:0044297"
"T0","DA_like_neurons","11","blue",408,TRUE,0.00640387092812136,8,358,4,0.0111731843575419,0.5,"GO:0034046","GO:MF","poly(G) binding",17314,4913,"GO:0070717"
"T0","DA_like_neurons","11","blue",408,TRUE,0.00743299627647678,5646,343,160,0.466472303206997,0.0283386468296139,"GO:0071840","GO:BP","cellular component organization or biogenesis",16178,17446,"GO:0009987"
"T0","DA_like_neurons","11","blue",408,TRUE,0.00772654289623343,14633,343,332,0.967930029154519,0.0226884439281077,"GO:0009987","GO:BP","cellular process",16178,3849,"GO:0008150"
"T0","DA_like_neurons","11","blue",408,TRUE,0.0078321238176899,9578,343,243,0.708454810495627,0.0253706410524118,"GO:0050794","GO:BP","regulation of cellular process",16178,13691,"GO:0009987, GO:0050789"
"T0","DA_like_neurons","11","blue",408,TRUE,0.00822782266545984,173,343,15,0.043731778425656,0.0867052023121387,"GO:0043484","GO:BP","regulation of RNA splicing",16178,11085,"GO:0008380, GO:0010468, GO:0051252"
"T0","DA_like_neurons","11","blue",408,TRUE,0.0102884612438001,534,358,27,0.0754189944134078,0.050561797752809,"GO:0050839","GO:MF","cell adhesion molecule binding",17314,7918,"GO:0005515"
"T0","DA_like_neurons","11","blue",408,TRUE,0.0127823775068666,10131,343,253,0.737609329446064,0.0249728555917481,"GO:0050789","GO:BP","regulation of biological process",16178,13687,"GO:0008150, GO:0065007"
"T0","DA_like_neurons","11","blue",408,TRUE,0.0128821069857541,10492,343,260,0.75801749271137,0.0247807853602745,"GO:0065007","GO:BP","biological regulation",16178,16384,"GO:0008150"
"T0","DA_like_neurons","11","blue",408,TRUE,0.0155637952568054,449,232,24,0.103448275862069,0.0534521158129176,"REAC:R-HSA-9012999","REAC","RHO GTPase cycle",10842,1796,"REAC:R-HSA-194315"
"T0","DA_like_neurons","11","blue",408,TRUE,0.0179641701039609,4,232,3,0.0129310344827586,0.75,"REAC:R-HSA-210455","REAC","Astrocytic Glutamate-Glutamine Uptake And Metabolism",10842,178,"REAC:R-HSA-112313"
"T0","DA_like_neurons","11","blue",408,TRUE,0.0179641701039609,4,232,3,0.0129310344827586,0.75,"REAC:R-HSA-112313","REAC","Neurotransmitter uptake and metabolism In glial cells",10842,1548,"REAC:R-HSA-112315"
"T0","DA_like_neurons","11","blue",408,TRUE,0.0196042451372441,13965,358,317,0.885474860335196,0.0226996061582528,"GO:0005515","GO:MF","protein binding",17314,1492,"GO:0005488"
"T0","DA_like_neurons","11","blue",408,TRUE,0.019959928880063,31,232,6,0.0258620689655172,0.193548387096774,"REAC:R-HSA-1251985","REAC","Nuclear signaling by ERBB4",10842,1572,"REAC:R-HSA-1236394"
"T0","DA_like_neurons","11","blue",408,TRUE,0.023474154266698,4410,358,126,0.35195530726257,0.0285714285714286,"GO:0031981","GO:CC","nuclear lumen",16860,1227,"GO:0005634, GO:0070013"
"T0","DA_like_neurons","11","blue",408,TRUE,0.0291230445009939,87,343,10,0.0291545189504373,0.114942528735632,"GO:0010232","GO:BP","vascular transport",16178,4052,"GO:0003018, GO:0006810"
"T0","DA_like_neurons","11","blue",408,TRUE,0.0291230445009939,87,343,10,0.0291545189504373,0.114942528735632,"GO:0150104","GO:BP","transport across blood-brain barrier",16178,20669,"GO:0010232"
"T0","DA_like_neurons","11","blue",408,TRUE,0.0320308066482214,578,343,29,0.0845481049562682,0.0501730103806228,"GO:0051129","GO:BP","negative regulation of cellular component organization",16178,13954,"GO:0016043, GO:0048523, GO:0051128"
"T0","DA_like_neurons","11","blue",408,TRUE,0.0421135926766484,41,343,7,0.0204081632653061,0.170731707317073,"GO:1990000","GO:BP","amyloid fibril formation",16178,25713,"GO:0019538, GO:0097435"
"T0","DA_like_neurons","11","blue",408,TRUE,0.0475274897269474,4752,343,136,0.396501457725948,0.0286195286195286,"GO:0048522","GO:BP","positive regulation of cellular process",16178,13230,"GO:0009987, GO:0048518, GO:0050794"
"T0","DA_like_neurons","11","blue",408,TRUE,0.0499389649251588,11912,358,283,0.790502793296089,0.023757555406313,"GO:0043229","GO:CC","intracellular organelle",16860,1881,"GO:0005622, GO:0043226"
"T0","DA_like_neurons","11","brown",191,TRUE,2.92770086691024e-15,679,157,36,0.229299363057325,0.053019145802651,"GO:0045202","GO:CC","synapse",16860,2140,"GO:0030054"
"T0","DA_like_neurons","11","brown",191,TRUE,1.48333790749834e-12,828,157,36,0.229299363057325,0.0434782608695652,"GO:0043005","GO:CC","neuron projection",16860,1846,"GO:0120025"
"T0","DA_like_neurons","11","brown",191,TRUE,1.10002735871932e-10,1411,157,44,0.280254777070064,0.0311835577604536,"GO:0030054","GO:CC","cell junction",16860,868,"GO:0110165"
"T0","DA_like_neurons","11","brown",191,TRUE,1.78118344418358e-10,283,146,21,0.143835616438356,0.0742049469964664,"GO:0050808","GO:BP","synapse organization",16178,13703,"GO:0034330"
"T0","DA_like_neurons","11","brown",191,TRUE,4.13359196408831e-10,532,146,27,0.184931506849315,0.0507518796992481,"GO:0034330","GO:BP","cell junction organization",16178,8863,"GO:0016043"
"T0","DA_like_neurons","11","brown",191,TRUE,7.04354132700292e-10,86,105,13,0.123809523809524,0.151162790697674,"REAC:R-HSA-6794362","REAC","Protein-protein interactions at synapses",10842,1767,"REAC:R-HSA-112316"
"T0","DA_like_neurons","11","brown",191,TRUE,1.50457732681555e-09,400,105,23,0.219047619047619,0.0575,"REAC:R-HSA-112316","REAC","Neuronal System",10842,1542,"REAC:0000000"
"T0","DA_like_neurons","11","brown",191,TRUE,1.02640045099021e-08,1661,146,45,0.308219178082192,0.0270921131848284,"GO:0007399","GO:BP","nervous system development",16178,2932,"GO:0048731"
"T0","DA_like_neurons","11","brown",191,TRUE,1.65031661106432e-08,440,146,23,0.157534246575342,0.0522727272727273,"GO:0048812","GO:BP","neuron projection morphogenesis",16178,13483,"GO:0031175, GO:0120039"
"T0","DA_like_neurons","11","brown",191,TRUE,3.25318678516243e-08,455,146,23,0.157534246575342,0.0505494505494506,"GO:0120039","GO:BP","plasma membrane bounded cell projection morphogenesis",16178,20036,"GO:0048858"
"T0","DA_like_neurons","11","brown",191,TRUE,3.88098538541396e-08,459,146,23,0.157534246575342,0.0501089324618736,"GO:0048858","GO:BP","cell projection morphogenesis",16178,13527,"GO:0000902, GO:0030030, GO:0032989"
"T0","DA_like_neurons","11","brown",191,TRUE,4.93315597369934e-08,756,146,29,0.198630136986301,0.0383597883597884,"GO:0048666","GO:BP","neuron development",16178,13349,"GO:0030182, GO:0048468"
"T0","DA_like_neurons","11","brown",191,TRUE,1.54108886725576e-07,344,157,19,0.121019108280255,0.0552325581395349,"GO:0030424","GO:CC","axon",16860,932,"GO:0043005"
"T0","DA_like_neurons","11","brown",191,TRUE,1.9780807417395e-07,545,146,24,0.164383561643836,0.0440366972477064,"GO:0032989","GO:BP","cellular anatomical entity morphogenesis",16178,8249,"GO:0009653"
"T0","DA_like_neurons","11","brown",191,TRUE,2.46716401742516e-07,650,146,26,0.178082191780822,0.04,"GO:0000902","GO:BP","cell morphogenesis",16178,242,"GO:0009653"
"T0","DA_like_neurons","11","brown",191,TRUE,2.59848399814565e-07,4716,157,80,0.509554140127389,0.0169635284139101,"GO:0005886","GO:CC","plasma membrane",16860,422,"GO:0016020, GO:0071944"
"T0","DA_like_neurons","11","brown",191,TRUE,2.88645486202103e-07,985,146,32,0.219178082191781,0.0324873096446701,"GO:0048699","GO:BP","generation of neurons",16178,13381,"GO:0022008"
"T0","DA_like_neurons","11","brown",191,TRUE,3.13486593033401e-07,930,146,31,0.212328767123288,0.0333333333333333,"GO:0030182","GO:BP","neuron differentiation",16178,6936,"GO:0030154, GO:0048699"
"T0","DA_like_neurons","11","brown",191,TRUE,3.69178407626076e-07,514,146,23,0.157534246575342,0.0447470817120623,"GO:0099536","GO:BP","synaptic signaling",16178,19666,"GO:0007267"
"T0","DA_like_neurons","11","brown",191,TRUE,6.95638824960099e-07,682,146,26,0.178082191780822,0.0381231671554252,"GO:0031175","GO:BP","neuron projection development",16178,7333,"GO:0048666, GO:0120036"
"T0","DA_like_neurons","11","brown",191,TRUE,1.36206506674962e-06,5156,157,83,0.528662420382166,0.0160977501939488,"GO:0071944","GO:CC","cell periphery",16860,2793,"GO:0110165"
"T0","DA_like_neurons","11","brown",191,TRUE,1.74629745136132e-06,1120,146,33,0.226027397260274,0.0294642857142857,"GO:0022008","GO:BP","neurogenesis",16178,6799,"GO:0007399, GO:0030154"
"T0","DA_like_neurons","11","brown",191,TRUE,1.7778691620799e-06,201,157,14,0.089171974522293,0.0696517412935323,"GO:0034703","GO:CC","cation channel complex",16860,1537,"GO:0034702"
"T0","DA_like_neurons","11","brown",191,TRUE,2.34720187983543e-06,125,146,12,0.0821917808219178,0.096,"GO:0007416","GO:BP","synapse assembly",16178,2945,"GO:0007399, GO:0034329, GO:0050808"
"T0","DA_like_neurons","11","brown",191,TRUE,2.46984918948159e-06,379,146,19,0.13013698630137,0.050131926121372,"GO:0048667","GO:BP","cell morphogenesis involved in neuron differentiation",16178,13350,"GO:0000902, GO:0048666"
"T0","DA_like_neurons","11","brown",191,TRUE,3.55186499326908e-06,1587,157,39,0.248407643312102,0.0245746691871456,"GO:0120025","GO:CC","plasma membrane bounded cell projection",16860,3443,"GO:0042995"
"T0","DA_like_neurons","11","brown",191,TRUE,3.57287791478625e-06,146,157,12,0.0764331210191083,0.0821917808219178,"GO:0097060","GO:CC","synaptic membrane",16860,2899,"GO:0045202, GO:0098590"
"T0","DA_like_neurons","11","brown",191,TRUE,3.85733970276723e-06,346,146,18,0.123287671232877,0.0520231213872832,"GO:0034329","GO:BP","cell junction assembly",16178,8862,"GO:0022607, GO:0034330"
"T0","DA_like_neurons","11","brown",191,TRUE,3.86642687409676e-06,193,146,14,0.0958904109589041,0.0725388601036269,"GO:0098742","GO:BP","cell-cell adhesion via plasma-membrane adhesion molecules",16178,19410,"GO:0098609"
"T0","DA_like_neurons","11","brown",191,TRUE,4.20544546601131e-06,252,157,15,0.0955414012738854,0.0595238095238095,"GO:0034702","GO:CC","monoatomic ion channel complex",16860,1536,"GO:1902495"
"T0","DA_like_neurons","11","brown",191,TRUE,4.60368935522847e-06,1602,157,39,0.248407643312102,0.0243445692883895,"GO:0042995","GO:CC","cell projection",16860,1845,"GO:0110165"
"T0","DA_like_neurons","11","brown",191,TRUE,5.27540392990377e-06,490,146,21,0.143835616438356,0.0428571428571429,"GO:0099537","GO:BP","trans-synaptic signaling",16178,19667,"GO:0099536"
"T0","DA_like_neurons","11","brown",191,TRUE,1.23710309508718e-05,450,157,19,0.121019108280255,0.0422222222222222,"GO:0036477","GO:CC","somatodendritic compartment",16860,1720,"GO:0110165"
"T0","DA_like_neurons","11","brown",191,TRUE,1.69927244601466e-05,2636,146,52,0.356164383561644,0.0197268588770865,"GO:0048731","GO:BP","system development",16178,13413,"GO:0007275, GO:0048856"
"T0","DA_like_neurons","11","brown",191,TRUE,2.32821144744499e-05,83,157,9,0.0573248407643312,0.108433734939759,"GO:0098978","GO:CC","glutamatergic synapse",16860,3316,"GO:0045202"
"T0","DA_like_neurons","11","brown",191,TRUE,2.48201819028107e-05,485,146,20,0.136986301369863,0.0412371134020619,"GO:0098916","GO:BP","anterograde trans-synaptic signaling",16178,19499,"GO:0099537"
"T0","DA_like_neurons","11","brown",191,TRUE,2.48201819028107e-05,485,146,20,0.136986301369863,0.0412371134020619,"GO:0007268","GO:BP","chemical synaptic transmission",16178,2829,"GO:0098916"
"T0","DA_like_neurons","11","brown",191,TRUE,3.61603916637408e-05,340,157,16,0.101910828025478,0.0470588235294118,"GO:0030425","GO:CC","dendrite",16860,933,"GO:0043005, GO:0097447"
"T0","DA_like_neurons","11","brown",191,TRUE,4.07636847873503e-05,343,157,16,0.101910828025478,0.0466472303206997,"GO:0097447","GO:CC","dendritic tree",16860,3005,"GO:0036477, GO:0043005"
"T0","DA_like_neurons","11","brown",191,TRUE,4.55314768764341e-05,76,146,9,0.0616438356164384,0.118421052631579,"GO:0035249","GO:BP","synaptic transmission, glutamatergic",16178,9228,"GO:0007268"
"T0","DA_like_neurons","11","brown",191,TRUE,7.5685150983798e-05,95,157,9,0.0573248407643312,0.0947368421052632,"GO:0045211","GO:CC","postsynaptic membrane",16860,2141,"GO:0097060, GO:0098794"
"T0","DA_like_neurons","11","brown",191,TRUE,8.19191328770993e-05,58,146,8,0.0547945205479452,0.137931034482759,"GO:0051963","GO:BP","regulation of synapse assembly",16178,14487,"GO:0007416, GO:0050807, GO:1901888"
"T0","DA_like_neurons","11","brown",191,TRUE,8.77903807504451e-05,363,157,16,0.101910828025478,0.0440771349862259,"GO:1990351","GO:CC","transporter complex",16860,3883,"GO:0032991"
"T0","DA_like_neurons","11","brown",191,TRUE,0.00012206513007881,282,157,14,0.089171974522293,0.049645390070922,"GO:0098794","GO:CC","postsynapse",16860,3257,"GO:0045202, GO:0110165"
"T0","DA_like_neurons","11","brown",191,TRUE,0.00015934804357083,63,146,8,0.0547945205479452,0.126984126984127,"GO:0007156","GO:BP","homophilic cell adhesion via plasma membrane adhesion molecules",16178,2751,"GO:0098742"
"T0","DA_like_neurons","11","brown",191,TRUE,0.000178316537668,261,146,14,0.0958904109589041,0.053639846743295,"GO:0050804","GO:BP","modulation of chemical synaptic transmission",16178,13699,"GO:0007268, GO:0099177"
"T0","DA_like_neurons","11","brown",191,TRUE,0.00018619282568917,337,157,15,0.0955414012738854,0.0445103857566766,"GO:1902495","GO:CC","transmembrane transporter complex",16860,3636,"GO:0098796, GO:1990351"
"T0","DA_like_neurons","11","brown",191,TRUE,0.00018694021790241,262,146,14,0.0958904109589041,0.0534351145038168,"GO:0099177","GO:BP","regulation of trans-synaptic signaling",16178,19636,"GO:0010646, GO:0023051, GO:0099537"
"T0","DA_like_neurons","11","brown",191,TRUE,0.00030763851836565,124,146,10,0.0684931506849315,0.0806451612903226,"GO:0050807","GO:BP","regulation of synapse organization",16178,13702,"GO:0050803, GO:0050808, GO:0051128"
"T0","DA_like_neurons","11","brown",191,TRUE,0.00034735498642425,1185,146,30,0.205479452054795,0.0253164556962025,"GO:0120036","GO:BP","plasma membrane bounded cell projection organization",16178,20035,"GO:0030030"
"T0","DA_like_neurons","11","brown",191,TRUE,0.00036839207394749,1612,146,36,0.246575342465753,0.0223325062034739,"GO:0032879","GO:BP","regulation of localization",16178,8155,"GO:0050789, GO:0051179"
"T0","DA_like_neurons","11","brown",191,TRUE,0.00038116522958776,19,105,5,0.0476190476190476,0.263157894736842,"REAC:R-HSA-388844","REAC","Receptor-type tyrosine-protein phosphatases",10842,1894,"REAC:R-HSA-6794362"
"T0","DA_like_neurons","11","brown",191,TRUE,0.00040635858638891,1262,146,31,0.212328767123288,0.0245641838351822,"GO:0007267","GO:BP","cell-cell signaling",16178,2828,"GO:0007154, GO:0023052"
"T0","DA_like_neurons","11","brown",191,TRUE,0.00044617931759878,129,146,10,0.0684931506849315,0.0775193798449612,"GO:0050803","GO:BP","regulation of synapse structure or activity",16178,13698,"GO:0065008"
"T0","DA_like_neurons","11","brown",191,TRUE,0.00046369000671589,1201,146,30,0.205479452054795,0.0249791840133222,"GO:0030030","GO:BP","cell projection organization",16178,6891,"GO:0016043"
"T0","DA_like_neurons","11","brown",191,TRUE,0.00048394815095916,56,105,7,0.0666666666666667,0.125,"REAC:R-HSA-6794361","REAC","Neurexins and neuroligins",10842,1539,"REAC:R-HSA-6794362"
"T0","DA_like_neurons","11","brown",191,TRUE,0.00051217405026092,165,146,11,0.0753424657534247,0.0666666666666667,"GO:0097485","GO:BP","neuron projection guidance",16178,19215,"GO:0031175, GO:0048812"
"T0","DA_like_neurons","11","brown",191,TRUE,0.00051217405026092,165,146,11,0.0753424657534247,0.0666666666666667,"GO:0007411","GO:BP","axon guidance",16178,2940,"GO:0007409, GO:0097485"
