"iteration","cell_type","subcluster","module","module_size","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"T4","DA_neurons","6","black",473,TRUE,6.60931505473117e-10,434,436,40,0.0917431192660551,0.0921658986175115,"GO:0060589","GO:MF","nucleoside-triphosphatase regulator activity",17314,8391,"GO:0030234"
"T4","DA_neurons","6","black",473,TRUE,6.60931505473117e-10,434,436,40,0.0917431192660551,0.0921658986175115,"GO:0030695","GO:MF","GTPase regulator activity",17314,3988,"GO:0060589"
"T4","DA_neurons","6","black",473,TRUE,3.0978347251968e-08,449,290,39,0.13448275862069,0.0868596881959911,"REAC:R-HSA-9012999","REAC","RHO GTPase cycle",10842,1796,"REAC:R-HSA-194315"
"T4","DA_neurons","6","black",473,TRUE,4.20260151335432e-08,5231,442,200,0.452488687782805,0.0382336073408526,"GO:0005829","GO:CC","cytosol",16860,380,"GO:0005737, GO:0110165"
"T4","DA_neurons","6","black",473,TRUE,9.83284355805432e-08,650,430,49,0.113953488372093,0.0753846153846154,"GO:0000902","GO:BP","cell morphogenesis",16178,242,"GO:0009653"
"T4","DA_neurons","6","black",473,TRUE,2.68691642436993e-07,455,430,39,0.0906976744186047,0.0857142857142857,"GO:0120039","GO:BP","plasma membrane bounded cell projection morphogenesis",16178,20036,"GO:0048858"
"T4","DA_neurons","6","black",473,TRUE,3.48175015189088e-07,459,430,39,0.0906976744186047,0.0849673202614379,"GO:0048858","GO:BP","cell projection morphogenesis",16178,13527,"GO:0000902, GO:0030030, GO:0032989"
"T4","DA_neurons","6","black",473,TRUE,3.59170835854608e-07,1102,436,63,0.144495412844037,0.0571687840290381,"GO:0030234","GO:MF","enzyme regulator activity",17314,3856,"GO:0098772"
"T4","DA_neurons","6","black",473,TRUE,4.03842633416639e-07,545,430,43,0.1,0.0788990825688073,"GO:0032989","GO:BP","cellular anatomical entity morphogenesis",16178,8249,"GO:0009653"
"T4","DA_neurons","6","black",473,TRUE,4.70546419435424e-07,282,442,28,0.0633484162895928,0.099290780141844,"GO:0098794","GO:CC","postsynapse",16860,3257,"GO:0045202, GO:0110165"
"T4","DA_neurons","6","black",473,TRUE,4.71155803646068e-07,828,442,53,0.119909502262443,0.0640096618357488,"GO:0043005","GO:CC","neuron projection",16860,1846,"GO:0120025"
"T4","DA_neurons","6","black",473,TRUE,4.94509634279768e-07,13667,442,403,0.911764705882353,0.0294870856808371,"GO:0005622","GO:CC","intracellular anatomical structure",16860,237,"GO:0110165"
"T4","DA_neurons","6","black",473,TRUE,7.40211790602472e-07,93,430,17,0.0395348837209302,0.182795698924731,"GO:0048813","GO:BP","dendrite morphogenesis",16178,13484,"GO:0016358, GO:0048667, GO:0048812"
"T4","DA_neurons","6","black",473,TRUE,8.2930454052457e-07,1661,430,87,0.202325581395349,0.0523780854906683,"GO:0007399","GO:BP","nervous system development",16178,2932,"GO:0048731"
"T4","DA_neurons","6","black",473,TRUE,1.0775107573911e-06,679,442,46,0.104072398190045,0.0677466863033873,"GO:0045202","GO:CC","synapse",16860,2140,"GO:0030054"
"T4","DA_neurons","6","black",473,TRUE,1.40964922324461e-06,440,430,37,0.086046511627907,0.0840909090909091,"GO:0048812","GO:BP","neuron projection morphogenesis",16178,13483,"GO:0031175, GO:0120039"
"T4","DA_neurons","6","black",473,TRUE,1.61855120837154e-06,682,430,48,0.111627906976744,0.0703812316715543,"GO:0031175","GO:BP","neuron projection development",16178,7333,"GO:0048666, GO:0120036"
"T4","DA_neurons","6","black",473,TRUE,3.89422151580903e-06,717,290,47,0.162068965517241,0.0655509065550907,"REAC:R-HSA-9716542","REAC","Signaling by Rho GTPases, Miro GTPases and RHOBTB3",10842,2235,"REAC:R-HSA-162582"
"T4","DA_neurons","6","black",473,TRUE,4.05810842630012e-06,1120,430,65,0.151162790697674,0.0580357142857143,"GO:0022008","GO:BP","neurogenesis",16178,6799,"GO:0007399, GO:0030154"
"T4","DA_neurons","6","black",473,TRUE,4.50103813701713e-06,221,436,23,0.0527522935779817,0.104072398190045,"GO:0005096","GO:MF","GTPase activator activity",17314,1276,"GO:0008047, GO:0030695"
"T4","DA_neurons","6","black",473,TRUE,4.55996259864406e-06,10755,442,336,0.760180995475113,0.0312412831241283,"GO:0005737","GO:CC","cytoplasm",16860,309,"GO:0005622, GO:0110165"
"T4","DA_neurons","6","black",473,TRUE,5.74364060667307e-06,756,430,50,0.116279069767442,0.0661375661375661,"GO:0048666","GO:BP","neuron development",16178,13349,"GO:0030182, GO:0048468"
"T4","DA_neurons","6","black",473,TRUE,5.83705153528764e-06,702,290,46,0.158620689655172,0.0655270655270655,"REAC:R-HSA-194315","REAC","Signaling by Rho GTPases",10842,2234,"REAC:R-HSA-9716542"
"T4","DA_neurons","6","black",473,TRUE,6.03022840125019e-06,450,436,34,0.0779816513761468,0.0755555555555556,"GO:0019904","GO:MF","protein domain specific binding",17314,3733,"GO:0005515"
"T4","DA_neurons","6","black",473,TRUE,6.26488552135163e-06,1988,430,96,0.223255813953488,0.0482897384305835,"GO:0051128","GO:BP","regulation of cellular component organization",16178,13953,"GO:0016043, GO:0050794"
"T4","DA_neurons","6","black",473,TRUE,6.86904094880073e-06,150,430,20,0.0465116279069767,0.133333333333333,"GO:0016358","GO:BP","dendrite development",16178,5283,"GO:0031175, GO:0048856"
"T4","DA_neurons","6","black",473,TRUE,1.50292525167943e-05,1602,442,78,0.176470588235294,0.048689138576779,"GO:0042995","GO:CC","cell projection",16860,1845,"GO:0110165"
"T4","DA_neurons","6","black",473,TRUE,1.59408002658178e-05,127,430,18,0.0418604651162791,0.141732283464567,"GO:0043547","GO:BP","positive regulation of GTPase activity",16178,11119,"GO:0043087, GO:0051345"
"T4","DA_neurons","6","black",473,TRUE,1.8680945275359e-05,1411,442,71,0.160633484162896,0.0503189227498228,"GO:0030054","GO:CC","cell junction",16860,868,"GO:0110165"
"T4","DA_neurons","6","black",473,TRUE,2.04381325517897e-05,985,430,58,0.134883720930233,0.0588832487309645,"GO:0048699","GO:BP","generation of neurons",16178,13381,"GO:0022008"
"T4","DA_neurons","6","black",473,TRUE,2.156327047947e-05,1587,442,77,0.17420814479638,0.0485192186515438,"GO:0120025","GO:CC","plasma membrane bounded cell projection",16860,3443,"GO:0042995"
"T4","DA_neurons","6","black",473,TRUE,2.49718941992056e-05,5250,430,195,0.453488372093023,0.0371428571428571,"GO:0048518","GO:BP","positive regulation of biological process",16178,13226,"GO:0008150, GO:0050789"
"T4","DA_neurons","6","black",473,TRUE,4.22681077506047e-05,183,430,21,0.0488372093023256,0.114754098360656,"GO:0043087","GO:BP","regulation of GTPase activity",16178,10870,"GO:0051336"
"T4","DA_neurons","6","black",473,TRUE,4.47262928092368e-05,930,430,55,0.127906976744186,0.0591397849462366,"GO:0030182","GO:BP","neuron differentiation",16178,6936,"GO:0030154, GO:0048699"
"T4","DA_neurons","6","black",473,TRUE,5.25206515471063e-05,2804,430,120,0.27906976744186,0.0427960057061341,"GO:0023051","GO:BP","regulation of signaling",16178,6876,"GO:0023052, GO:0050789"
"T4","DA_neurons","6","black",473,TRUE,5.68077653026816e-05,1007,436,54,0.123853211009174,0.0536246276067527,"GO:0060090","GO:MF","molecular adaptor activity",17314,8382,"GO:0003674"
"T4","DA_neurons","6","black",473,TRUE,6.19720133236294e-05,2812,430,120,0.27906976744186,0.042674253200569,"GO:0010646","GO:BP","regulation of cell communication",16178,4342,"GO:0007154, GO:0050794"
