"iteration","cell_type","subcluster","module","module_size","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"T1","Endothelial_cells","9","black",256,TRUE,0.00287064406191337,45,116,6,0.0517241379310345,0.133333333333333,"KEGG:02010","KEGG","ABC transporters",8484,199,"KEGG:00000"
"T1","Endothelial_cells","9","black",256,TRUE,0.0151462838749454,10492,225,176,0.782222222222222,0.0167746854746474,"GO:0065007","GO:BP","biological regulation",16178,16384,"GO:0008150"
"T1","Endothelial_cells","9","black",256,TRUE,0.0211676622727607,101,225,9,0.04,0.0891089108910891,"GO:0015918","GO:BP","sterol transport",16178,5073,"GO:0006869, GO:0015850"
"T1","Endothelial_cells","9","black",256,TRUE,0.0214437684644736,10131,225,171,0.76,0.016878886585727,"GO:0050789","GO:BP","regulation of biological process",16178,13687,"GO:0008150, GO:0065007"
"T1","Endothelial_cells","9","black",256,TRUE,0.0247640125194707,52,228,6,0.0263157894736842,0.115384615384615,"GO:0015485","GO:MF","cholesterol binding",17314,2575,"GO:0032934, GO:0043178"
"T1","Endothelial_cells","9","black",256,TRUE,0.0320338238077304,18,228,4,0.0175438596491228,0.222222222222222,"GO:0008525","GO:MF","phosphatidylcholine transporter activity",17314,1778,"GO:0005548"
"T1","Endothelial_cells","9","black",256,TRUE,0.0391361061084887,61,225,7,0.0311111111111111,0.114754098360656,"GO:0046470","GO:BP","phosphatidylcholine metabolic process",16178,12583,"GO:0006650, GO:1901564"
"T1","Endothelial_cells","9","black",256,TRUE,0.0417888273893962,57,228,6,0.0263157894736842,0.105263157894737,"GO:0003678","GO:MF","DNA helicase activity",17314,325,"GO:0004386, GO:0008094"
"T1","Endothelial_cells","9","black",256,TRUE,0.0481574293505717,5,225,3,0.0133333333333333,0.6,"GO:0006657","GO:BP","CDP-choline pathway",16178,2393,"GO:0006656"
"T1","Endothelial_cells","9","blue",531,TRUE,6.56484814510816e-08,455,429,40,0.0932400932400932,0.0879120879120879,"GO:0120039","GO:BP","plasma membrane bounded cell projection morphogenesis",16178,20036,"GO:0048858"
"T1","Endothelial_cells","9","blue",531,TRUE,8.59195407535243e-08,459,429,40,0.0932400932400932,0.0871459694989107,"GO:0048858","GO:BP","cell projection morphogenesis",16178,13527,"GO:0000902, GO:0030030, GO:0032989"
"T1","Endothelial_cells","9","blue",531,TRUE,3.16292347082083e-07,379,429,35,0.0815850815850816,0.0923482849604222,"GO:0048667","GO:BP","cell morphogenesis involved in neuron differentiation",16178,13350,"GO:0000902, GO:0048666"
"T1","Endothelial_cells","9","blue",531,TRUE,3.53937524085366e-07,440,429,38,0.0885780885780886,0.0863636363636364,"GO:0048812","GO:BP","neuron projection morphogenesis",16178,13483,"GO:0031175, GO:0120039"
"T1","Endothelial_cells","9","blue",531,TRUE,3.75031179811997e-07,545,429,43,0.1002331002331,0.0788990825688073,"GO:0032989","GO:BP","cellular anatomical entity morphogenesis",16178,8249,"GO:0009653"
"T1","Endothelial_cells","9","blue",531,TRUE,4.82544317712097e-07,682,429,49,0.114219114219114,0.0718475073313783,"GO:0031175","GO:BP","neuron projection development",16178,7333,"GO:0048666, GO:0120036"
