"iteration","cell_type","subcluster","module","module_size","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"T1","GABA_like_neurons","14","black",1700,TRUE,3.48526292182683e-13,13667,1299,1155,0.889145496535797,0.0845101338991732,"GO:0005622","GO:CC","intracellular anatomical structure",16860,237,"GO:0110165"
"T1","GABA_like_neurons","14","black",1700,TRUE,7.22715376337584e-11,11912,1299,1029,0.792147806004619,0.0863834788448623,"GO:0043229","GO:CC","intracellular organelle",16860,1881,"GO:0005622, GO:0043226"
"T1","GABA_like_neurons","14","black",1700,TRUE,2.75630359057869e-10,1199,1299,161,0.123941493456505,0.134278565471226,"GO:0140513","GO:CC","nuclear protein-containing complex",16860,3557,"GO:0005634, GO:0032991"
"T1","GABA_like_neurons","14","black",1700,TRUE,1.61784271868226e-09,12730,1299,1079,0.830638953040801,0.0847604084838963,"GO:0043226","GO:CC","organelle",16860,1878,"GO:0110165"
"T1","GABA_like_neurons","14","black",1700,TRUE,3.76535631787613e-08,4111,1299,414,0.318706697459584,0.100705424470932,"GO:0005654","GO:CC","nucleoplasm",16860,252,"GO:0031981, GO:0110165"
"T1","GABA_like_neurons","14","black",1700,TRUE,2.81277081842158e-07,4410,1299,434,0.334103156274057,0.0984126984126984,"GO:0031981","GO:CC","nuclear lumen",16860,1227,"GO:0005634, GO:0070013"
"T1","GABA_like_neurons","14","black",1700,TRUE,1.77911292749761e-06,4505,1262,446,0.353407290015848,0.0990011098779134,"GO:0090304","GO:BP","nucleic acid metabolic process",16178,18717,"GO:0006139, GO:0043170"
"T1","GABA_like_neurons","14","black",1700,TRUE,2.95526324583386e-06,364,1262,63,0.0499207606973059,0.173076923076923,"GO:0044782","GO:BP","cilium organization",16178,11543,"GO:0006996, GO:0120036"
"T1","GABA_like_neurons","14","black",1700,TRUE,6.47528892946234e-06,11983,1299,1008,0.775981524249423,0.0841191688224985,"GO:0043227","GO:CC","membrane-bounded organelle",16860,1879,"GO:0043226"
"T1","GABA_like_neurons","14","black",1700,TRUE,6.69001979824137e-06,6709,1299,611,0.47036181678214,0.0910716947384111,"GO:0005634","GO:CC","nucleus",16860,243,"GO:0043231"
"T1","GABA_like_neurons","14","black",1700,TRUE,7.10100840870897e-06,338,1262,59,0.0467511885895404,0.174556213017751,"GO:0060271","GO:BP","cilium assembly",16178,14954,"GO:0044782, GO:0070925, GO:0120031"
"T1","GABA_like_neurons","14","black",1700,TRUE,8.37568469288823e-06,10872,1299,927,0.713625866050808,0.0852649006622517,"GO:0043231","GO:CC","intracellular membrane-bounded organelle",16860,1883,"GO:0043227, GO:0043229"
"T1","GABA_like_neurons","14","black",1700,TRUE,3.59404421419627e-05,38,852,15,0.0176056338028169,0.394736842105263,"REAC:R-HSA-159231","REAC","Transport of Mature mRNA Derived from an Intronless Transcript",10842,2508,"REAC:R-HSA-159234"
"T1","GABA_like_neurons","14","black",1700,TRUE,5.41948754049797e-05,39,852,15,0.0176056338028169,0.384615384615385,"REAC:R-HSA-159234","REAC","Transport of Mature mRNAs Derived from Intronless Transcripts",10842,2510,"REAC:R-HSA-72202"
"T1","GABA_like_neurons","14","black",1700,TRUE,8.76598119493561e-05,175,1348,35,0.0259643916913947,0.2,"GO:0140030","GO:MF","modification-dependent protein binding",17314,10390,"GO:0005515"
"T1","GABA_like_neurons","14","black",1700,TRUE,8.85736090226777e-05,5468,1299,504,0.387990762124711,0.0921726408193124,"GO:0031974","GO:CC","membrane-enclosed lumen",16860,1221,"GO:0110165"
"T1","GABA_like_neurons","14","black",1700,TRUE,8.85736090226777e-05,5468,1299,504,0.387990762124711,0.0921726408193124,"GO:0043233","GO:CC","organelle lumen",16860,1885,"GO:0031974, GO:0043226"
"T1","GABA_like_neurons","14","black",1700,TRUE,8.85736090226777e-05,5468,1299,504,0.387990762124711,0.0921726408193124,"GO:0070013","GO:CC","intracellular organelle lumen",16860,2399,"GO:0043229, GO:0043233"
"T1","GABA_like_neurons","14","black",1700,TRUE,0.00014265929766689,739,1299,95,0.0731331793687452,0.128552097428958,"GO:0016604","GO:CC","nuclear body",16860,765,"GO:0005654, GO:0110165"
"T1","GABA_like_neurons","14","black",1700,TRUE,0.00027539918298717,7881,1262,703,0.557052297939778,0.0892018779342723,"GO:0043170","GO:BP","macromolecule metabolic process",16178,10919,"GO:0071704"
"T1","GABA_like_neurons","14","black",1700,TRUE,0.0005308307230627,4977,1262,469,0.371632329635499,0.0942334739803094,"GO:0006139","GO:BP","nucleobase-containing compound metabolic process",16178,2004,"GO:0006725, GO:0034641, GO:0044238, GO:0046483, GO:1901360"
"T1","GABA_like_neurons","14","black",1700,TRUE,0.00053934661002795,862,1262,109,0.0863708399366086,0.126450116009281,"GO:0070925","GO:BP","organelle assembly",16178,16870,"GO:0006996, GO:0022607"
"T1","GABA_like_neurons","14","black",1700,TRUE,0.00082035315929915,4027,1262,389,0.30824088748019,0.0965979637447231,"GO:0016070","GO:BP","RNA metabolic process",16178,5158,"GO:0090304"
"T1","GABA_like_neurons","14","black",1700,TRUE,0.0009702456558811,31,852,12,0.0140845070422535,0.387096774193548,"REAC:R-HSA-159227","REAC","Transport of the SLBP independent Mature mRNA",10842,2525,"REAC:R-HSA-159234"
"T1","GABA_like_neurons","14","black",1700,TRUE,0.00111081436565901,1007,1348,119,0.0882789317507418,0.118172790466733,"GO:0060090","GO:MF","molecular adaptor activity",17314,8382,"GO:0003674"
"T1","GABA_like_neurons","14","black",1700,TRUE,0.00122139365592775,201,852,36,0.0422535211267606,0.17910447761194,"REAC:R-HSA-5617833","REAC","Cilium Assembly",10842,353,"REAC:R-HSA-1852241"
"T1","GABA_like_neurons","14","black",1700,TRUE,0.00140563130075093,8726,1262,763,0.60459587955626,0.087439834975934,"GO:0044238","GO:BP","primary metabolic process",16178,11300,"GO:0008152"
"T1","GABA_like_neurons","14","black",1700,TRUE,0.00144034778968033,1658,1299,176,0.135488837567359,0.106151990349819,"GO:1902494","GO:CC","catalytic complex",16860,3635,"GO:0032991"
"T1","GABA_like_neurons","14","black",1700,TRUE,0.00144212920943013,32,852,12,0.0140845070422535,0.375,"REAC:R-HSA-159230","REAC","Transport of the SLBP Dependant Mature mRNA",10842,2524,"REAC:R-HSA-159234"
"T1","GABA_like_neurons","14","black",1700,TRUE,0.00156145069313039,95,1262,23,0.0182250396196513,0.242105263157895,"GO:0031123","GO:BP","RNA 3'-end processing",16178,7293,"GO:0006396"
"T1","GABA_like_neurons","14","black",1700,TRUE,0.00159747881892031,1196,1299,134,0.103156274056967,0.112040133779264,"GO:0015630","GO:CC","microtubule cytoskeleton",16860,708,"GO:0005856"
"T1","GABA_like_neurons","14","black",1700,TRUE,0.0017941088490261,860,1348,104,0.0771513353115727,0.12093023255814,"GO:0030674","GO:MF","protein-macromolecule adaptor activity",17314,3987,"GO:0060090"
"T1","GABA_like_neurons","14","black",1700,TRUE,0.00186232978896717,3592,1262,350,0.277337559429477,0.0974387527839644,"GO:0019219","GO:BP","regulation of nucleobase-containing compound metabolic process",16178,5786,"GO:0006139, GO:0031323, GO:0051171, GO:0080090"
"T1","GABA_like_neurons","14","black",1700,TRUE,0.00195892270096673,793,1262,100,0.0792393026941363,0.126103404791929,"GO:0006974","GO:BP","DNA damage response",16178,2632,"GO:0033554"
"T1","GABA_like_neurons","14","black",1700,TRUE,0.00200558759260062,498,1262,70,0.0554675118858954,0.140562248995984,"GO:0120031","GO:BP","plasma membrane bounded cell projection assembly",16178,20030,"GO:0030031, GO:0120036"
"T1","GABA_like_neurons","14","black",1700,TRUE,0.00227963350071225,293,852,46,0.0539906103286385,0.156996587030717,"REAC:R-HSA-1852241","REAC","Organelle biogenesis and maintenance",10842,1596,"REAC:0000000"
"T1","GABA_like_neurons","14","black",1700,TRUE,0.0024251985143775,8309,1262,729,0.577654516640254,0.0877361896738476,"GO:0006807","GO:BP","nitrogen compound metabolic process",16178,2516,"GO:0008152"
"T1","GABA_like_neurons","14","black",1700,TRUE,0.00293589009431242,5130,1262,476,0.377179080824089,0.0927875243664717,"GO:0046483","GO:BP","heterocycle metabolic process",16178,12593,"GO:0044237"
"T1","GABA_like_neurons","14","black",1700,TRUE,0.00296924939589683,5155,1262,478,0.378763866877971,0.092725509214355,"GO:0006725","GO:BP","cellular aromatic compound metabolic process",16178,2457,"GO:0044237"
"T1","GABA_like_neurons","14","black",1700,TRUE,0.00334526451310879,1518,852,164,0.192488262910798,0.108036890645586,"REAC:R-HSA-74160","REAC","Gene expression (Transcription)",10842,1011,"REAC:0000000"
"T1","GABA_like_neurons","14","black",1700,TRUE,0.00337127366669888,612,1262,81,0.0641838351822504,0.132352941176471,"GO:0016071","GO:BP","mRNA metabolic process",16178,5159,"GO:0016070"
"T1","GABA_like_neurons","14","black",1700,TRUE,0.00446261834522298,509,1262,70,0.0554675118858954,0.137524557956778,"GO:0030031","GO:BP","cell projection assembly",16178,6892,"GO:0022607, GO:0030030"
"T1","GABA_like_neurons","14","black",1700,TRUE,0.00552774987061125,742,1299,89,0.0685142417244034,0.119946091644205,"GO:0005815","GO:CC","microtubule organizing center",16860,368,"GO:0015630, GO:0110165"
"T1","GABA_like_neurons","14","black",1700,TRUE,0.00826375165791372,877,1299,101,0.077752117013087,0.115165336374002,"GO:0140535","GO:CC","intracellular protein-containing complex",16860,3560,"GO:0032991"
"T1","GABA_like_neurons","14","black",1700,TRUE,0.00857445180002078,43,852,13,0.0152582159624413,0.302325581395349,"REAC:R-HSA-4570464","REAC","SUMOylation of RNA binding proteins",10842,2103,"REAC:R-HSA-3108232"
"T1","GABA_like_neurons","14","black",1700,TRUE,0.00958347282441009,5725,1299,508,0.391070053887606,0.0887336244541485,"GO:0032991","GO:CC","protein-containing complex",16860,1340,"GO:0005575"
"T1","GABA_like_neurons","14","black",1700,TRUE,0.00969308423167567,303,1348,45,0.0333827893175074,0.148514851485149,"GO:0003729","GO:MF","mRNA binding",17314,351,"GO:0003723"
"T1","GABA_like_neurons","14","black",1700,TRUE,0.0103690975570862,143,1299,26,0.0200153964588145,0.181818181818182,"GO:0036064","GO:CC","ciliary basal body",16860,1682,"GO:0005815, GO:0005929"
"T1","GABA_like_neurons","14","black",1700,TRUE,0.0110125478060026,5231,1299,468,0.360277136258661,0.0894666411775951,"GO:0005829","GO:CC","cytosol",16860,380,"GO:0005737, GO:0110165"
"T1","GABA_like_neurons","14","black",1700,TRUE,0.012058124108538,242,1348,38,0.0281899109792285,0.15702479338843,"GO:0008017","GO:MF","microtubule binding",17314,1523,"GO:0015631"
"T1","GABA_like_neurons","14","black",1700,TRUE,0.0126918363237225,827,1262,100,0.0792393026941363,0.120918984280532,"GO:0006396","GO:BP","RNA processing",16178,2181,"GO:0010467, GO:0016070"
"T1","GABA_like_neurons","14","black",1700,TRUE,0.013815040277025,51,852,14,0.0164319248826291,0.274509803921569,"REAC:R-HSA-191859","REAC","snRNP Assembly",10842,2658,"REAC:R-HSA-194441"
"T1","GABA_like_neurons","14","black",1700,TRUE,0.013815040277025,51,852,14,0.0164319248826291,0.274509803921569,"REAC:R-HSA-194441","REAC","Metabolism of non-coding RNA",10842,1386,"REAC:R-HSA-8953854"
"T1","GABA_like_neurons","14","black",1700,TRUE,0.0145990581205782,23,1348,9,0.00667655786350148,0.391304347826087,"GO:0017056","GO:MF","structural constituent of nuclear pore",17314,3123,"GO:0005198"
"T1","GABA_like_neurons","14","black",1700,TRUE,0.0157974670411053,7,1299,5,0.00384911470361817,0.714285714285714,"GO:0032300","GO:CC","mismatch repair complex",16860,1288,"GO:0005622, GO:0032991"
"T1","GABA_like_neurons","14","black",1700,TRUE,0.0183630870516464,339,1348,48,0.0356083086053412,0.141592920353982,"GO:0015631","GO:MF","tubulin binding",17314,2658,"GO:0008092"
"T1","GABA_like_neurons","14","black",1700,TRUE,0.0192787110888587,842,1299,96,0.0739030023094688,0.114014251781473,"GO:1990234","GO:CC","transferase complex",16860,3836,"GO:1902494"
"T1","GABA_like_neurons","14","black",1700,TRUE,0.0194872574190114,25,1299,9,0.0069284064665127,0.36,"GO:0030990","GO:CC","intraciliary transport particle",16860,1017,"GO:0032991"
"T1","GABA_like_neurons","14","black",1700,TRUE,0.0195334516205347,825,1262,99,0.0784469096671949,0.12,"GO:0007017","GO:BP","microtubule-based process",16178,2656,"GO:0009987"
"T1","GABA_like_neurons","14","black",1700,TRUE,0.0199182955493543,80,852,18,0.0211267605633803,0.225,"REAC:R-HSA-72202","REAC","Transport of Mature Transcript to Cytoplasm",10842,2507,"REAC:R-HSA-72203"
"T1","GABA_like_neurons","14","black",1700,TRUE,0.0224540749464031,54,1348,14,0.0103857566765579,0.259259259259259,"GO:0001098","GO:MF","basal transcription machinery binding",17314,164,"GO:0005515"
"T1","GABA_like_neurons","14","black",1700,TRUE,0.0224540749464031,54,1348,14,0.0103857566765579,0.259259259259259,"GO:0070063","GO:MF","RNA polymerase binding",17314,8606,"GO:0019899"
