"iteration","cell_type","subcluster","module","module_size","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"T3","GABA_neurons_expressing_GABA_receptors","13","black",171,TRUE,7.78169287189599e-05,3566,160,62,0.3875,0.0173864273696018,"GO:0031982","GO:CC","vesicle",16860,1228,"GO:0043227"
"T3","GABA_neurons_expressing_GABA_receptors","13","black",171,TRUE,0.00023049453640286,384,160,16,0.1,0.0416666666666667,"GO:0005925","GO:CC","focal adhesion",16860,451,"GO:0030055"
"T3","GABA_neurons_expressing_GABA_receptors","13","black",171,TRUE,0.00030233160320993,392,160,16,0.1,0.0408163265306122,"GO:0030055","GO:CC","cell-substrate junction",16860,869,"GO:0070161"
"T3","GABA_neurons_expressing_GABA_receptors","13","black",171,TRUE,0.00030763082006084,1506,157,34,0.21656050955414,0.0225763612217795,"GO:0003723","GO:MF","RNA binding",17314,346,"GO:0003676"
"T3","GABA_neurons_expressing_GABA_receptors","13","black",171,TRUE,0.00214232352855913,592,158,20,0.126582278481013,0.0337837837837838,"GO:0051668","GO:BP","localization within membrane",16178,14335,"GO:0051641"
"T3","GABA_neurons_expressing_GABA_receptors","13","black",171,TRUE,0.00315611644844988,4051,160,63,0.39375,0.0155517156257714,"GO:0012505","GO:CC","endomembrane system",16860,687,"GO:0110165"
"T3","GABA_neurons_expressing_GABA_receptors","13","black",171,TRUE,0.00395092101908941,835,160,22,0.1375,0.0263473053892216,"GO:0005768","GO:CC","endosome",16860,336,"GO:0012505, GO:0031410"
"T3","GABA_neurons_expressing_GABA_receptors","13","black",171,TRUE,0.00762778703072442,2108,160,39,0.24375,0.0185009487666034,"GO:0070062","GO:CC","extracellular exosome",16860,2418,"GO:0005615, GO:1903561"
"T3","GABA_neurons_expressing_GABA_receptors","13","black",171,TRUE,0.00975846445284082,2131,160,39,0.24375,0.0183012670107931,"GO:1903561","GO:CC","extracellular vesicle",16860,3690,"GO:0031982, GO:0065010"
"T3","GABA_neurons_expressing_GABA_receptors","13","black",171,TRUE,0.00986245481785948,2132,160,39,0.24375,0.0182926829268293,"GO:0065010","GO:CC","extracellular membrane-bounded organelle",16860,2398,"GO:0043227, GO:0043230"
"T3","GABA_neurons_expressing_GABA_receptors","13","black",171,TRUE,0.00986245481785948,2132,160,39,0.24375,0.0182926829268293,"GO:0043230","GO:CC","extracellular organelle",16860,1882,"GO:0005576, GO:0043226"
"T3","GABA_neurons_expressing_GABA_receptors","13","black",171,TRUE,0.0116013952691312,1989,160,37,0.23125,0.0186023127199598,"GO:0031410","GO:CC","cytoplasmic vesicle",16860,1106,"GO:0005737, GO:0097708"
"T3","GABA_neurons_expressing_GABA_receptors","13","black",171,TRUE,0.0121159998025603,1993,160,37,0.23125,0.0185649774209734,"GO:0097708","GO:CC","intracellular vesicle",16860,3137,"GO:0031982, GO:0043231"
"T3","GABA_neurons_expressing_GABA_receptors","13","black",171,TRUE,0.0167363384245064,1411,160,29,0.18125,0.0205527994330262,"GO:0030054","GO:CC","cell junction",16860,868,"GO:0110165"
"T3","GABA_neurons_expressing_GABA_receptors","13","black",171,TRUE,0.0339510106857311,2744,158,48,0.30379746835443,0.0174927113702624,"GO:0051641","GO:BP","cellular localization",16178,14309,"GO:0009987, GO:0051179"
"T3","GABA_neurons_expressing_GABA_receptors","13","black",171,TRUE,0.0341304613796522,155,160,8,0.05,0.0516129032258065,"GO:0055037","GO:CC","recycling endosome",16860,2254,"GO:0005768"
"T3","GABA_neurons_expressing_GABA_receptors","13","black",171,TRUE,0.0443943709988952,714,160,18,0.1125,0.0252100840336134,"GO:0070161","GO:CC","anchoring junction",16860,2440,"GO:0030054"
"T3","GABA_neurons_expressing_GABA_receptors","13","black",171,TRUE,0.0473171056003088,7579,160,95,0.59375,0.0125346351761446,"GO:0016020","GO:CC","membrane",16860,720,"GO:0110165"
"T3","GABA_neurons_expressing_GABA_receptors","13","black",171,TRUE,0.0498094945511186,62,158,6,0.0379746835443038,0.0967741935483871,"GO:0048524","GO:BP","positive regulation of viral process",16178,13232,"GO:0016032, GO:0048518, GO:0050792"
"T3","GABA_neurons_expressing_GABA_receptors","13","blue",554,TRUE,3.46017222400106e-15,10755,500,405,0.81,0.0376569037656904,"GO:0005737","GO:CC","cytoplasm",16860,309,"GO:0005622, GO:0110165"
"T3","GABA_neurons_expressing_GABA_receptors","13","blue",554,TRUE,4.24401969998859e-14,5231,500,242,0.484,0.0462626648824317,"GO:0005829","GO:CC","cytosol",16860,380,"GO:0005737, GO:0110165"
