"iteration","cell_type","subcluster","module","module_size","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"T0","GABA_neurons_expressing_GLU_receptors","22","black",400,TRUE,7.6279938532328e-11,13667,345,326,0.944927536231884,0.0238530767542255,"GO:0005622","GO:CC","intracellular anatomical structure",16860,237,"GO:0110165"
"T0","GABA_neurons_expressing_GLU_receptors","22","black",400,TRUE,1.00234961517448e-10,10755,345,281,0.814492753623188,0.0261273826127383,"GO:0005737","GO:CC","cytoplasm",16860,309,"GO:0005622, GO:0110165"
"T0","GABA_neurons_expressing_GLU_receptors","22","black",400,TRUE,3.56628404052854e-07,5231,345,160,0.463768115942029,0.0305868858726821,"GO:0005829","GO:CC","cytosol",16860,380,"GO:0005737, GO:0110165"
"T0","GABA_neurons_expressing_GLU_receptors","22","black",400,TRUE,2.61093484769007e-06,11912,345,289,0.83768115942029,0.0242612491605104,"GO:0043229","GO:CC","intracellular organelle",16860,1881,"GO:0005622, GO:0043226"
"T0","GABA_neurons_expressing_GLU_receptors","22","black",400,TRUE,3.49885381535893e-06,2924,345,102,0.295652173913043,0.0348837209302326,"GO:0031090","GO:CC","organelle membrane",16860,1045,"GO:0016020, GO:0043227"
"T0","GABA_neurons_expressing_GLU_receptors","22","black",400,TRUE,4.48334752202353e-06,10872,345,270,0.782608695652174,0.0248344370860927,"GO:0043231","GO:CC","intracellular membrane-bounded organelle",16860,1883,"GO:0043227, GO:0043229"
"T0","GABA_neurons_expressing_GLU_receptors","22","black",400,TRUE,6.06860833717366e-05,1442,345,59,0.171014492753623,0.0409153952843273,"GO:0005739","GO:CC","mitochondrion",16860,310,"GO:0005737, GO:0043231"
"T0","GABA_neurons_expressing_GLU_receptors","22","black",400,TRUE,0.00010608101492331,12730,345,298,0.863768115942029,0.0234092694422624,"GO:0043226","GO:CC","organelle",16860,1878,"GO:0110165"
"T0","GABA_neurons_expressing_GLU_receptors","22","black",400,TRUE,0.00101974043853864,4941,336,145,0.431547619047619,0.0293462861768873,"GO:1901564","GO:BP","organonitrogen compound metabolic process",16178,22098,"GO:0006807, GO:0071704"
"T0","GABA_neurons_expressing_GLU_receptors","22","black",400,TRUE,0.00139734368784842,4010,336,123,0.366071428571429,0.0306733167082294,"GO:0019538","GO:BP","protein metabolic process",16178,6075,"GO:0043170, GO:0044238, GO:1901564"
"T0","GABA_neurons_expressing_GLU_receptors","22","black",400,TRUE,0.00144770732562834,1168,336,50,0.148809523809524,0.0428082191780822,"GO:0009057","GO:BP","macromolecule catabolic process",16178,3270,"GO:0043170, GO:1901575"
"T0","GABA_neurons_expressing_GLU_receptors","22","black",400,TRUE,0.00160590341132969,11983,345,281,0.814492753623188,0.0234498873403989,"GO:0043227","GO:CC","membrane-bounded organelle",16860,1879,"GO:0043226"
"T0","GABA_neurons_expressing_GLU_receptors","22","black",400,TRUE,0.00313541595935775,646,345,31,0.0898550724637681,0.0479876160990712,"GO:0005740","GO:CC","mitochondrial envelope",16860,311,"GO:0005739, GO:0031967"
"T0","GABA_neurons_expressing_GLU_receptors","22","black",400,TRUE,0.00321182048064364,232,180,16,0.0888888888888889,0.0689655172413793,"KEGG:04714","KEGG","Thermogenesis",8484,349,"KEGG:00000"
"T0","GABA_neurons_expressing_GLU_receptors","22","black",400,TRUE,0.003310994308617,1015,345,42,0.121739130434783,0.0413793103448276,"GO:0031967","GO:CC","organelle envelope",16860,1215,"GO:0031975, GO:0043227, GO:0043229"
"T0","GABA_neurons_expressing_GLU_receptors","22","black",400,TRUE,0.003310994308617,1015,345,42,0.121739130434783,0.0413793103448276,"GO:0031975","GO:CC","envelope",16860,1222,"GO:0110165"
"T0","GABA_neurons_expressing_GLU_receptors","22","black",400,TRUE,0.00523285396676758,4324,336,128,0.380952380952381,0.0296022201665125,"GO:0051179","GO:BP","localization",16178,14002,"GO:0008150"
"T0","GABA_neurons_expressing_GLU_receptors","22","black",400,TRUE,0.00538218640455849,2145,336,75,0.223214285714286,0.034965034965035,"GO:0009056","GO:BP","catabolic process",16178,3269,"GO:0008152"
"T0","GABA_neurons_expressing_GLU_receptors","22","black",400,TRUE,0.00663173824950782,607,345,29,0.0840579710144927,0.0477759472817133,"GO:0031966","GO:CC","mitochondrial membrane",16860,1214,"GO:0005740, GO:0031090"
"T0","GABA_neurons_expressing_GLU_receptors","22","black",400,TRUE,0.00915189156610147,2254,336,77,0.229166666666667,0.0341614906832298,"GO:0033036","GO:BP","macromolecule localization",16178,8276,"GO:0051179"
"T0","GABA_neurons_expressing_GLU_receptors","22","black",400,TRUE,0.0093127154314782,1870,336,67,0.199404761904762,0.0358288770053476,"GO:0008104","GO:BP","protein localization",16178,3157,"GO:0070727"
"T0","GABA_neurons_expressing_GLU_receptors","22","black",400,TRUE,0.0105653574631353,1877,336,67,0.199404761904762,0.0356952583910495,"GO:0070727","GO:BP","cellular macromolecule localization",16178,16772,"GO:0033036, GO:0051641"
"T0","GABA_neurons_expressing_GLU_receptors","22","black",400,TRUE,0.0162378275383916,5725,345,152,0.440579710144928,0.0265502183406114,"GO:0032991","GO:CC","protein-containing complex",16860,1340,"GO:0005575"
"T0","GABA_neurons_expressing_GLU_receptors","22","black",400,TRUE,0.02031686060427,2744,336,88,0.261904761904762,0.032069970845481,"GO:0051641","GO:BP","cellular localization",16178,14309,"GO:0009987, GO:0051179"
"T0","GABA_neurons_expressing_GLU_receptors","22","black",400,TRUE,0.024744594552612,874,336,38,0.113095238095238,0.0434782608695652,"GO:0009894","GO:BP","regulation of catabolic process",16178,3792,"GO:0009056, GO:0019222"
"T0","GABA_neurons_expressing_GLU_receptors","22","black",400,TRUE,0.0345266590471593,1693,345,57,0.165217391304348,0.0336680448907265,"GO:0098588","GO:CC","bounding membrane of organelle",16860,3216,"GO:0031090"
"T0","GABA_neurons_expressing_GLU_receptors","22","black",400,TRUE,0.0368012063728728,1658,345,56,0.16231884057971,0.0337756332931242,"GO:1902494","GO:CC","catalytic complex",16860,3635,"GO:0032991"
"T0","GABA_neurons_expressing_GLU_receptors","22","black",400,TRUE,0.037859152341837,3201,336,98,0.291666666666667,0.0306154326772883,"GO:0006996","GO:BP","organelle organization",16178,2642,"GO:0016043"
"T0","GABA_neurons_expressing_GLU_receptors","22","black",400,TRUE,0.0448964390710344,1731,336,61,0.181547619047619,0.0352397458116696,"GO:1901575","GO:BP","organic substance catabolic process",16178,22105,"GO:0009056, GO:0071704"
"T0","GABA_neurons_expressing_GLU_receptors","22","black",400,TRUE,0.0477171370032726,5468,345,144,0.417391304347826,0.0263350402340892,"GO:0031974","GO:CC","membrane-enclosed lumen",16860,1221,"GO:0110165"
"T0","GABA_neurons_expressing_GLU_receptors","22","black",400,TRUE,0.0477171370032726,5468,345,144,0.417391304347826,0.0263350402340892,"GO:0043233","GO:CC","organelle lumen",16860,1885,"GO:0031974, GO:0043226"
"T0","GABA_neurons_expressing_GLU_receptors","22","black",400,TRUE,0.0477171370032726,5468,345,144,0.417391304347826,0.0263350402340892,"GO:0070013","GO:CC","intracellular organelle lumen",16860,2399,"GO:0043229, GO:0043233"
