"iteration","cell_type","subcluster","module","module_size","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"T1","GLU_like_neurons","17","black",881,TRUE,1.78047981039064e-19,5231,779,367,0.471116816431322,0.0701586694704645,"GO:0005829","GO:CC","cytosol",16860,380,"GO:0005737, GO:0110165"
"T1","GLU_like_neurons","17","black",881,TRUE,1.47171577270125e-13,13667,779,711,0.912708600770218,0.0520231213872832,"GO:0005622","GO:CC","intracellular anatomical structure",16860,237,"GO:0110165"
"T1","GLU_like_neurons","17","black",881,TRUE,6.32474883520989e-11,1506,792,132,0.166666666666667,0.0876494023904383,"GO:0003723","GO:MF","RNA binding",17314,346,"GO:0003676"
"T1","GLU_like_neurons","17","black",881,TRUE,1.03181041080868e-10,5725,779,360,0.462130937098845,0.062882096069869,"GO:0032991","GO:CC","protein-containing complex",16860,1340,"GO:0005575"
"T1","GLU_like_neurons","17","black",881,TRUE,1.16688535709933e-09,10755,779,585,0.750962772785623,0.0543933054393305,"GO:0005737","GO:CC","cytoplasm",16860,309,"GO:0005622, GO:0110165"
"T1","GLU_like_neurons","17","black",881,TRUE,3.38322291188364e-09,11912,779,631,0.810012836970475,0.0529717931497649,"GO:0043229","GO:CC","intracellular organelle",16860,1881,"GO:0005622, GO:0043226"
"T1","GLU_like_neurons","17","black",881,TRUE,1.67524253642955e-08,12730,779,661,0.848523748395379,0.0519245875883739,"GO:0043226","GO:CC","organelle",16860,1878,"GO:0110165"
"T1","GLU_like_neurons","17","black",881,TRUE,8.10764902755813e-08,4111,779,266,0.341463414634146,0.0647044514716614,"GO:0005654","GO:CC","nucleoplasm",16860,252,"GO:0031981, GO:0110165"
"T1","GLU_like_neurons","17","black",881,TRUE,1.45884759581919e-07,10872,779,581,0.745827984595635,0.0534400294334069,"GO:0043231","GO:CC","intracellular membrane-bounded organelle",16860,1883,"GO:0043227, GO:0043229"
"T1","GLU_like_neurons","17","black",881,TRUE,1.56155206988077e-07,5468,779,333,0.427471116816431,0.0608997805413314,"GO:0043233","GO:CC","organelle lumen",16860,1885,"GO:0031974, GO:0043226"
"T1","GLU_like_neurons","17","black",881,TRUE,1.56155206988077e-07,5468,779,333,0.427471116816431,0.0608997805413314,"GO:0070013","GO:CC","intracellular organelle lumen",16860,2399,"GO:0043229, GO:0043233"
"T1","GLU_like_neurons","17","black",881,TRUE,1.56155206988077e-07,5468,779,333,0.427471116816431,0.0608997805413314,"GO:0031974","GO:CC","membrane-enclosed lumen",16860,1221,"GO:0110165"
"T1","GLU_like_neurons","17","black",881,TRUE,1.57399866378243e-07,4410,779,280,0.359435173299101,0.0634920634920635,"GO:0031981","GO:CC","nuclear lumen",16860,1227,"GO:0005634, GO:0070013"
"T1","GLU_like_neurons","17","black",881,TRUE,1.7904345267504e-07,11983,779,627,0.804878048780488,0.052324125844947,"GO:0043227","GO:CC","membrane-bounded organelle",16860,1879,"GO:0043226"
"T1","GLU_like_neurons","17","black",881,TRUE,2.4099306266433e-07,13965,792,702,0.886363636363636,0.0502685284640172,"GO:0005515","GO:MF","protein binding",17314,1492,"GO:0005488"
"T1","GLU_like_neurons","17","black",881,TRUE,3.02772795430279e-07,330,792,43,0.0542929292929293,0.13030303030303,"GO:0045296","GO:MF","cadherin binding",17314,6083,"GO:0050839"
"T1","GLU_like_neurons","17","black",881,TRUE,3.67349172462219e-07,384,779,47,0.0603337612323492,0.122395833333333,"GO:0005925","GO:CC","focal adhesion",16860,451,"GO:0030055"
"T1","GLU_like_neurons","17","black",881,TRUE,5.13401923504188e-07,1341,792,110,0.138888888888889,0.0820283370618941,"GO:0044877","GO:MF","protein-containing complex binding",17314,6047,"GO:0005488"
