"iteration","cell_type","subcluster","module","module_size","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"T4","Microglia","1","black",314,TRUE,1.43625957486822e-16,2131,275,91,0.330909090909091,0.0427029563585171,"GO:1903561","GO:CC","extracellular vesicle",16860,3690,"GO:0031982, GO:0065010"
"T4","Microglia","1","black",314,TRUE,1.48187174735385e-16,2132,275,91,0.330909090909091,0.0426829268292683,"GO:0043230","GO:CC","extracellular organelle",16860,1882,"GO:0005576, GO:0043226"
"T4","Microglia","1","black",314,TRUE,1.48187174735385e-16,2132,275,91,0.330909090909091,0.0426829268292683,"GO:0065010","GO:CC","extracellular membrane-bounded organelle",16860,2398,"GO:0043227, GO:0043230"
"T4","Microglia","1","black",314,TRUE,2.48580080078403e-16,2108,275,90,0.327272727272727,0.0426944971537002,"GO:0070062","GO:CC","extracellular exosome",16860,2418,"GO:0005615, GO:1903561"
"T4","Microglia","1","black",314,TRUE,6.64537519380146e-15,3566,275,120,0.436363636363636,0.0336511497476164,"GO:0031982","GO:CC","vesicle",16860,1228,"GO:0043227"
"T4","Microglia","1","black",314,TRUE,1.26050091391955e-14,10755,275,237,0.861818181818182,0.0220362622036262,"GO:0005737","GO:CC","cytoplasm",16860,309,"GO:0005622, GO:0110165"
"T4","Microglia","1","black",314,TRUE,2.68261790209084e-12,624,217,46,0.211981566820276,0.0737179487179487,"REAC:R-HSA-199991","REAC","Membrane Trafficking",10842,1369,"REAC:R-HSA-5653656"
"T4","Microglia","1","black",314,TRUE,6.07803218057072e-12,265,160,28,0.175,0.105660377358491,"KEGG:05012","KEGG","Parkinson disease",8484,412,"KEGG:00000"
"T4","Microglia","1","black",314,TRUE,1.07218436982871e-11,271,160,28,0.175,0.103321033210332,"KEGG:05020","KEGG","Prion disease",8484,416,"KEGG:00000"
"T4","Microglia","1","black",314,TRUE,3.04551971206166e-11,2744,271,98,0.361623616236162,0.0357142857142857,"GO:0051641","GO:BP","cellular localization",16178,14309,"GO:0009987, GO:0051179"
"T4","Microglia","1","black",314,TRUE,1.02060659106531e-10,57,217,15,0.0691244239631336,0.263157894736842,"REAC:R-HSA-3371497","REAC","HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand",10842,1078,"REAC:R-HSA-2262752"
"T4","Microglia","1","black",314,TRUE,1.108915697476e-10,718,217,47,0.216589861751152,0.0654596100278552,"REAC:R-HSA-5653656","REAC","Vesicle-mediated transport",10842,2567,"REAC:0000000"
"T4","Microglia","1","black",314,TRUE,1.2830815325417e-10,276,275,26,0.0945454545454545,0.0942028985507246,"GO:0031625","GO:MF","ubiquitin protein ligase binding",17314,4144,"GO:0044389"
"T4","Microglia","1","black",314,TRUE,1.50504992274955e-10,474,160,35,0.21875,0.0738396624472574,"KEGG:05022","KEGG","Pathways of neurodegeneration - multiple diseases",8484,417,"KEGG:00000"
"T4","Microglia","1","black",314,TRUE,2.0411923422329e-10,305,160,28,0.175,0.0918032786885246,"KEGG:05016","KEGG","Huntington disease",8484,414,"KEGG:00000"
"T4","Microglia","1","black",314,TRUE,3.89599726647726e-10,5231,275,141,0.512727272727273,0.0269546931753011,"GO:0005829","GO:CC","cytosol",16860,380,"GO:0005737, GO:0110165"
"T4","Microglia","1","black",314,TRUE,4.54876866519948e-10,363,160,30,0.1875,0.0826446280991736,"KEGG:05014","KEGG","Amyotrophic lateral sclerosis",8484,413,"KEGG:00000"
"T4","Microglia","1","black",314,TRUE,5.13727663151912e-10,293,275,26,0.0945454545454545,0.0887372013651877,"GO:0044389","GO:MF","ubiquitin-like protein ligase binding",17314,5996,"GO:0019899"
"T4","Microglia","1","black",314,TRUE,2.16099119468782e-08,344,275,26,0.0945454545454545,0.0755813953488372,"GO:0030424","GO:CC","axon",16860,932,"GO:0043005"
"T4","Microglia","1","black",314,TRUE,4.31152482857357e-08,134,160,17,0.10625,0.126865671641791,"KEGG:00190","KEGG","Oxidative phosphorylation",8484,18,"KEGG:00000"
"T4","Microglia","1","black",314,TRUE,4.58108048782104e-08,124,275,16,0.0581818181818182,0.129032258064516,"GO:1904813","GO:CC","ficolin-1-rich granule lumen",16860,3709,"GO:0070013, GO:0101002"
"T4","Microglia","1","black",314,TRUE,5.55936100427107e-08,72,217,14,0.0645161290322581,0.194444444444444,"REAC:R-HSA-1445148","REAC","Translocation of SLC2A4 (GLUT4) to the plasma membrane",10842,2501,"REAC:R-HSA-199991"
"T4","Microglia","1","black",314,TRUE,1.10423817995386e-07,4324,271,122,0.450184501845018,0.0282146160962072,"GO:0051179","GO:BP","localization",16178,14002,"GO:0008150"
"T4","Microglia","1","black",314,TRUE,1.77549585124036e-07,78,160,13,0.08125,0.166666666666667,"KEGG:04721","KEGG","Synaptic vesicle cycle",8484,351,"KEGG:00000"
"T4","Microglia","1","black",314,TRUE,2.60436882619933e-07,1870,271,69,0.254612546125461,0.0368983957219251,"GO:0008104","GO:BP","protein localization",16178,3157,"GO:0070727"
"T4","Microglia","1","black",314,TRUE,3.07319572643538e-07,1877,271,69,0.254612546125461,0.0367607884922749,"GO:0070727","GO:BP","cellular macromolecule localization",16178,16772,"GO:0033036, GO:0051641"
"T4","Microglia","1","black",314,TRUE,3.2966125974961e-07,184,275,18,0.0654545454545455,0.0978260869565217,"GO:0101002","GO:CC","ficolin-1-rich granule",16860,3383,"GO:0030141"
"T4","Microglia","1","black",314,TRUE,3.66036684871744e-07,780,217,43,0.19815668202765,0.0551282051282051,"REAC:R-HSA-2262752","REAC","Cellular responses to stress",10842,332,"REAC:R-HSA-8953897"
"T4","Microglia","1","black",314,TRUE,4.1599465438619e-07,160,271,18,0.0664206642066421,0.1125,"GO:0009060","GO:BP","aerobic respiration",16178,3273,"GO:0045333"
"T4","Microglia","1","black",314,TRUE,4.48978337022217e-07,1802,275,63,0.229090909090909,0.03496115427303,"GO:0019899","GO:MF","enzyme binding",17314,3728,"GO:0005515"
