"iteration","cell_type","subcluster","module","module_size","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"T0","Oligodendrocyte_progenitor_cells","7","black",4285,TRUE,5.94330275130095e-92,13667,3500,3230,0.922857142857143,0.23633569912929,"GO:0005622","GO:CC","intracellular anatomical structure",16860,237,"GO:0110165"
"T0","Oligodendrocyte_progenitor_cells","7","black",4285,TRUE,2.79929041941487e-74,11912,3500,2900,0.828571428571429,0.243451981195433,"GO:0043229","GO:CC","intracellular organelle",16860,1881,"GO:0005622, GO:0043226"
"T0","Oligodendrocyte_progenitor_cells","7","black",4285,TRUE,7.99127349552198e-70,10872,3500,2698,0.770857142857143,0.248160412067697,"GO:0043231","GO:CC","intracellular membrane-bounded organelle",16860,1883,"GO:0043227, GO:0043229"
"T0","Oligodendrocyte_progenitor_cells","7","black",4285,TRUE,1.67225112929817e-60,12730,3500,3005,0.858571428571429,0.23605655930872,"GO:0043226","GO:CC","organelle",16860,1878,"GO:0110165"
"T0","Oligodendrocyte_progenitor_cells","7","black",4285,TRUE,6.79868279291957e-56,11983,3500,2859,0.816857142857143,0.238587999666194,"GO:0043227","GO:CC","membrane-bounded organelle",16860,1879,"GO:0043226"
"T0","Oligodendrocyte_progenitor_cells","7","black",4285,TRUE,5.38827223395772e-55,4111,3500,1225,0.35,0.29798102651423,"GO:0005654","GO:CC","nucleoplasm",16860,252,"GO:0031981, GO:0110165"
"T0","Oligodendrocyte_progenitor_cells","7","black",4285,TRUE,2.33413786635784e-53,4410,3500,1289,0.368285714285714,0.292290249433107,"GO:0031981","GO:CC","nuclear lumen",16860,1227,"GO:0005634, GO:0070013"
"T0","Oligodendrocyte_progenitor_cells","7","black",4285,TRUE,3.42547582997575e-46,5468,3500,1502,0.429142857142857,0.274689100219459,"GO:0070013","GO:CC","intracellular organelle lumen",16860,2399,"GO:0043229, GO:0043233"
"T0","Oligodendrocyte_progenitor_cells","7","black",4285,TRUE,3.42547582997575e-46,5468,3500,1502,0.429142857142857,0.274689100219459,"GO:0031974","GO:CC","membrane-enclosed lumen",16860,1221,"GO:0110165"
"T0","Oligodendrocyte_progenitor_cells","7","black",4285,TRUE,3.42547582997575e-46,5468,3500,1502,0.429142857142857,0.274689100219459,"GO:0043233","GO:CC","organelle lumen",16860,1885,"GO:0031974, GO:0043226"
