"iteration","cell_type","subcluster","module","module_size","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"T0","T_cells","18","black",610,TRUE,2.18050181432052e-21,13667,529,506,0.956521739130435,0.0370234872320187,"GO:0005622","GO:CC","intracellular anatomical structure",16860,237,"GO:0110165"
"T0","T_cells","18","black",610,TRUE,1.76431601270406e-17,4410,529,234,0.44234404536862,0.0530612244897959,"GO:0031981","GO:CC","nuclear lumen",16860,1227,"GO:0005634, GO:0070013"
"T0","T_cells","18","black",610,TRUE,9.45691155973374e-17,4111,529,221,0.417769376181474,0.0537582096813427,"GO:0005654","GO:CC","nucleoplasm",16860,252,"GO:0031981, GO:0110165"
"T0","T_cells","18","black",610,TRUE,6.82998362776069e-16,10872,529,431,0.814744801512287,0.0396431199411332,"GO:0043231","GO:CC","intracellular membrane-bounded organelle",16860,1883,"GO:0043227, GO:0043229"
"T0","T_cells","18","black",610,TRUE,8.57789379377965e-15,11912,529,455,0.860113421550095,0.0381967763599731,"GO:0043229","GO:CC","intracellular organelle",16860,1881,"GO:0005622, GO:0043226"
"T0","T_cells","18","black",610,TRUE,5.66372755713965e-13,5468,529,258,0.487712665406427,0.0471836137527432,"GO:0031974","GO:CC","membrane-enclosed lumen",16860,1221,"GO:0110165"
"T0","T_cells","18","black",610,TRUE,5.66372755713965e-13,5468,529,258,0.487712665406427,0.0471836137527432,"GO:0070013","GO:CC","intracellular organelle lumen",16860,2399,"GO:0043229, GO:0043233"
"T0","T_cells","18","black",610,TRUE,5.66372755713965e-13,5468,529,258,0.487712665406427,0.0471836137527432,"GO:0043233","GO:CC","organelle lumen",16860,1885,"GO:0031974, GO:0043226"
"T0","T_cells","18","black",610,TRUE,5.79466060557789e-12,6709,529,296,0.559546313799622,0.044119839022209,"GO:0005634","GO:CC","nucleus",16860,243,"GO:0043231"
"T0","T_cells","18","black",610,TRUE,6.53436461976912e-11,5231,529,243,0.459357277882798,0.0464538329191359,"GO:0005829","GO:CC","cytosol",16860,380,"GO:0005737, GO:0110165"
"T0","T_cells","18","black",610,TRUE,2.74775260941413e-10,12730,529,464,0.877126654064272,0.0364493322859387,"GO:0043226","GO:CC","organelle",16860,1878,"GO:0110165"
"T0","T_cells","18","black",610,TRUE,6.09009287770495e-10,11983,529,444,0.839319470699433,0.0370524910289577,"GO:0043227","GO:CC","membrane-bounded organelle",16860,1879,"GO:0043226"
"T0","T_cells","18","black",610,TRUE,2.04945620490688e-07,1802,543,104,0.191528545119705,0.0577136514983352,"GO:0019899","GO:MF","enzyme binding",17314,3728,"GO:0005515"
"T0","T_cells","18","black",610,TRUE,1.29702165984411e-06,1192,515,78,0.151456310679612,0.0654362416107383,"GO:0046907","GO:BP","intracellular transport",16178,12847,"GO:0006810, GO:0051641, GO:0051649"
"T0","T_cells","18","black",610,TRUE,2.05961459052905e-06,739,529,54,0.102079395085066,0.0730717185385656,"GO:0016604","GO:CC","nuclear body",16860,765,"GO:0005654, GO:0110165"
"T0","T_cells","18","black",610,TRUE,4.57262100167485e-06,1007,543,66,0.121546961325967,0.0655412115193644,"GO:0060090","GO:MF","molecular adaptor activity",17314,8382,"GO:0003674"
"T0","T_cells","18","black",610,TRUE,4.6368803785293e-06,842,529,58,0.109640831758034,0.0688836104513064,"GO:1990234","GO:CC","transferase complex",16860,3836,"GO:1902494"
"T0","T_cells","18","black",610,TRUE,5.88546703165034e-06,7881,515,316,0.613592233009709,0.0400964344626316,"GO:0043170","GO:BP","macromolecule metabolic process",16178,10919,"GO:0071704"
"T0","T_cells","18","black",610,TRUE,6.56131979937455e-06,1258,515,79,0.153398058252427,0.0627980922098569,"GO:0016192","GO:BP","vesicle-mediated transport",16178,5229,"GO:0006810, GO:0009987"
"T0","T_cells","18","black",610,TRUE,6.88954412168544e-06,10755,529,396,0.748582230623819,0.0368200836820084,"GO:0005737","GO:CC","cytoplasm",16860,309,"GO:0005622, GO:0110165"
