"","name","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"1","Microglia_1_iter6","black",TRUE,1.43667512451772e-07,4111,253,106,0.41897233201581,0.0257844806616395,"GO:0005654","GO:CC","nucleoplasm",16860,252,"GO:0031981, GO:0110165"
"2","Microglia_1_iter6","black",TRUE,3.98470608885365e-07,4410,253,110,0.434782608695652,0.0249433106575964,"GO:0031981","GO:CC","nuclear lumen",16860,1227,"GO:0005634, GO:0070013"
"3","Microglia_1_iter6","black",TRUE,0.000114993496250523,5468,253,120,0.474308300395257,0.021945866861741,"GO:0043233","GO:CC","organelle lumen",16860,1885,"GO:0031974, GO:0043226"
"4","Microglia_1_iter6","black",TRUE,0.000114993496250523,5468,253,120,0.474308300395257,0.021945866861741,"GO:0031974","GO:CC","membrane-enclosed lumen",16860,1221,"GO:0110165"
"5","Microglia_1_iter6","black",TRUE,0.000114993496250523,5468,253,120,0.474308300395257,0.021945866861741,"GO:0070013","GO:CC","intracellular organelle lumen",16860,2399,"GO:0043229, GO:0043233"
"6","Microglia_1_iter6","black",TRUE,0.000435047288755189,13667,253,232,0.91699604743083,0.0169751957269335,"GO:0005622","GO:CC","intracellular anatomical structure",16860,237,"GO:0110165"
"7","Microglia_1_iter6","black",TRUE,0.00116513909803226,6709,253,136,0.537549407114625,0.0202712773885825,"GO:0005634","GO:CC","nucleus",16860,243,"GO:0043231"
"8","Microglia_1_iter6","black",TRUE,0.0480102981860478,10872,253,190,0.75098814229249,0.0174760853568801,"GO:0043231","GO:CC","intracellular membrane-bounded organelle",16860,1883,"GO:0043227, GO:0043229"
"9","Microglia_1_iter6","black",TRUE,0.0495198884872853,11912,253,204,0.806324110671937,0.0171255876427132,"GO:0043229","GO:CC","intracellular organelle",16860,1881,"GO:0005622, GO:0043226"
"10","Microglia_1_iter6","black",TRUE,0.0035496070457597,474,256,21,0.08203125,0.0443037974683544,"GO:0003712","GO:MF","transcription coregulator activity",17314,341,"GO:0030674, GO:0140110"
"11","Microglia_1_iter6","black",TRUE,0.0132267660290557,860,256,29,0.11328125,0.0337209302325581,"GO:0030674","GO:MF","protein-macromolecule adaptor activity",17314,3987,"GO:0060090"
"12","Microglia_1_iter6","black",TRUE,0.0343812037504645,1802,256,47,0.18359375,0.0260821309655938,"GO:0019899","GO:MF","enzyme binding",17314,3728,"GO:0005515"
"13","Microglia_1_iter6","black",TRUE,0.0468923926208199,137,114,8,0.0701754385964912,0.0583941605839416,"KEGG:04910","KEGG","Insulin signaling pathway",8484,367,"KEGG:00000"
"14","Microglia_1_iter6","black",TRUE,0.00805438925264512,55,166,7,0.0421686746987952,0.127272727272727,"REAC:R-HSA-9013409","REAC","RHOJ GTPase cycle",10842,1819,"REAC:R-HSA-9012999"
"15","Microglia_1_iter6","black",TRUE,0.0101015104093945,12,166,4,0.0240963855421687,0.333333333333333,"REAC:R-HSA-442720","REAC","CREB1 phosphorylation through the activation of Adenylate Cyclase",10842,276,"REAC:R-HSA-438064"
"16","Microglia_1_iter6","blue",TRUE,0.0481521982980385,1201,226,35,0.154867256637168,0.0291423813488759,"GO:0016477","GO:BP","cell migration",16178,5292,"GO:0048870"
"17","Microglia_1_iter6","blue",TRUE,0.00382934296696176,13667,235,214,0.91063829787234,0.0156581546791542,"GO:0005622","GO:CC","intracellular anatomical structure",16860,237,"GO:0110165"
"18","Microglia_1_iter6","blue",TRUE,0.0181602812779299,333,235,15,0.0638297872340425,0.045045045045045,"GO:0016607","GO:CC","nuclear speck",16860,768,"GO:0016604"
"19","Microglia_1_iter6","blue",TRUE,6.4097384667676e-06,221,244,17,0.069672131147541,0.0769230769230769,"GO:0005096","GO:MF","GTPase activator activity",17314,1276,"GO:0008047, GO:0030695"
"20","Microglia_1_iter6","blue",TRUE,2.19756016891775e-05,434,244,23,0.0942622950819672,0.0529953917050691,"GO:0060589","GO:MF","nucleoside-triphosphatase regulator activity",17314,8391,"GO:0030234"
"21","Microglia_1_iter6","blue",TRUE,2.19756016891775e-05,434,244,23,0.0942622950819672,0.0529953917050691,"GO:0030695","GO:MF","GTPase regulator activity",17314,3988,"GO:0060589"
"22","Microglia_1_iter6","blue",TRUE,0.0102033077375988,496,244,20,0.0819672131147541,0.0403225806451613,"GO:0008047","GO:MF","enzyme activator activity",17314,1532,"GO:0030234, GO:0140677"
"23","Microglia_1_iter6","blue",TRUE,0.0238428239942734,156,115,9,0.0782608695652174,0.0576923076923077,"KEGG:04148","KEGG","Efferocytosis",8484,283,"KEGG:00000"
"24","Microglia_1_iter6","blue",TRUE,0.0111009833634833,149,143,10,0.0699300699300699,0.0671140939597315,"REAC:R-HSA-8980692","REAC","RHOA GTPase cycle",10842,1808,"REAC:R-HSA-9012999"
"25","Microglia_1_iter6","blue",TRUE,0.0128468589681736,184,143,11,0.0769230769230769,0.0597826086956522,"REAC:R-HSA-9013149","REAC","RAC1 GTPase cycle",10842,1785,"REAC:R-HSA-9012999"
"26","Microglia_1_iter6","blue",TRUE,0.0155941954180284,155,143,10,0.0699300699300699,0.0645161290322581,"REAC:R-HSA-9013148","REAC","CDC42 GTPase cycle",10842,261,"REAC:R-HSA-9012999"
"27","Microglia_1_iter6","brown",TRUE,5.70907803458176e-09,4010,420,168,0.4,0.0418952618453865,"GO:0019538","GO:BP","protein metabolic process",16178,6075,"GO:0043170, GO:0044238, GO:1901564"
