"gene","module","mm"
"MT-CO2","yellow",0.851054289421007
"MT-CYB","yellow",0.815903995474231
"MT-ND1","yellow",0.809570616582864
"MT-ND2","yellow",0.804980608317157
"MT-CO3","yellow",0.800065467997289
"MT-ATP6","yellow",0.789834525127337
"MT-CO1","yellow",0.70979858363864
"TNRC6A","yellow",0.687938547848059
"TTTY14","yellow",0.63785303630025
"NLGN4Y","yellow",0.620558132003493
"MT-ND3","yellow",0.606755736702937
"AC105402.3","yellow",0.603512247315548
"LINC00278","yellow",0.59778386116479
"DHFR","yellow",0.583027568252956
"MT-ND4","yellow",0.580364688786268
"USP9Y","yellow",0.579021110828199
"UTY","yellow",0.568623640060089
"MT-ND5","yellow",0.561162428728832
"FP236383.1","yellow",0.547588537863387
"LINC01094","yellow",0.540332544012482
"PALM","yellow",0.534289480787172
"SLC20A2","yellow",0.506541640530253
"DHRSX","yellow",0.495688789038721
"SCD5","yellow",0.490747170091574
"ATP2B4","yellow",0.486177320655798
"RAD9A","yellow",0.481185642399367
"MTRNR2L12","yellow",0.480662020213886
"CHL1","yellow",0.476790173533778
"AL139260.1","yellow",0.474033526807342
"DNMT3A","yellow",0.472102639377409
"AGAP1","yellow",0.471517132103956
"RASL12","yellow",0.471254381734926
"SYT17","yellow",0.451472203275584
"DEAF1","yellow",0.449695002438636
"GAS7","yellow",0.445677145719217
"EYA2","yellow",0.44466127815024
"AQP1","yellow",0.439581834075387
"CD99","yellow",0.434054242358811
"ALDH2","yellow",0.429361713667854
"PRRX1","yellow",0.428927118997197
"GPC1","yellow",0.427885346714548
"LARP1","yellow",0.423932975925448
"CASC4","yellow",0.420986400778153
"MSRA","yellow",0.417265089492591
"MFGE8","yellow",0.41032482987873
"ITSN1","yellow",0.402998245594502
"SPOCK2","yellow",0.400856327073819
"KANSL1","yellow",0.399348081527278
"SLC27A1","yellow",0.392208351369415
"C19orf12","yellow",0.39112807008807
"ZBTB7C","yellow",0.389899518553317
"CORO2B","yellow",0.383053044226687
"DHRS3","yellow",0.382342304237422
"AHDC1","yellow",0.380554325479361
"ESRRG","yellow",0.380476755536158
"CELF2","yellow",0.380195202106554
"GRID1","yellow",0.379796147752664
"ARL17B","yellow",0.379320386680672
"ARHGAP31","yellow",0.379312150605
"PTH1R","yellow",0.378969180326188
"ZNF586","yellow",0.377403188288942
"LINC00499","yellow",0.376974824039411
"FMN2","yellow",0.373849085666739
"ST6GAL1","yellow",0.371693355190976
"LRRC37A3","yellow",0.370434682105964
"UBTD1","yellow",0.370291996345246
"STON1-GTF2A1L","yellow",0.369904285592158
"PACS2","yellow",0.36924137948614
"TRAPPC12","yellow",0.365935405307566
"ATXN7L1","yellow",0.364904631265433
"CHST6","yellow",0.364899527123933
"ABCA3","yellow",0.36114560819917
"SREBF1","yellow",0.358489328823094
"ADD1","yellow",0.354286146769586
"TTYH3","yellow",0.353438066481
"PITPNM2","yellow",0.353136019217013
"MT-ND4L","yellow",0.351932245428327
"ZCCHC24","yellow",0.348455734870238
"AKAP8L","yellow",0.348368671260906
"TNRC6B","yellow",0.348195556264816
"ZNF423","yellow",0.346631912564801
"LRSAM1","yellow",0.346068687638332
"SHC2","yellow",0.343468481344388
"ZNF345","yellow",0.340635860909201
"CLIP2","yellow",0.339843536804715
"MTHFD1L","yellow",0.33970678080274
"PTCHD1-AS","yellow",0.338143834133836
"ARID1A","yellow",0.33256019263784
"KLHL22","yellow",0.329057526366843
"MT-ATP8","yellow",0.328137818976225
"PTPRS","yellow",0.324724748042174
"SLC35E3","yellow",0.324299712521209
"OLFM2","yellow",0.324108938286105
"TCF20","yellow",0.324084345533749
"MTRNR2L8","yellow",0.323593229559162
"CHST15","yellow",0.322480944473477
"ATP10B","yellow",0.321395075267737
"ENSA","yellow",0.319558508439976
"ZER1","yellow",0.312425640859903
"ATP13A2","yellow",0.311420649633151
"MARK4","yellow",0.310850308439498
"NDST1","yellow",0.310744263936637
"MFSD14C","yellow",0.308450781745976
"KIAA1671","yellow",0.307833110246875
"CELF1","yellow",0.307712848586998
"FARS2","yellow",0.305412879298728
"AC009690.1","yellow",0.30517310672257
"CDC42SE2","yellow",0.30470188622258
"MED15","yellow",0.304261581497208
"RREB1","yellow",0.304182704557281
"PI4KA","yellow",0.304178494699053
"NR6A1","yellow",0.299931473001643
"CTDSP2","yellow",0.299600372133822
"PIGQ","yellow",0.297530808189804
"DAB2IP","yellow",0.295559116214951
"CADM3","yellow",0.293628803620396
"UBE2G2","yellow",0.287062357928486
"CLASRP","yellow",0.286891113688781
"DNM2","yellow",0.286251731607733
"SMARCA4","yellow",0.286090751180616
"GLG1","yellow",0.282051812418519
"LASP1","yellow",0.281925856133565
"AC090825.1","yellow",0.281128475322228
"DNASE1","yellow",0.279768750351557
"HECTD4","yellow",0.279377140961549
"RIPOR2","yellow",0.278650455646215
"ZMIZ1","yellow",0.27765012767975
"RHPN2","yellow",0.277602454211325
"TECPR2","yellow",0.277300237185451
"TTLL11","yellow",0.276237133638134
"PRR14L","yellow",0.275450225028143
"PHACTR4","yellow",0.275219133470073
"ZNF346","yellow",0.271030414423363
"MYO5A","yellow",0.269454406789521
"C16orf45","yellow",0.269205934816559
"VPS53","yellow",0.267092843061294
"ZNF721","yellow",0.266842744243218
"CASTOR2","yellow",0.266216187663343
"TAOK3","yellow",0.265285397088655
"CDC42EP4","yellow",0.264086029680496
"CUX1","yellow",0.263816597509036
"KLHL13","yellow",0.262700779680298
"ANKRD11","yellow",0.260604788557364
"PTDSS2","yellow",0.259784617094392
"ASAP2","yellow",0.258681523472071
"RBAK-RBAKDN","yellow",0.258578226268642
"NSMCE2","yellow",0.25809034800706
"CHFR","yellow",0.256514143745005
"EFR3B","yellow",0.255432518634561
"SLC25A43","yellow",0.254788974837147
"LHPP","yellow",0.254558665200645
"TPGS2","yellow",0.2528730869725
"TGFBR3","yellow",0.252147078081045
"AC079447.1","yellow",0.246576917503115
"LRP1B","yellow",0.245297889603241
"LRRC37B","yellow",0.245105839144489
"MIR193BHG","yellow",0.244413017951248
"GNB1","yellow",0.24416414716953
"ZNF398","yellow",0.243237191123357
"GAB1","yellow",0.242955778381665
"HEATR4","yellow",0.240264316778973
"TTBK1","yellow",0.238733539371813
"SMIM14","yellow",0.238002247419106
"ARHGAP1","yellow",0.237379330430973
"OSBP2","yellow",0.237252063051126
"GPR137B","yellow",0.236602419976064
"ELAVL1","yellow",0.236242337846172
"AP3D1","yellow",0.236053746880293
"GRK4","yellow",0.236012899123659
"C14orf132","yellow",0.234902096369202
"STOX1","yellow",0.232380259087327
"MLXIP","yellow",0.2295105841909
"HMGCL","yellow",0.227806610330118
"ANKRD27","yellow",0.227085301126856
"CLSTN1","yellow",0.224301225244783
"RILPL1","yellow",0.220913858914168
"NSD2","yellow",0.219408590689755
"ANGEL1","yellow",0.218499446958887
"PPP2R5E","yellow",0.21749228879932
"GATD1","yellow",0.21728424959903
"AL136366.1","yellow",0.216754901894588
"ZNF652","yellow",0.21599057227535
"ZNF420","yellow",0.2140977613152
"STAT5B","yellow",0.213493230915012
"PSMF1","yellow",0.213099451813111
"PKNOX1","yellow",0.211636234031599
"ACAD10","yellow",0.211429929596045
"AL121761.1","yellow",0.210299827958822
"GPBP1L1","yellow",0.207357909294854
