"iteration","cell_type","subcluster","module","module_size","gene","module_membership","percentile"
"T1","Astrocytes","8","yellow",218,"ADGRB3",0.526,100
"T1","Astrocytes","8","yellow",218,"MAP3K5",0.444,100
"T1","Astrocytes","8","yellow",218,"SASH1",0.425,100
"T1","Astrocytes","8","yellow",218,"UTRN",0.411,99
"T1","Astrocytes","8","yellow",218,"RPS6KA2",0.389,99
"T1","Astrocytes","8","yellow",218,"CARMIL1",0.384,98
"T1","Astrocytes","8","yellow",218,"PRKN",0.381,98
"T1","Astrocytes","8","yellow",218,"FUT9",0.371,97
"T1","Astrocytes","8","yellow",218,"FYN",0.369,97
"T1","Astrocytes","8","yellow",218,"NHSL1",0.367,96
"T1","Astrocytes","8","yellow",218,"PDE7B",0.365,96
"T1","Astrocytes","8","yellow",218,"ARID1B",0.339,95
"T1","Astrocytes","8","yellow",218,"STXBP5",0.336,95
"T1","Astrocytes","8","yellow",218,"REV3L",0.336,95
"T1","Astrocytes","8","yellow",218,"FKBP5",0.327,94
"T1","Astrocytes","8","yellow",218,"DST",0.322,94
"T1","Astrocytes","8","yellow",218,"ME1",0.296,93
"T1","Astrocytes","8","yellow",218,"ZFAND3",0.294,92
"T1","Astrocytes","8","yellow",218,"BTBD9",0.294,93
"T1","Astrocytes","8","yellow",218,"SYNE1",0.289,92
"T1","Astrocytes","8","yellow",218,"FARS2",0.288,91
"T1","Astrocytes","8","yellow",218,"CEP85L",0.288,91
"T1","Astrocytes","8","yellow",218,"JARID2",0.285,90
"T1","Astrocytes","8","yellow",218,"CDKAL1",0.283,90
"T1","Astrocytes","8","yellow",218,"FOXO3",0.277,89
"T1","Astrocytes","8","yellow",218,"GMDS-DT",0.274,89
"T1","Astrocytes","8","yellow",218,"SENP6",0.273,89
"T1","Astrocytes","8","yellow",218,"SLC35F1",0.271,88
"T1","Astrocytes","8","yellow",218,"LAMA2",0.266,88
"T1","Astrocytes","8","yellow",218,"ATXN1",0.265,87
"T1","Astrocytes","8","yellow",218,"BCKDHB",0.261,87
"T1","Astrocytes","8","yellow",218,"UST",0.259,86
"T1","Astrocytes","8","yellow",218,"TPD52L1",0.256,86
"T1","Astrocytes","8","yellow",218,"FAM135A",0.253,85
"T1","Astrocytes","8","yellow",218,"REPS1",0.253,85
"T1","Astrocytes","8","yellow",218,"PNISR",0.251,84
"T1","Astrocytes","8","yellow",218,"HMGCLL1",0.249,84
"T1","Astrocytes","8","yellow",218,"KIF13A",0.247,83
"T1","Astrocytes","8","yellow",218,"ASCC3",0.245,83
"T1","Astrocytes","8","yellow",218,"SUPT3H",0.245,83
"T1","Astrocytes","8","yellow",218,"LAMA4",0.241,82
"T1","Astrocytes","8","yellow",218,"ZNF292",0.24,81
"T1","Astrocytes","8","yellow",218,"AHI1",0.24,82
"T1","Astrocytes","8","yellow",218,"TAB2",0.239,81
"T1","Astrocytes","8","yellow",218,"GABBR1",0.237,80
"T1","Astrocytes","8","yellow",218,"HIVEP1",0.233,80
"T1","Astrocytes","8","yellow",218,"SHPRH",0.228,79
"T1","Astrocytes","8","yellow",218,"PLEKHG1",0.228,79
"T1","Astrocytes","8","yellow",218,"SNAP91",0.224,78
"T1","Astrocytes","8","yellow",218,"TIAM2",0.223,78
"T1","Astrocytes","8","yellow",218,"AL138828.1",0.221,77
"T1","Astrocytes","8","yellow",218,"SOBP",0.22,77
"T1","Astrocytes","8","yellow",218,"PHF3",0.219,77
"T1","Astrocytes","8","yellow",218,"METTL24",0.218,75
"T1","Astrocytes","8","yellow",218,"SCAF8",0.218,76
"T1","Astrocytes","8","yellow",218,"AFG1L",0.218,76
"T1","Astrocytes","8","yellow",218,"HIVEP2",0.214,74
"T1","Astrocytes","8","yellow",218,"DSE",0.214,75
"T1","Astrocytes","8","yellow",218,"WDR27",0.213,74
"T1","Astrocytes","8","yellow",218,"EPB41L2",0.211,73
"T1","Astrocytes","8","yellow",218,"TBC1D32",0.209,73
"T1","Astrocytes","8","yellow",218,"FAM120B",0.205,72
"T1","Astrocytes","8","yellow",218,"AL022068.1",0.203,72
"T1","Astrocytes","8","yellow",218,"TRAF3IP2-AS1",0.202,71
"T1","Astrocytes","8","yellow",218,"EFHC1",0.201,71
"T1","Astrocytes","8","yellow",218,"GMPR",0.2,71
"T1","Astrocytes","8","yellow",218,"IRAK1BP1",0.198,70
"T1","Astrocytes","8","yellow",218,"AL589740.1",0.197,70
"T1","Astrocytes","8","yellow",218,"SESN1",0.194,69
"T1","Astrocytes","8","yellow",218,"FAM184A",0.193,68
"T1","Astrocytes","8","yellow",218,"UBR2",0.193,69
"T1","Astrocytes","8","yellow",218,"SMAP1",0.192,67
"T1","Astrocytes","8","yellow",218,"MTHFD1L",0.192,68
"T1","Astrocytes","8","yellow",218,"RNF217",0.19,67
"T1","Astrocytes","8","yellow",218,"EPM2A",0.189,66
"T1","Astrocytes","8","yellow",218,"ZDHHC14",0.188,65
"T1","Astrocytes","8","yellow",218,"IBTK",0.188,66
"T1","Astrocytes","8","yellow",218,"PDSS2",0.185,65
"T1","Astrocytes","8","yellow",218,"DOPEY1",0.185,65
"T1","Astrocytes","8","yellow",218,"TRDN",0.184,63
"T1","Astrocytes","8","yellow",218,"MAPK14",0.184,64
"T1","Astrocytes","8","yellow",218,"TRERF1",0.184,64
"T1","Astrocytes","8","yellow",218,"SLC18B1",0.183,62
"T1","Astrocytes","8","yellow",218,"OGFRL1",0.183,62
"T1","Astrocytes","8","yellow",218,"ARMC2",0.183,63
"T1","Astrocytes","8","yellow",218,"PHACTR1",0.182,60
"T1","Astrocytes","8","yellow",218,"RREB1",0.182,60
"T1","Astrocytes","8","yellow",218,"PACRG",0.182,61
"T1","Astrocytes","8","yellow",218,"IGF2R",0.182,61
"T1","Astrocytes","8","yellow",218,"EXOC2",0.181,59
"T1","Astrocytes","8","yellow",218,"KIAA0319",0.181,59
"T1","Astrocytes","8","yellow",218,"AFDN",0.18,59
"T1","Astrocytes","8","yellow",218,"RIPOR2",0.178,58
"T1","Astrocytes","8","yellow",218,"CD2AP",0.177,57
"T1","Astrocytes","8","yellow",218,"CYB5R4",0.177,58
"T1","Astrocytes","8","yellow",218,"LMBRD1",0.173,57
"T1","Astrocytes","8","yellow",218,"ANKS1A",0.172,56
"T1","Astrocytes","8","yellow",218,"UFL1-AS1",0.17,55
"T1","Astrocytes","8","yellow",218,"MAN1A1",0.17,56
"T1","Astrocytes","8","yellow",218,"GMDS",0.167,55
"T1","Astrocytes","8","yellow",218,"ZNF451",0.165,54
"T1","Astrocytes","8","yellow",218,"CDYL",0.164,54
"T1","Astrocytes","8","yellow",218,"AL136164.2",0.163,53
"T1","Astrocytes","8","yellow",218,"HCG17",0.162,53
"T1","Astrocytes","8","yellow",218,"MCM9",0.161,52
"T1","Astrocytes","8","yellow",218,"AIG1",0.161,53
"T1","Astrocytes","8","yellow",218,"CCDC170",0.16,52
"T1","Astrocytes","8","yellow",218,"E2F3",0.159,51
"T1","Astrocytes","8","yellow",218,"BICRAL",0.156,51
"T1","Astrocytes","8","yellow",218,"AL356599.1",0.152,50
"T1","Astrocytes","8","yellow",218,"CD109",0.151,50
"T1","Astrocytes","8","yellow",218,"MDN1",0.15,49
"T1","Astrocytes","8","yellow",218,"VTA1",0.149,49
"T1","Astrocytes","8","yellow",218,"GOPC",0.148,48
"T1","Astrocytes","8","yellow",218,"DTNBP1",0.147,48
"T1","Astrocytes","8","yellow",218,"STXBP5-AS1",0.147,48
"T1","Astrocytes","8","yellow",218,"PSMG4",0.146,47
"T1","Astrocytes","8","yellow",218,"PREP",0.145,47
"T1","Astrocytes","8","yellow",218,"RNGTT",0.142,46
"T1","Astrocytes","8","yellow",218,"MAP3K7",0.141,46
"T1","Astrocytes","8","yellow",218,"AL450332.1",0.14,44
"T1","Astrocytes","8","yellow",218,"FBXL4",0.14,45
"T1","Astrocytes","8","yellow",218,"DAAM2",0.14,45
"T1","Astrocytes","8","yellow",218,"CEP162",0.138,43
"T1","Astrocytes","8","yellow",218,"CPNE5",0.138,44
"T1","Astrocytes","8","yellow",218,"GCLC",0.137,43
"T1","Astrocytes","8","yellow",218,"RIMS1",0.136,42
"T1","Astrocytes","8","yellow",218,"BCLAF1",0.134,42
"T1","Astrocytes","8","yellow",218,"ENPP5",0.132,42
"T1","Astrocytes","8","yellow",218,"LRFN2",0.131,41
"T1","Astrocytes","8","yellow",218,"USP45",0.13,40
"T1","Astrocytes","8","yellow",218,"MAK",0.13,41
"T1","Astrocytes","8","yellow",218,"SEC63",0.129,40
"T1","Astrocytes","8","yellow",218,"CCND3",0.128,38
"T1","Astrocytes","8","yellow",218,"NT5E",0.128,39
"T1","Astrocytes","8","yellow",218,"UBE3D",0.128,39
