"iteration","cell_type","subcluster","module","module_size","gene","module_membership","percentile"
"T1","Astrocytes_microglia","23","yellowgreen",220,"RPLP2",0.604,100
"T1","Astrocytes_microglia","23","yellowgreen",220,"RBM10",0.554,100
"T1","Astrocytes_microglia","23","yellowgreen",220,"TMEM8B",0.553,100
"T1","Astrocytes_microglia","23","yellowgreen",220,"FAM96B",0.543,99
"T1","Astrocytes_microglia","23","yellowgreen",220,"CCDC24",0.529,99
"T1","Astrocytes_microglia","23","yellowgreen",220,"AC015923.1",0.522,98
"T1","Astrocytes_microglia","23","yellowgreen",220,"AIFM1",0.507,98
"T1","Astrocytes_microglia","23","yellowgreen",220,"CYC1",0.505,97
"T1","Astrocytes_microglia","23","yellowgreen",220,"NARS",0.487,97
"T1","Astrocytes_microglia","23","yellowgreen",220,"MED29",0.484,96
"T1","Astrocytes_microglia","23","yellowgreen",220,"AUP1",0.478,96
"T1","Astrocytes_microglia","23","yellowgreen",220,"PIH1D1",0.475,95
"T1","Astrocytes_microglia","23","yellowgreen",220,"AC123768.3",0.474,95
"T1","Astrocytes_microglia","23","yellowgreen",220,"E2F4",0.474,95
"T1","Astrocytes_microglia","23","yellowgreen",220,"LRRC4B",0.472,94
"T1","Astrocytes_microglia","23","yellowgreen",220,"BTN2A2",0.472,94
"T1","Astrocytes_microglia","23","yellowgreen",220,"A2ML1-AS1",0.457,93
"T1","Astrocytes_microglia","23","yellowgreen",220,"LIAS",0.452,93
"T1","Astrocytes_microglia","23","yellowgreen",220,"DPYD-AS1",0.45,92
"T1","Astrocytes_microglia","23","yellowgreen",220,"C6orf136",0.447,91
"T1","Astrocytes_microglia","23","yellowgreen",220,"SLC9A1",0.447,92
"T1","Astrocytes_microglia","23","yellowgreen",220,"ZNF444",0.446,91
"T1","Astrocytes_microglia","23","yellowgreen",220,"S100A1",0.442,90
"T1","Astrocytes_microglia","23","yellowgreen",220,"ZUP1",0.439,90
"T1","Astrocytes_microglia","23","yellowgreen",220,"C2orf42",0.43,90
"T1","Astrocytes_microglia","23","yellowgreen",220,"C1S",0.428,89
"T1","Astrocytes_microglia","23","yellowgreen",220,"HTATIP2",0.427,89
"T1","Astrocytes_microglia","23","yellowgreen",220,"LZTS3",0.425,88
"T1","Astrocytes_microglia","23","yellowgreen",220,"NDUFS6",0.424,87
"T1","Astrocytes_microglia","23","yellowgreen",220,"SULT1C4",0.424,88
"T1","Astrocytes_microglia","23","yellowgreen",220,"UROS",0.42,87
"T1","Astrocytes_microglia","23","yellowgreen",220,"TNPO2",0.417,86
"T1","Astrocytes_microglia","23","yellowgreen",220,"CREBZF",0.413,86
"T1","Astrocytes_microglia","23","yellowgreen",220,"ROBO3",0.412,85
"T1","Astrocytes_microglia","23","yellowgreen",220,"TMEM154",0.409,85
"T1","Astrocytes_microglia","23","yellowgreen",220,"PSMD2",0.408,85
"T1","Astrocytes_microglia","23","yellowgreen",220,"INKA2",0.397,84
"T1","Astrocytes_microglia","23","yellowgreen",220,"WAS",0.397,84
"T1","Astrocytes_microglia","23","yellowgreen",220,"HDHD5-AS1",0.394,82
"T1","Astrocytes_microglia","23","yellowgreen",220,"BTBD8",0.394,83
"T1","Astrocytes_microglia","23","yellowgreen",220,"SNRNP35",0.394,83
"T1","Astrocytes_microglia","23","yellowgreen",220,"COX7C",0.392,82
"T1","Astrocytes_microglia","23","yellowgreen",220,"UBE2L6",0.391,81
"T1","Astrocytes_microglia","23","yellowgreen",220,"ZNF703",0.39,81
