"iteration","cell_type","subcluster","module","module_size","gene","module_membership","percentile"
"T1","Connective_tissue_cells","21","yellowgreen",98,"HEY1",0.619,100
"T1","Connective_tissue_cells","21","yellowgreen",98,"GNS",0.563,99
"T1","Connective_tissue_cells","21","yellowgreen",98,"RBP1",0.551,98
"T1","Connective_tissue_cells","21","yellowgreen",98,"MARCKS",0.53,97
"T1","Connective_tissue_cells","21","yellowgreen",98,"ZNF394",0.529,96
"T1","Connective_tissue_cells","21","yellowgreen",98,"AKR1C3",0.503,95
"T1","Connective_tissue_cells","21","yellowgreen",98,"PRPF19",0.498,94
"T1","Connective_tissue_cells","21","yellowgreen",98,"SYPL1",0.497,93
"T1","Connective_tissue_cells","21","yellowgreen",98,"AASDH",0.474,92
"T1","Connective_tissue_cells","21","yellowgreen",98,"ZNF345",0.473,91
"T1","Connective_tissue_cells","21","yellowgreen",98,"TMEM219",0.471,90
"T1","Connective_tissue_cells","21","yellowgreen",98,"ERCC4",0.456,89
"T1","Connective_tissue_cells","21","yellowgreen",98,"NSUN3",0.454,88
"T1","Connective_tissue_cells","21","yellowgreen",98,"MTA1",0.442,87
"T1","Connective_tissue_cells","21","yellowgreen",98,"CMTM6",0.441,86
"T1","Connective_tissue_cells","21","yellowgreen",98,"ERLEC1",0.44,85
"T1","Connective_tissue_cells","21","yellowgreen",98,"ORC5",0.43,84
"T1","Connective_tissue_cells","21","yellowgreen",98,"JUN",0.425,83
"T1","Connective_tissue_cells","21","yellowgreen",98,"PPM1G",0.424,82
"T1","Connective_tissue_cells","21","yellowgreen",98,"KIT",0.422,81
"T1","Connective_tissue_cells","21","yellowgreen",98,"MARVELD1",0.421,80
"T1","Connective_tissue_cells","21","yellowgreen",98,"ETFRF1",0.415,79
"T1","Connective_tissue_cells","21","yellowgreen",98,"MAGT1",0.412,78
"T1","Connective_tissue_cells","21","yellowgreen",98,"LMAN2",0.411,76
"T1","Connective_tissue_cells","21","yellowgreen",98,"FAM104A",0.411,77
"T1","Connective_tissue_cells","21","yellowgreen",98,"MXD4",0.408,75
"T1","Connective_tissue_cells","21","yellowgreen",98,"PRRC1",0.406,73
"T1","Connective_tissue_cells","21","yellowgreen",98,"BTBD3",0.406,74
"T1","Connective_tissue_cells","21","yellowgreen",98,"MALT1",0.403,72
"T1","Connective_tissue_cells","21","yellowgreen",98,"KLHL28",0.399,70
"T1","Connective_tissue_cells","21","yellowgreen",98,"RASA3",0.399,71
"T1","Connective_tissue_cells","21","yellowgreen",98,"ERCC3",0.395,69
"T1","Connective_tissue_cells","21","yellowgreen",98,"FBXW2",0.39,66
"T1","Connective_tissue_cells","21","yellowgreen",98,"ZC3H18",0.39,68
"T1","Connective_tissue_cells","21","yellowgreen",98,"KLHDC2",0.388,65
"T1","Connective_tissue_cells","21","yellowgreen",98,"ELP6",0.386,64
"T1","Connective_tissue_cells","21","yellowgreen",98,"SDF4",0.38,63
"T1","Connective_tissue_cells","21","yellowgreen",98,"FGL2",0.376,62
"T1","Connective_tissue_cells","21","yellowgreen",98,"MIATNB",0.373,60
"T1","Connective_tissue_cells","21","yellowgreen",98,"PHLDA1",0.373,61
"T1","Connective_tissue_cells","21","yellowgreen",98,"RFK",0.368,59
"T1","Connective_tissue_cells","21","yellowgreen",98,"TMEM106B",0.361,57
"T1","Connective_tissue_cells","21","yellowgreen",98,"NUMBL",0.361,58
"T1","Connective_tissue_cells","21","yellowgreen",98,"AC073082.1",0.359,56
"T1","Connective_tissue_cells","21","yellowgreen",98,"THAP6",0.358,54
"T1","Connective_tissue_cells","21","yellowgreen",98,"PRKAA2",0.358,55
"T1","Connective_tissue_cells","21","yellowgreen",98,"ZNF765",0.355,53
"T1","Connective_tissue_cells","21","yellowgreen",98,"XPOT",0.354,52
"T1","Connective_tissue_cells","21","yellowgreen",98,"GLB1",0.353,51
"T1","Connective_tissue_cells","21","yellowgreen",98,"WIPI2",0.349,50
"T1","Connective_tissue_cells","21","yellowgreen",98,"PAIP2",0.348,49
"T1","Connective_tissue_cells","21","yellowgreen",98,"ULK1",0.341,47
"T1","Connective_tissue_cells","21","yellowgreen",98,"VAT1",0.341,48
"T1","Connective_tissue_cells","21","yellowgreen",98,"ANKDD1A",0.34,45
"T1","Connective_tissue_cells","21","yellowgreen",98,"ATP6V0D1",0.34,46
"T1","Connective_tissue_cells","21","yellowgreen",98,"PMP22",0.337,43
"T1","Connective_tissue_cells","21","yellowgreen",98,"SEMA3D",0.337,44
"T1","Connective_tissue_cells","21","yellowgreen",98,"GINM1",0.335,42
"T1","Connective_tissue_cells","21","yellowgreen",98,"FLNA",0.333,40
