"gene","module","mm"
"FLT3","yellow",0.62918293888207
"NLRP1","yellow",0.527900336794993
"AFP","yellow",0.521465468408044
"BMX","yellow",0.51578627420815
"AC023389.1","yellow",0.50823773994421
"AC027288.3","yellow",0.492709193092506
"KIAA2012","yellow",0.459221674795443
"SWAP70","yellow",0.458844452596589
"SERPINB9","yellow",0.445070639629038
"SEMA5A","yellow",0.43945797172814
"AC090709.1","yellow",0.428279486739359
"PLCG2","yellow",0.389503181039818
"LINC00513","yellow",0.387574009978032
"SPINDOC","yellow",0.386649950626484
"AL392023.2","yellow",0.381472136985903
"TIAM2","yellow",0.377906120574576
"AC069228.1","yellow",0.377789739161202
"MROH8","yellow",0.361737842485449
"AC004594.1","yellow",0.361166447818168
"EYS","yellow",0.355724313226404
"SLC8A1-AS1","yellow",0.354713343796534
"PTK7","yellow",0.342504732829381
"LINC02256","yellow",0.321716533607962
"PLBD1","yellow",0.32085610218743
"AC093879.1","yellow",0.320379078901543
"LINC00486","yellow",0.318411239376164
"FBXO16","yellow",0.31462324033093
"C12orf40","yellow",0.314133252145198
"AL117190.2","yellow",0.311913931016068
"LMNA","yellow",0.303808527926277
"MGST1","yellow",0.296502820467904
"AC119868.2","yellow",0.294042569632199
"AC008056.1","yellow",0.291529692508122
"PDE5A","yellow",0.282606909633409
"SNAP25-AS1","yellow",0.281707764720826
"TSPAN10","yellow",0.276648541109431
"POLR2B","yellow",0.270000053831345
"LAMA1","yellow",0.267229781884521
"AP003086.2","yellow",0.25859993202474
"HES4","yellow",0.255260351804478
"AC058791.1","yellow",0.246960888416166
"TPBG","yellow",0.233962340140052
"AP001825.1","yellow",0.232351122465216
"SCAP","yellow",0.231752116448989
"ANKLE2","yellow",0.225681491345906
"UBE3A","yellow",0.218572786336656
"WSB1","yellow",0.216737402465942
"BAIAP2L2","yellow",0.212728284097903
"ACYP1","yellow",0.212585706987313
"AC063944.1","yellow",0.211737316967987
"AL391807.1","yellow",0.184932351728262
"LRP4","yellow",0.174530597100607
"MEG3","yellow",0.171451966935108
"DDX5","yellow",0.169094504188842
"ZFAND1","yellow",0.167719214238002
"SAT2","yellow",0.163374966655515
"FAM149B1","yellow",0.161882610499676
"ACTR3C","yellow",0.161320567393154
"CGGBP1","yellow",0.155530714975452
"WDR20","yellow",0.153959951190848
"CYB5D2","yellow",0.150973394747751
"DHX30","yellow",0.148211814885008
"AC074032.1","yellow",0.147313130961363
"ABCC4","yellow",0.146993645621243
"SCRN3","yellow",0.14625861677087
"BRD8","yellow",0.143399283554513
"LRP3","yellow",0.140845260854225
"MRPS36","yellow",0.136806225710669
"ZNF302","yellow",0.135963311568034
