"iteration","cell_type","subcluster","module","module_size","gene","module_membership","percentile"
"T3","DA_like_neurons","11","yellow",667,"RNF220",0.757,100
"T3","DA_like_neurons","11","yellow",667,"TMEM144",0.726,100
"T3","DA_like_neurons","11","yellow",667,"ST18",0.72,100
"T3","DA_like_neurons","11","yellow",667,"PIP4K2A",0.708,100
"T3","DA_like_neurons","11","yellow",667,"ARAP2",0.702,100
"T3","DA_like_neurons","11","yellow",667,"NCKAP5",0.701,100
"T3","DA_like_neurons","11","yellow",667,"DOCK5",0.695,100
"T3","DA_like_neurons","11","yellow",667,"DOCK1",0.689,99
"T3","DA_like_neurons","11","yellow",667,"ZEB2",0.688,99
"T3","DA_like_neurons","11","yellow",667,"MBP",0.676,99
"T3","DA_like_neurons","11","yellow",667,"PLCL1",0.675,99
"T3","DA_like_neurons","11","yellow",667,"CTNNA3",0.669,99
"T3","DA_like_neurons","11","yellow",667,"FRMD5",0.668,99
"T3","DA_like_neurons","11","yellow",667,"CLMN",0.662,99
"T3","DA_like_neurons","11","yellow",667,"PHLPP1",0.63,98
"T3","DA_like_neurons","11","yellow",667,"GPM6B",0.628,98
"T3","DA_like_neurons","11","yellow",667,"SLC44A1",0.622,98
"T3","DA_like_neurons","11","yellow",667,"CNP",0.619,98
"T3","DA_like_neurons","11","yellow",667,"AC026316.5",0.618,98
"T3","DA_like_neurons","11","yellow",667,"SPOCK1",0.617,98
"T3","DA_like_neurons","11","yellow",667,"PLP1",0.615,97
"T3","DA_like_neurons","11","yellow",667,"GAB1",0.612,97
"T3","DA_like_neurons","11","yellow",667,"ENPP2",0.609,97
"T3","DA_like_neurons","11","yellow",667,"CDH20",0.607,97
"T3","DA_like_neurons","11","yellow",667,"CREB5",0.603,97
"T3","DA_like_neurons","11","yellow",667,"TF",0.599,97
"T3","DA_like_neurons","11","yellow",667,"PLEKHH1",0.594,97
"T3","DA_like_neurons","11","yellow",667,"ZNF536",0.588,96
"T3","DA_like_neurons","11","yellow",667,"GRM3",0.579,96
"T3","DA_like_neurons","11","yellow",667,"QKI",0.576,96
"T3","DA_like_neurons","11","yellow",667,"PDE1C",0.572,96
"T3","DA_like_neurons","11","yellow",667,"TMTC2",0.562,96
"T3","DA_like_neurons","11","yellow",667,"GPRC5B",0.557,96
"T3","DA_like_neurons","11","yellow",667,"MTUS1",0.534,96
"T3","DA_like_neurons","11","yellow",667,"SLAIN1",0.531,95
"T3","DA_like_neurons","11","yellow",667,"ST6GALNAC3",0.527,95
"T3","DA_like_neurons","11","yellow",667,"NPAS3",0.527,95
"T3","DA_like_neurons","11","yellow",667,"ELMO1",0.515,95
"T3","DA_like_neurons","11","yellow",667,"TMEM165",0.508,95
"T3","DA_like_neurons","11","yellow",667,"LAMP2",0.505,94
"T3","DA_like_neurons","11","yellow",667,"PCDH9",0.505,94
"T3","DA_like_neurons","11","yellow",667,"EDIL3",0.505,94
"T3","DA_like_neurons","11","yellow",667,"NFIA",0.505,95
"T3","DA_like_neurons","11","yellow",667,"ABCA2",0.504,94
"T3","DA_like_neurons","11","yellow",667,"CERCAM",0.503,94
"T3","DA_like_neurons","11","yellow",667,"CDK19",0.502,94
"T3","DA_like_neurons","11","yellow",667,"AMER2",0.502,94
"T3","DA_like_neurons","11","yellow",667,"NDRG1",0.5,93
"T3","DA_like_neurons","11","yellow",667,"SLC1A3",0.488,93
"T3","DA_like_neurons","11","yellow",667,"STARD13",0.488,93
"T3","DA_like_neurons","11","yellow",667,"ERBIN",0.481,93
"T3","DA_like_neurons","11","yellow",667,"ADIPOR2",0.475,93
"T3","DA_like_neurons","11","yellow",667,"HIP1",0.474,93
"T3","DA_like_neurons","11","yellow",667,"KLHL32",0.459,93
"T3","DA_like_neurons","11","yellow",667,"MAN2A1",0.456,92
"T3","DA_like_neurons","11","yellow",667,"BCL2",0.451,92
"T3","DA_like_neurons","11","yellow",667,"ZHX2",0.451,92
"T3","DA_like_neurons","11","yellow",667,"FMNL2",0.447,92
"T3","DA_like_neurons","11","yellow",667,"PRUNE2",0.444,92
"T3","DA_like_neurons","11","yellow",667,"SASH1",0.442,92
"T3","DA_like_neurons","11","yellow",667,"TCF12",0.441,91
"T3","DA_like_neurons","11","yellow",667,"CCP110",0.441,91
"T3","DA_like_neurons","11","yellow",667,"GSN",0.441,91
"T3","DA_like_neurons","11","yellow",667,"COLGALT2",0.44,91
"T3","DA_like_neurons","11","yellow",667,"APLP1",0.44,91
"T3","DA_like_neurons","11","yellow",667,"SORT1",0.439,91
"T3","DA_like_neurons","11","yellow",667,"CLDND1",0.437,91
"T3","DA_like_neurons","11","yellow",667,"FRYL",0.434,90
"T3","DA_like_neurons","11","yellow",667,"PLA2G16",0.432,90
"T3","DA_like_neurons","11","yellow",667,"RYBP",0.428,90
"T3","DA_like_neurons","11","yellow",667,"CNTN2",0.427,90
"T3","DA_like_neurons","11","yellow",667,"NDRG2",0.426,90
"T3","DA_like_neurons","11","yellow",667,"GLUL",0.416,90
"T3","DA_like_neurons","11","yellow",667,"GLCE",0.412,90
"T3","DA_like_neurons","11","yellow",667,"POLR2F",0.406,89
"T3","DA_like_neurons","11","yellow",667,"NPC1",0.403,89
"T3","DA_like_neurons","11","yellow",667,"GLTP",0.402,89
"T3","DA_like_neurons","11","yellow",667,"USP54",0.401,89
"T3","DA_like_neurons","11","yellow",667,"SLC39A11",0.397,89
"T3","DA_like_neurons","11","yellow",667,"TSPAN5",0.396,89
"T3","DA_like_neurons","11","yellow",667,"ZBTB16",0.394,88
"T3","DA_like_neurons","11","yellow",667,"MAP7",0.393,88
"T3","DA_like_neurons","11","yellow",667,"KIZ",0.393,88
"T3","DA_like_neurons","11","yellow",667,"HTRA1",0.392,88
"T3","DA_like_neurons","11","yellow",667,"SLCO3A1",0.389,88
"T3","DA_like_neurons","11","yellow",667,"CTNNA1",0.388,88
"T3","DA_like_neurons","11","yellow",667,"PDE8A",0.384,87
"T3","DA_like_neurons","11","yellow",667,"MIRLET7BHG",0.384,88
"T3","DA_like_neurons","11","yellow",667,"B3GAT1",0.381,87
"T3","DA_like_neurons","11","yellow",667,"GNAI1",0.381,87
"T3","DA_like_neurons","11","yellow",667,"SEMA4D",0.378,87
"T3","DA_like_neurons","11","yellow",667,"TTC7A",0.377,87
"T3","DA_like_neurons","11","yellow",667,"SGK3",0.374,87
"T3","DA_like_neurons","11","yellow",667,"MYO1D",0.371,87
"T3","DA_like_neurons","11","yellow",667,"CHD7",0.37,86
"T3","DA_like_neurons","11","yellow",667,"NKAIN2",0.369,86
"T3","DA_like_neurons","11","yellow",667,"TCF4",0.366,86
"T3","DA_like_neurons","11","yellow",667,"ARHGAP21",0.365,86
"T3","DA_like_neurons","11","yellow",667,"TAPT1-AS1",0.365,86
"T3","DA_like_neurons","11","yellow",667,"ATP11A",0.365,86
"T3","DA_like_neurons","11","yellow",667,"MXI1",0.364,85
"T3","DA_like_neurons","11","yellow",667,"FAM124A",0.364,85
"T3","DA_like_neurons","11","yellow",667,"PXK",0.363,85
"T3","DA_like_neurons","11","yellow",667,"STMN4",0.355,85
"T3","DA_like_neurons","11","yellow",667,"DOCK9",0.354,85
"T3","DA_like_neurons","11","yellow",667,"AC006059.1",0.35,84
"T3","DA_like_neurons","11","yellow",667,"HIPK2",0.35,85
"T3","DA_like_neurons","11","yellow",667,"ATP8A1",0.35,85
"T3","DA_like_neurons","11","yellow",667,"TBL1X",0.349,84
"T3","DA_like_neurons","11","yellow",667,"LPAR1",0.348,84
"T3","DA_like_neurons","11","yellow",667,"SERINC5",0.344,84
"T3","DA_like_neurons","11","yellow",667,"TMCC2",0.342,84
"T3","DA_like_neurons","11","yellow",667,"CORO2B",0.341,84
"T3","DA_like_neurons","11","yellow",667,"SSBP2",0.34,84
"T3","DA_like_neurons","11","yellow",667,"AMD1",0.339,83
"T3","DA_like_neurons","11","yellow",667,"HDAC2-AS2",0.339,83
