"gene","module","mm"
"LDHB","yellow",0.663092033168574
"DSTN","yellow",0.632935611229766
"SEC11C","yellow",0.613276766144183
"FBXO2","yellow",0.589356882249942
"VDAC1","yellow",0.580783775042792
"SCG5","yellow",0.568177116350271
"MDH1","yellow",0.560650966152774
"HSP90AB1","yellow",0.550368233247412
"PARK7","yellow",0.550357850681815
"PINK1","yellow",0.545565299902139
"CHGB","yellow",0.536810079736424
"TUBB2A","yellow",0.535373679190112
"CCT7","yellow",0.531702352561485
"PSMB1","yellow",0.531031562942194
"VDAC2","yellow",0.525418532464861
"PSMA7","yellow",0.520173617123603
"VDAC3","yellow",0.519637912220532
"NEFL","yellow",0.515219027575542
"ATP5F1B","yellow",0.515006478877489
"SLC25A4","yellow",0.512680079601224
"NDUFB10","yellow",0.509215008040598
"TMEM208","yellow",0.508193514357273
"DYNC1I1","yellow",0.507708938725176
"ERP29","yellow",0.507368304909341
"UBB","yellow",0.505621245792856
"ATP5IF1","yellow",0.499862185915752
"UCHL1","yellow",0.496090609074277
"ATP6V1D","yellow",0.495882980668069
"LRPAP1","yellow",0.489562743720219
"ATP6V0E2","yellow",0.480085427722808
"COPS4","yellow",0.475826877045694
"HSP90AA1","yellow",0.472985291045805
"SLC8A1-AS1","yellow",0.464880311644545
"PSMC1","yellow",0.456638435473096
"MAP1LC3B2","yellow",0.451965161686385
"TUBB4B","yellow",0.451057304820663
"DDX24","yellow",0.448910003246979
"PCMT1","yellow",0.446949957230421
"PSMB5","yellow",0.446332540159811
"PSMC4","yellow",0.443125088654005
"SUCLA2","yellow",0.440102254965336
"PPA1","yellow",0.436514044140475
"TKT","yellow",0.43438606297305
"TALDO1","yellow",0.433561976414854
"PHB","yellow",0.426999355364327
"DNAJA1","yellow",0.423229174717339
"ATP6V1E1","yellow",0.416553055742861
"ENO1","yellow",0.412484430322099
"MAGED2","yellow",0.411090907283512
"PSMD8","yellow",0.408479924869722
"IDI1","yellow",0.407349247715118
"XRCC6","yellow",0.406501123450761
"TCF25","yellow",0.403962266043783
"DCTN2","yellow",0.393413950804658
"EMC7","yellow",0.392290738030455
"NDUFA5","yellow",0.384619932008634
"UQCRC2","yellow",0.383745482089855
"NPM1","yellow",0.383522550674325
"CCT3","yellow",0.383237143171646
"CCT5","yellow",0.380645598617005
"SLC25A3","yellow",0.37883745066024
"NDUFAB1","yellow",0.372765653678193
"SAP18","yellow",0.372757477677563
"DDX1","yellow",0.370633380755542
"PSMB7","yellow",0.366939261856326
"SDHA","yellow",0.365315375541693
"UQCRFS1","yellow",0.365171906436815
"NTMT1","yellow",0.364092675390107
"FBXL15","yellow",0.363773320076129
"C1QBP","yellow",0.361354507272671
"STRAP","yellow",0.360766771240468
"NCL","yellow",0.358765768852962
"STMN1","yellow",0.355581667316584
"REEP5","yellow",0.355003735429792
"ZC3H15","yellow",0.353602666563782
"SCG3","yellow",0.352816063532681
"QDPR","yellow",0.352668656674793
"PSMD13","yellow",0.352523962204983
"ARPC3","yellow",0.351712126742483
"FKBP4","yellow",0.349390099218352
"TCEAL2","yellow",0.349173442942534
"NDUFA12","yellow",0.348831152190344
"SUCLG1","yellow",0.348688812860614
"ATP5F1C","yellow",0.347155823933187
"NDUFV1","yellow",0.346435783029389
"AC016723.1","yellow",0.344697760071002
"LDHA","yellow",0.343732456221462
"CLTA","yellow",0.343035146205225
"KIFAP3","yellow",0.340712976714943
"CHCHD3","yellow",0.339425429659914
"PRCP","yellow",0.337558896486983
"DNAJA2","yellow",0.336895812009357
"ACTR6","yellow",0.332942156481435
"XRCC5","yellow",0.332811639008267
"BLVRB","yellow",0.330149079592193
"MX1","yellow",0.32994175551124
"TUFM","yellow",0.328146589107836
"HMOX2","yellow",0.325297903629861
"VBP1","yellow",0.325294535595835
"PDCL3","yellow",0.324818611306354
"SPCS1","yellow",0.323915103896588
"PSMD2","yellow",0.323397975945753
"PFKM","yellow",0.322263405785749
"FXR1","yellow",0.320119009936979
"NDUFA10","yellow",0.319875187906721
"SMS","yellow",0.319367402243459
"PDHA1","yellow",0.316638181105099
"ACAT2","yellow",0.314185390510344
"CCT4","yellow",0.313569245114363
"POMP","yellow",0.313468742529213
"CALR","yellow",0.311692851413296
"NDUFB5","yellow",0.310972986241291
"OPTN","yellow",0.309496013697771
"SKP1","yellow",0.309298115290757
"RPN1","yellow",0.308840551189249
"TTC1","yellow",0.308311836533659
"AHSA1","yellow",0.307183133864748
"FDFT1","yellow",0.306964431017554
"NANS","yellow",0.305677730897622
"ASMTL","yellow",0.305059022361913
"FKBP3","yellow",0.303630782306314
"MYL12B","yellow",0.302586077342542
"AP2A2","yellow",0.302566624757996
"CTXN3","yellow",0.300765391875341
"SLC25A5","yellow",0.298917780044536
"CCT6A","yellow",0.297143449263167
"CACYBP","yellow",0.296170716707275
"C2orf80","yellow",0.293675910508836
"ST13","yellow",0.291087115465216
"CCDC189","yellow",0.288539297122659
"PSMD6","yellow",0.283008305524862
"DNAJC12","yellow",0.2820576558774
"RPS3A","yellow",0.280031780638811
"ACAA1","yellow",0.27992250652397
"LAPTM4A","yellow",0.279710796575443
"TCEAL4","yellow",0.277923704344048
"MFAP1","yellow",0.276861698258806
"BLVRA","yellow",0.276813784777101
"ATP6V0D1","yellow",0.276579069601148
"MAP2K2","yellow",0.274161834342348
"TMEM126B","yellow",0.273441474448483
"MRPS23","yellow",0.272721569365292
"TXNL1","yellow",0.271370366414466
"ZNF622","yellow",0.270324722111775
"GMPR2","yellow",0.266879150332051
"REXO2","yellow",0.266201358118638
"SPCS2","yellow",0.264963424516599
"DLK1","yellow",0.264169736336917
"COA3","yellow",0.262762149692565
"CCT8","yellow",0.25916568109724
"MRPS9","yellow",0.2585201630256
"MRFAP1","yellow",0.25804260409742
