"iteration","cell_type","subcluster","module","module_size","gene","module_membership","percentile"
"T5","DA_neurons","6","yellow",367,"LDHB",0.767,100
"T5","DA_neurons","6","yellow",367,"HSPA8",0.743,100
"T5","DA_neurons","6","yellow",367,"MDH1",0.706,100
"T5","DA_neurons","6","yellow",367,"PINK1",0.704,100
"T5","DA_neurons","6","yellow",367,"DYNC1I1",0.694,99
"T5","DA_neurons","6","yellow",367,"SCG5",0.682,99
"T5","DA_neurons","6","yellow",367,"ATP5F1B",0.669,99
"T5","DA_neurons","6","yellow",367,"SEC11C",0.664,99
"T5","DA_neurons","6","yellow",367,"CCT7",0.655,98
"T5","DA_neurons","6","yellow",367,"VDAC1",0.655,98
"T5","DA_neurons","6","yellow",367,"DSTN",0.651,98
"T5","DA_neurons","6","yellow",367,"CHGB",0.645,97
"T5","DA_neurons","6","yellow",367,"FBXO2",0.636,97
"T5","DA_neurons","6","yellow",367,"TUBA1A",0.635,97
"T5","DA_neurons","6","yellow",367,"PCMT1",0.631,96
"T5","DA_neurons","6","yellow",367,"VDAC2",0.631,97
"T5","DA_neurons","6","yellow",367,"ATP1A1",0.63,96
"T5","DA_neurons","6","yellow",367,"UBB",0.63,96
"T5","DA_neurons","6","yellow",367,"SLC25A4",0.627,96
"T5","DA_neurons","6","yellow",367,"HSP90AB1",0.607,95
"T5","DA_neurons","6","yellow",367,"NEFL",0.603,95
"T5","DA_neurons","6","yellow",367,"HSP90AA1",0.597,95
"T5","DA_neurons","6","yellow",367,"XRCC6",0.594,94
"T5","DA_neurons","6","yellow",367,"COPS4",0.592,94
"T5","DA_neurons","6","yellow",367,"ATP6V1D",0.592,94
"T5","DA_neurons","6","yellow",367,"UCHL1",0.587,93
"T5","DA_neurons","6","yellow",367,"SUCLA2",0.587,94
"T5","DA_neurons","6","yellow",367,"ERP29",0.585,93
"T5","DA_neurons","6","yellow",367,"TUBB2A",0.582,93
"T5","DA_neurons","6","yellow",367,"NDUFB10",0.576,93
"T5","DA_neurons","6","yellow",367,"LRPAP1",0.575,92
"T5","DA_neurons","6","yellow",367,"IDI1",0.575,92
"T5","DA_neurons","6","yellow",367,"HSPA4",0.572,92
"T5","DA_neurons","6","yellow",367,"UQCRC2",0.569,91
"T5","DA_neurons","6","yellow",367,"PPA1",0.566,91
"T5","DA_neurons","6","yellow",367,"ATP5PB",0.564,91
"T5","DA_neurons","6","yellow",367,"VDAC3",0.563,90
"T5","DA_neurons","6","yellow",367,"TCP1",0.563,91
"T5","DA_neurons","6","yellow",367,"STRAP",0.562,90
"T5","DA_neurons","6","yellow",367,"TMEM208",0.556,90
"T5","DA_neurons","6","yellow",367,"PARK7",0.553,90
"T5","DA_neurons","6","yellow",367,"PGK1",0.545,89
"T5","DA_neurons","6","yellow",367,"ATP6V1E1",0.541,89
"T5","DA_neurons","6","yellow",367,"MAGED2",0.537,88
"T5","DA_neurons","6","yellow",367,"TUBB4B",0.537,89
"T5","DA_neurons","6","yellow",367,"SLC25A3",0.536,88
"T5","DA_neurons","6","yellow",367,"ASAH1",0.535,88
"T5","DA_neurons","6","yellow",367,"SDHA",0.531,88
"T5","DA_neurons","6","yellow",367,"DCTN2",0.526,87
"T5","DA_neurons","6","yellow",367,"KIFAP3",0.526,87
"T5","DA_neurons","6","yellow",367,"NDUFA5",0.525,87
"T5","DA_neurons","6","yellow",367,"NCL",0.523,87
"T5","DA_neurons","6","yellow",367,"EMC7",0.52,86
"T5","DA_neurons","6","yellow",367,"CCT5",0.519,86
"T5","DA_neurons","6","yellow",367,"APLP2",0.517,86
"T5","DA_neurons","6","yellow",367,"ZC3H15",0.515,85
"T5","DA_neurons","6","yellow",367,"PFKM",0.505,85
"T5","DA_neurons","6","yellow",367,"ACOT7",0.502,85
"T5","DA_neurons","6","yellow",367,"PHB",0.499,85
"T5","DA_neurons","6","yellow",367,"MYL12B",0.498,84
"T5","DA_neurons","6","yellow",367,"QDPR",0.497,84
"T5","DA_neurons","6","yellow",367,"DDX1",0.496,84
"T5","DA_neurons","6","yellow",367,"HSPA5",0.495,84
"T5","DA_neurons","6","yellow",367,"DNAJA1",0.493,83
"T5","DA_neurons","6","yellow",367,"CCT3",0.491,83
"T5","DA_neurons","6","yellow",367,"PSMD2",0.49,82
"T5","DA_neurons","6","yellow",367,"HSPD1",0.49,83
"T5","DA_neurons","6","yellow",367,"TKT",0.488,82
"T5","DA_neurons","6","yellow",367,"UQCRFS1",0.486,82
"T5","DA_neurons","6","yellow",367,"ENO1",0.481,82
"T5","DA_neurons","6","yellow",367,"PSMC1",0.479,81
"T5","DA_neurons","6","yellow",367,"SMARCA1",0.478,81
"T5","DA_neurons","6","yellow",367,"VBP1",0.476,81
"T5","DA_neurons","6","yellow",367,"LDHA",0.472,81
"T5","DA_neurons","6","yellow",367,"TCF25",0.471,80
"T5","DA_neurons","6","yellow",367,"TTC1",0.469,80
"T5","DA_neurons","6","yellow",367,"TALDO1",0.464,80
"T5","DA_neurons","6","yellow",367,"SLC10A4",0.462,79
"T5","DA_neurons","6","yellow",367,"DHX36",0.461,79
"T5","DA_neurons","6","yellow",367,"PDIA3",0.461,79
"T5","DA_neurons","6","yellow",367,"DNAJA2",0.46,79
"T5","DA_neurons","6","yellow",367,"FKBP4",0.453,78
"T5","DA_neurons","6","yellow",367,"PRCP",0.447,78
"T5","DA_neurons","6","yellow",367,"CCT6A",0.445,78
"T5","DA_neurons","6","yellow",367,"REEP5",0.444,78
"T5","DA_neurons","6","yellow",367,"OPTN",0.443,77
"T5","DA_neurons","6","yellow",367,"GDI2",0.443,77
"T5","DA_neurons","6","yellow",367,"SAP18",0.438,77
"T5","DA_neurons","6","yellow",367,"ATP6V0D1",0.434,76
"T5","DA_neurons","6","yellow",367,"CCT4",0.434,76
"T5","DA_neurons","6","yellow",367,"MAP1LC3B2",0.432,76
"T5","DA_neurons","6","yellow",367,"MAN2A2",0.431,76
"T5","DA_neurons","6","yellow",367,"STMN1",0.43,75
"T5","DA_neurons","6","yellow",367,"PARP1",0.427,75
"T5","DA_neurons","6","yellow",367,"CTSF",0.427,75
"T5","DA_neurons","6","yellow",367,"PSMD13",0.425,75
"T5","DA_neurons","6","yellow",367,"AP2A1",0.423,74
"T5","DA_neurons","6","yellow",367,"FDFT1",0.422,74
"T5","DA_neurons","6","yellow",367,"RPN1",0.417,74
"T5","DA_neurons","6","yellow",367,"SKP1",0.416,73
"T5","DA_neurons","6","yellow",367,"SPCS1",0.414,73
"T5","DA_neurons","6","yellow",367,"TUFM",0.414,73
"T5","DA_neurons","6","yellow",367,"ASNS",0.412,73
"T5","DA_neurons","6","yellow",367,"NDUFAB1",0.411,72
"T5","DA_neurons","6","yellow",367,"TCEAL2",0.411,72
"T5","DA_neurons","6","yellow",367,"SUCLG1",0.41,72
"T5","DA_neurons","6","yellow",367,"PSAP",0.408,72
"T5","DA_neurons","6","yellow",367,"TUBB2B",0.403,71
