"gene","module","mm"
"UBC","yellow",0.441233887330808
"TUBB4B","yellow",0.436407961569772
"TM4SF1","yellow",0.394445557780366
"IL32","yellow",0.389492363736436
"SLCO4A1","yellow",0.386905065573652
"PNP","yellow",0.377298609597775
"HYAL2","yellow",0.372367239179988
"ANXA5","yellow",0.370061012791843
"ANGPT2","yellow",0.362219304663056
"YBX3","yellow",0.357924517985097
"DNAJA1","yellow",0.3570105888121
"FAM107A","yellow",0.355192659596375
"HSP90AB1","yellow",0.347511605146575
"RNF19B","yellow",0.34099191787668
"SERPINH1","yellow",0.335469833484138
"UPP1","yellow",0.329439696422281
"RGCC","yellow",0.328240364489862
"FKBP4","yellow",0.3239112008609
"CDKN1A","yellow",0.323679910335389
"KCTD12","yellow",0.322416310444753
"WARS","yellow",0.320019893484248
"PTTG1IP","yellow",0.319634923567707
"ATP1A1","yellow",0.313512943332845
"TUBA1C","yellow",0.30957989004683
"HSPA8","yellow",0.305664256223247
"SDCBP","yellow",0.301440370695218
"TAP1","yellow",0.297887057537956
"HSP90B1","yellow",0.296650003718338
"PECAM1","yellow",0.293570167418389
"HSPA5","yellow",0.287944394009047
"TGM2","yellow",0.287738618797906
"ACTB","yellow",0.286284240260392
"TMBIM6","yellow",0.28530073761499
"STOM","yellow",0.285008695917481
"ANXA2","yellow",0.284199736431202
"PPA1","yellow",0.283315229590455
"MAFF","yellow",0.280063361530761
"EIF4G2","yellow",0.279767816204327
"ITGB1","yellow",0.277971942191809
"PIK3R3","yellow",0.277686070161732
"S1PR1","yellow",0.276267066392109
"HSPB1","yellow",0.275635014505676
"NCL","yellow",0.274938791650893
"PCBP1","yellow",0.271482473592753
"ANXA1","yellow",0.270070824102096
"HNRNPA2B1","yellow",0.261645638100329
"CACYBP","yellow",0.260062563305036
"CAP1","yellow",0.258788686260699
"C4orf19","yellow",0.258632040911294
"TUBB","yellow",0.257246156763758
"STIP1","yellow",0.257206528080768
"ACADVL","yellow",0.256306067282418
"AHSA1","yellow",0.254552992843979
"JUND","yellow",0.254494824325269
"SOCS3","yellow",0.252120810780317
"PTGES3","yellow",0.251564176491084
"PERP","yellow",0.2505725082829
"ADM","yellow",0.249982106823182
"CDH5","yellow",0.249646092390485
"ADAM15","yellow",0.24845742748981
"TM4SF18","yellow",0.246392174303432
"TLN1","yellow",0.245747741452018
"CEBPB","yellow",0.244826233263791
"LRRC32","yellow",0.240700994104896
"EIF4A1","yellow",0.238992323154257
"CCT5","yellow",0.238613661431694
"ATF4","yellow",0.23823168355455
"ANXA3","yellow",0.238057145870338
"MSX1","yellow",0.23748012704064
"HNRNPF","yellow",0.237251053061382
"SURF4","yellow",0.236218972926081
"JMJD6","yellow",0.235424314334008
"SBDS","yellow",0.235266290916395
"CTGF","yellow",0.234826647581298
"GNAI2","yellow",0.23402678865673
"PHLDA1","yellow",0.233877057583277
"CCNI","yellow",0.232749239567454
"LRRC8A","yellow",0.230523020158613
"TMEM109","yellow",0.230448798995162
"ADGRG1","yellow",0.230137755473825
"SET","yellow",0.22655377446397
"CCT3","yellow",0.226196701964044
"ARHGDIA","yellow",0.22296554539284
"MTRF1L","yellow",0.222032152556611
"CDV3","yellow",0.221802681971462
"TRAM1","yellow",0.221251823368907
"RCN1","yellow",0.221214356961094
"TNFRSF1A","yellow",0.221044710093478
"EDN1","yellow",0.220754221832821
"C11orf96","yellow",0.219255103230169
"DDX3X","yellow",0.218268296662908
"PDK4","yellow",0.217748186537608
"LDLR","yellow",0.216710440160307
"MRPL32","yellow",0.216268442644874
"MKNK2","yellow",0.215664983453954
"DUSP6","yellow",0.213990824242623
"VCP","yellow",0.212136592944602
"CDC42EP3","yellow",0.212021239929555
"SLC39A1","yellow",0.211816651630613
"TUBB6","yellow",0.211516545711732
"CD93","yellow",0.211507603794284
"TINAGL1","yellow",0.211049343115564
"CCT6A","yellow",0.210745399522857
"ADGRL4","yellow",0.210714537451799
"FURIN","yellow",0.210082551344216
"FSTL1","yellow",0.209470298635122
"TSC22D3","yellow",0.209441704965387
"SLC52A3","yellow",0.20886844188037
"MLEC","yellow",0.208074084341567
"DDX21","yellow",0.206987905361661
"UBALD2","yellow",0.206692188657346
"HSPA4","yellow",0.206551791276753
"PLOD1","yellow",0.206173779885859
"IRF1","yellow",0.205606683015785
"HNRNPAB","yellow",0.205422112016994
"IL6ST","yellow",0.205044485342797
"GJA4","yellow",0.204777557276169
"SNX3","yellow",0.204705829773027
"F11R","yellow",0.20365005242133
"EIF4A2","yellow",0.20292421661034
"C1R","yellow",0.202308372536472
"RND3","yellow",0.200390282156353
"RTRAF","yellow",0.200387379163269
"YWHAH","yellow",0.199475793701584
"RELL1","yellow",0.199463300535246
"HDGF","yellow",0.198581139770183
"LAP3","yellow",0.198443746401852
"CCT8","yellow",0.197657789767448
"EIF4G1","yellow",0.1969735350679
"VDAC2","yellow",0.196876124825431
"GPX3","yellow",0.196871038303441
"HNRNPK","yellow",0.196811346361859
"EIF4H","yellow",0.195453628690714
"DNAJB6","yellow",0.194905891416536
"FYTTD1","yellow",0.194882505916444
"HNRNPH2","yellow",0.194493412607478
"MT-ND3","yellow",0.193521206305251
"TCP1","yellow",0.19343366604504
"XBP1","yellow",0.193208907799477
"CTSB","yellow",0.191981587759568
"CDC42EP2","yellow",0.191769949284475
"LAYN","yellow",0.191749361869546
"YWHAE","yellow",0.191303373188042
"PDIA6","yellow",0.190587899184365
"HNRNPA3","yellow",0.190272826440614
"MXRA7","yellow",0.188464611096266
"VAMP3","yellow",0.188430154554849
"FILIP1L","yellow",0.188011065340073
"PCAT19","yellow",0.186199069947402
"MANF","yellow",0.185809769864303
"TPST2","yellow",0.185474563429141
"SSTR2","yellow",0.185229918741984
"LRP10","yellow",0.184441673162939
"EIF5","yellow",0.184422238203569
"MGAT1","yellow",0.183819599304621
"ST13","yellow",0.183708831145535
"KLF10","yellow",0.183179653684543
"PPP1R18","yellow",0.182817330074173
"CNN3","yellow",0.18174992661281
"SRPRA","yellow",0.181415046995917
"MOB1A","yellow",0.181075839159394
"SMC1A","yellow",0.180662652648781
"CD46","yellow",0.180585680934455
"RIPOR1","yellow",0.180116185548785
"CCDC117","yellow",0.179883606947114
"SOX7","yellow",0.179869955723186
"IFNGR1","yellow",0.179679999469173
"SPCS3","yellow",0.179199398395318
"STRAP","yellow",0.178175063139501
"PPID","yellow",0.177905597158831
"IFI16","yellow",0.177819970715224
"SSB","yellow",0.177577494855641
"UBA1","yellow",0.177220853534965
"IER5L","yellow",0.177161235788019
"DBN1","yellow",0.177093704267202
"IFNAR1","yellow",0.176844640297664
"GJA1","yellow",0.17570603930769
"GRINA","yellow",0.175617133573699
"TAF7","yellow",0.174427382423954
"KDR","yellow",0.174293126476798
"PLSCR1","yellow",0.173828620136795
"KIAA0040","yellow",0.173753976887074
"RSL1D1","yellow",0.173288881906721
"CNBP","yellow",0.172491747337169
"PPP1CC","yellow",0.171617896768546
"TMEM50B","yellow",0.171175920483479
"SRSF3","yellow",0.170789104322208
"M6PR","yellow",0.170756922048608
"PURB","yellow",0.170659354186497
"CCND2","yellow",0.170593953246953
"TMEM167A","yellow",0.170128987761992
"KDSR","yellow",0.169683704394649
"ARPC2","yellow",0.168993665556294
"ADIPOR1","yellow",0.168833714490651
"PEA15","yellow",0.168575142536379
"ABHD5","yellow",0.168002755855822
"RAB11A","yellow",0.167097148272909
"MTPN","yellow",0.1670658712391
"EIF3B","yellow",0.166491737544843
"DDX23","yellow",0.166486591298968
"TMEM9B","yellow",0.166104703619713
"BTG3","yellow",0.165890862045107
"PTBP1","yellow",0.165857978723634
"COPB2","yellow",0.165052450427157
"TAPBP","yellow",0.164694902096073
"SQSTM1","yellow",0.164571176804656
"TPM3","yellow",0.16367398079041
"HNRNPH3","yellow",0.163038839216676
"NECTIN2","yellow",0.162988312591539
"MPHOSPH10","yellow",0.162587265807166
"REST","yellow",0.162217594255226
"CNDP2","yellow",0.161825173354344
"G3BP1","yellow",0.161525455017901
"AKT1","yellow",0.161326214820148
"ARCN1","yellow",0.1612139069087
"CYCS","yellow",0.160888617736909
"TXNIP","yellow",0.160370747426206
"MAZ","yellow",0.160005464239758
"TOPORS","yellow",0.159462012505934
"ZC3H15","yellow",0.15887237133274
"EHD2","yellow",0.158131267051573
"EIF1AX","yellow",0.157981305367418
"PGK1","yellow",0.157963946900789
"EFNA1","yellow",0.157879862700232
"ARMCX3","yellow",0.15740634306944
"SIPA1","yellow",0.155697646398646
"SSRP1","yellow",0.155628702847405
"RGS3","yellow",0.155491008964419
"SZRD1","yellow",0.155388715192178
"PSMD12","yellow",0.154626953764864
"CALU","yellow",0.154581951731627
"NONO","yellow",0.153852530720401
"C1S","yellow",0.153844044902025
"ARF6","yellow",0.153409378954722
"COQ10B","yellow",0.153395088047254
"FXR1","yellow",0.153216545329247
"CCT4","yellow",0.153064081638366
"MED24","yellow",0.153046331463373
"CCDC59","yellow",0.153025257290735
"GBP1","yellow",0.152793008946728
"PUF60","yellow",0.152281925019029
"CERK","yellow",0.152278523718451
"IMPDH1","yellow",0.152167648869688
"BGN","yellow",0.152033694578409
"RAB14","yellow",0.151956015894372
"RELA","yellow",0.151813869913574
"DUSP3","yellow",0.151564433113253
"MLF2","yellow",0.151160451239795
"CDKN1B","yellow",0.150972493957294
"TMBIM1","yellow",0.150943627572342
"HSPA9","yellow",0.150500109150359
"RPL7L1","yellow",0.150448262158276
"IL3RA","yellow",0.150257615151715
"DERL1","yellow",0.149746710265229
"EI24","yellow",0.149739614893971
"PDIA3","yellow",0.149522065380071
"CEBPZ","yellow",0.149305852592364
