"iteration","cell_type","subcluster","module","module_size","gene","module_membership","percentile"
"T3","Endothelial_cells","9","yellow",376,"PPP2R2B",0.809,100
"T3","Endothelial_cells","9","yellow",376,"PCDH9",0.792,100
"T3","Endothelial_cells","9","yellow",376,"ST18",0.787,100
"T3","Endothelial_cells","9","yellow",376,"SLC24A2",0.779,100
"T3","Endothelial_cells","9","yellow",376,"CADM2",0.772,99
"T3","Endothelial_cells","9","yellow",376,"PTPRD",0.759,99
"T3","Endothelial_cells","9","yellow",376,"MAP7",0.725,99
"T3","Endothelial_cells","9","yellow",376,"NCKAP5",0.724,99
"T3","Endothelial_cells","9","yellow",376,"NCAM2",0.722,98
"T3","Endothelial_cells","9","yellow",376,"PEX5L",0.721,98
"T3","Endothelial_cells","9","yellow",376,"IL1RAPL1",0.721,98
"T3","Endothelial_cells","9","yellow",376,"FRMD5",0.717,98
"T3","Endothelial_cells","9","yellow",376,"NPAS3",0.706,97
"T3","Endothelial_cells","9","yellow",376,"CTNNA3",0.706,97
"T3","Endothelial_cells","9","yellow",376,"SPOCK1",0.702,97
"T3","Endothelial_cells","9","yellow",376,"TMEM144",0.673,96
"T3","Endothelial_cells","9","yellow",376,"PRUNE2",0.672,96
"T3","Endothelial_cells","9","yellow",376,"DOCK10",0.665,96
"T3","Endothelial_cells","9","yellow",376,"SLC44A1",0.66,96
"T3","Endothelial_cells","9","yellow",376,"MARCH1",0.656,95
"T3","Endothelial_cells","9","yellow",376,"EDIL3",0.651,95
"T3","Endothelial_cells","9","yellow",376,"ERBB4",0.649,95
"T3","Endothelial_cells","9","yellow",376,"ANKS1B",0.644,95
"T3","Endothelial_cells","9","yellow",376,"MBP",0.635,94
"T3","Endothelial_cells","9","yellow",376,"SHTN1",0.634,94
"T3","Endothelial_cells","9","yellow",376,"CDH20",0.625,94
"T3","Endothelial_cells","9","yellow",376,"NCAM1",0.624,94
"T3","Endothelial_cells","9","yellow",376,"PIP4K2A",0.619,93
"T3","Endothelial_cells","9","yellow",376,"NLGN1",0.611,93
"T3","Endothelial_cells","9","yellow",376,"TRIM2",0.61,93
"T3","Endothelial_cells","9","yellow",376,"SLAIN1",0.609,92
"T3","Endothelial_cells","9","yellow",376,"DOCK5",0.609,92
"T3","Endothelial_cells","9","yellow",376,"DLG2",0.601,92
"T3","Endothelial_cells","9","yellow",376,"KLHL32",0.6,92
"T3","Endothelial_cells","9","yellow",376,"AKAP6",0.598,91
"T3","Endothelial_cells","9","yellow",376,"PDE4B",0.596,91
"T3","Endothelial_cells","9","yellow",376,"NTM",0.594,91
"T3","Endothelial_cells","9","yellow",376,"DPP6",0.592,91
"T3","Endothelial_cells","9","yellow",376,"ALCAM",0.591,90
"T3","Endothelial_cells","9","yellow",376,"GPM6B",0.591,90
"T3","Endothelial_cells","9","yellow",376,"LRP1B",0.582,90
"T3","Endothelial_cells","9","yellow",376,"DSCAML1",0.582,90
"T3","Endothelial_cells","9","yellow",376,"TTLL7",0.581,89
"T3","Endothelial_cells","9","yellow",376,"ANK3",0.578,89
"T3","Endothelial_cells","9","yellow",376,"DST",0.577,89
"T3","Endothelial_cells","9","yellow",376,"GRID1",0.576,88
"T3","Endothelial_cells","9","yellow",376,"OTUD7A",0.576,88
"T3","Endothelial_cells","9","yellow",376,"NKAIN2",0.574,88
"T3","Endothelial_cells","9","yellow",376,"ANK2",0.57,88
"T3","Endothelial_cells","9","yellow",376,"MAN2A1",0.567,87
"T3","Endothelial_cells","9","yellow",376,"PLP1",0.564,87
"T3","Endothelial_cells","9","yellow",376,"CADM1",0.549,87
"T3","Endothelial_cells","9","yellow",376,"CTNND2",0.547,87
"T3","Endothelial_cells","9","yellow",376,"ENPP2",0.543,86
"T3","Endothelial_cells","9","yellow",376,"PXK",0.531,86
"T3","Endothelial_cells","9","yellow",376,"TF",0.53,86
"T3","Endothelial_cells","9","yellow",376,"DNAJC6",0.53,86
"T3","Endothelial_cells","9","yellow",376,"FRMD4B",0.528,85
"T3","Endothelial_cells","9","yellow",376,"LSAMP",0.527,85
"T3","Endothelial_cells","9","yellow",376,"SYNJ2",0.523,85
"T3","Endothelial_cells","9","yellow",376,"MAGI2",0.52,84
