"iteration","cell_type","subcluster","module","module_size","gene","module_membership","percentile"
"T1","GABA_like_neurons","14","yellow",898,"MDGA2",0.471,100
"T1","GABA_like_neurons","14","yellow",898,"KCNB2",0.47,100
"T1","GABA_like_neurons","14","yellow",898,"ANKRD30BL",0.462,100
"T1","GABA_like_neurons","14","yellow",898,"CSMD1",0.457,100
"T1","GABA_like_neurons","14","yellow",898,"RAD9A",0.456,100
"T1","GABA_like_neurons","14","yellow",898,"CCSER1",0.453,100
"T1","GABA_like_neurons","14","yellow",898,"CACNA1C",0.426,100
"T1","GABA_like_neurons","14","yellow",898,"CACNA1E",0.425,100
"T1","GABA_like_neurons","14","yellow",898,"TTC28",0.419,100
"T1","GABA_like_neurons","14","yellow",898,"HIBCH",0.415,99
"T1","GABA_like_neurons","14","yellow",898,"XKR6",0.415,99
"T1","GABA_like_neurons","14","yellow",898,"AFF3",0.415,99
"T1","GABA_like_neurons","14","yellow",898,"GPHN",0.41,99
"T1","GABA_like_neurons","14","yellow",898,"GALNT13",0.404,99
"T1","GABA_like_neurons","14","yellow",898,"KIF9-AS1",0.401,99
"T1","GABA_like_neurons","14","yellow",898,"SORCS1",0.4,99
"T1","GABA_like_neurons","14","yellow",898,"KCNQ1OT1",0.398,99
"T1","GABA_like_neurons","14","yellow",898,"AGAP1",0.394,99
"T1","GABA_like_neurons","14","yellow",898,"EML6",0.39,98
"T1","GABA_like_neurons","14","yellow",898,"CADM1",0.39,98
"T1","GABA_like_neurons","14","yellow",898,"SCAPER",0.387,98
"T1","GABA_like_neurons","14","yellow",898,"PRR16",0.386,98
"T1","GABA_like_neurons","14","yellow",898,"FAM85B",0.386,98
"T1","GABA_like_neurons","14","yellow",898,"ERC1",0.384,98
"T1","GABA_like_neurons","14","yellow",898,"GABRG3",0.382,98
"T1","GABA_like_neurons","14","yellow",898,"GRID2",0.376,98
"T1","GABA_like_neurons","14","yellow",898,"GABRB1",0.371,98
"T1","GABA_like_neurons","14","yellow",898,"FAM66D",0.362,97
"T1","GABA_like_neurons","14","yellow",898,"KCTD16",0.362,97
"T1","GABA_like_neurons","14","yellow",898,"JAZF1",0.361,97
"T1","GABA_like_neurons","14","yellow",898,"RFX7",0.36,97
"T1","GABA_like_neurons","14","yellow",898,"SPIDR",0.36,97
"T1","GABA_like_neurons","14","yellow",898,"PACRG",0.356,97
"T1","GABA_like_neurons","14","yellow",898,"LRFN5",0.355,97
"T1","GABA_like_neurons","14","yellow",898,"AC006148.1",0.355,97
"T1","GABA_like_neurons","14","yellow",898,"LRRC4C",0.354,96
"T1","GABA_like_neurons","14","yellow",898,"GRM5",0.354,96
"T1","GABA_like_neurons","14","yellow",898,"PRKN",0.354,97
"T1","GABA_like_neurons","14","yellow",898,"TTN-AS1",0.352,96
"T1","GABA_like_neurons","14","yellow",898,"CTNNA2",0.351,96
"T1","GABA_like_neurons","14","yellow",898,"GRIK1",0.351,96
"T1","GABA_like_neurons","14","yellow",898,"ANKS1B",0.349,96
"T1","GABA_like_neurons","14","yellow",898,"CUX1",0.349,96
"T1","GABA_like_neurons","14","yellow",898,"FSTL5",0.349,96
