"gene","module","mm"
"MTERF1","yellow",0.587628198428418
"SLC10A7","yellow",0.526184265496382
"ATP10D","yellow",0.511585471431075
"CPT1A","yellow",0.510297513033081
"AFF1","yellow",0.494716168144421
"KLHL8","yellow",0.488771064798921
"AC090579.1","yellow",0.472764949431214
"C3orf20","yellow",0.456258285047201
"ARFIP1","yellow",0.454970766669329
"TBC1D4","yellow",0.448974970626644
"UBA6-AS1","yellow",0.448780689941184
"ADGRA3","yellow",0.44813518963967
"PCCA","yellow",0.444167185699145
"AC139720.1","yellow",0.438419843263315
"LIFR","yellow",0.42262007591775
"LEKR1","yellow",0.419937335844241
"INPP4B","yellow",0.416729806083726
"MTHFD2L","yellow",0.416102176603923
"NAF1","yellow",0.415708739734958
"NNT","yellow",0.414208265278341
"LINC02112","yellow",0.412324455037416
"TNFRSF19","yellow",0.412264613516119
"STPG2","yellow",0.409526429622432
"MFSD8","yellow",0.404834675017821
"HCRTR2","yellow",0.402586071404616
"MIR2052HG","yellow",0.40195300230418
"ZNF385D","yellow",0.400305271670928
"LINC02062","yellow",0.399823569317259
"CASC2","yellow",0.398106160342489
"ELOVL6","yellow",0.397385645712954
"SPOCK3","yellow",0.397179208190611
"SCFD2","yellow",0.396531610819572
"TDRD3","yellow",0.395998312139811
"SEC23A","yellow",0.395353279058141
"LRBA","yellow",0.394682080117023
"WDFY3","yellow",0.389495137315795
"WRN","yellow",0.386369385935997
"CFAP299","yellow",0.385631173115103
"PKD2","yellow",0.381486853996931
"POT1","yellow",0.379552217102175
"ALDH8A1","yellow",0.379279581436056
"GABRA6","yellow",0.379144019352781
"RAB28","yellow",0.375042963353518
"SRBD1","yellow",0.373225854936934
"PAX8","yellow",0.372259227280851
"EYS","yellow",0.372248225523891
"DACH1","yellow",0.371880230332887
"OCIAD2","yellow",0.371617823253433
"WDFY2","yellow",0.370601651403234
"IFRD1","yellow",0.369211138052564
"ZCCHC17","yellow",0.368360796423105
"TDG","yellow",0.368074805999631
"HSPA14.1","yellow",0.367933359081984
"CREB3L2","yellow",0.366880489749826
"DCX","yellow",0.366282897716647
"GPAT3","yellow",0.366067364075092
"KLKB1","yellow",0.36563773097714
"AC093151.3","yellow",0.363819406415269
"HRH2","yellow",0.363341399031773
"AC104123.1","yellow",0.362041646719729
"AC105383.1","yellow",0.360371270767007
"SMAD1","yellow",0.360204081042891
"YIPF7","yellow",0.359831019884196
"VPS50","yellow",0.355373009439635
"GTF2H2C","yellow",0.355173169353243
"LINC01830","yellow",0.354200796841765
"RAPGEF2","yellow",0.353723153931552
"SMCHD1","yellow",0.352142098191586
"SNX24","yellow",0.35146616614206
"NFKB1","yellow",0.351274981466523
"TWSG1","yellow",0.350500742345445
"NFXL1","yellow",0.349996893356954
"CA3","yellow",0.349943972530595
"RAB18","yellow",0.349509784575139
"OXR1","yellow",0.349324573603245
"FGF9","yellow",0.348911516259187
"AL356124.1","yellow",0.348849899439024
"NFKBIZ","yellow",0.348780581993507
"BTBD7","yellow",0.348630898030641
"TET2","yellow",0.348372911342257
"GLRB","yellow",0.347842055564276
"FAM13A","yellow",0.347296203717286
"FRAS1","yellow",0.346713063125444
"P3H1","yellow",0.346579380623463
"C18orf25","yellow",0.346196911443386
"CCDC122","yellow",0.345325392656879
"SNX25","yellow",0.343814665765938
"RAB3GAP2","yellow",0.343790377496954
"TRMT2B","yellow",0.343734039108063
"ABHD13","yellow",0.343210342395523
"IDH1","yellow",0.342365539158777
"MANBA","yellow",0.342057456912709
"SUCLA2","yellow",0.339664776372588
"FAM3C","yellow",0.338358040647435
"UBA5","yellow",0.337547742599271
"RAP2A","yellow",0.335338274447899
"FAM196B","yellow",0.334564065097933
"NUDT6","yellow",0.334110963596311
"CNOT6L","yellow",0.333080331185772
"PPA2","yellow",0.332073731019728
"ANKRD7","yellow",0.330295674912486
"CD2AP","yellow",0.330192662115388
"PALLD","yellow",0.329797027957297
"PRKCH","yellow",0.329336796639924
"NR3C2","yellow",0.32887348238015
"ITPR2","yellow",0.327242593652124
"BMP2K","yellow",0.326908457733857
"YTHDC1","yellow",0.325386404027344
"GPC5","yellow",0.325031782376117
"TBC1D31","yellow",0.324892136670209
"STARD13","yellow",0.324852129327351
"CDS1","yellow",0.324265590876357
"AC006058.1","yellow",0.323881748446074
"CORIN","yellow",0.323030675957166
"POP1","yellow",0.32299149119335
"DLD","yellow",0.322780496867701
"HDAC2-AS2","yellow",0.32276372898162
"PACRGL","yellow",0.321848559397919
"PRKD1","yellow",0.32183582677284
"CYB5R4","yellow",0.321817474587809
"PHF20L1","yellow",0.321548767845136
"COG6","yellow",0.32129456487214
"NEK1","yellow",0.318969314130838
"VCL","yellow",0.315477258575667
"AC096564.1","yellow",0.315369740181105
"SLC25A21","yellow",0.314667843099458
"USP53","yellow",0.313510033335474
