"iteration","cell_type","subcluster","module","module_size","gene","module_membership","percentile"
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"CTNNA3",0.691,100
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"IL1RAPL1",0.613,100
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"PDE4B",0.597,100
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"SLC44A1",0.595,99
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"ZBTB20",0.582,99
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"FMNL2",0.551,99
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"QKI",0.548,98
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"RNF220",0.544,98
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"NEAT1",0.544,98
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"PCDH9",0.535,97
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"PIP4K2A",0.527,97
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"PEX5L",0.508,96
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"MBP",0.48,96
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"WWOX",0.457,96
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"ELMO1",0.452,95
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"DOCK4",0.452,95
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"TMEM165",0.447,95
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"DLG2",0.443,94
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"ERBB4",0.434,94
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"NPAS3",0.433,93
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"TULP4",0.43,93
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"PPP2R2B",0.419,93
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"PRUNE2",0.417,92
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"MAGI2",0.408,92
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"SRSF11",0.402,92
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"LIMCH1",0.4,91
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"AGAP1",0.4,91
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"FRYL",0.399,91
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"GPHN",0.389,90
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"AUTS2",0.384,89
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"AGPAT4",0.384,90
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"NTM",0.383,89
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"LRP1B",0.379,89
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"TF",0.363,88
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"PLCL1",0.363,88
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"NOVA1",0.36,88
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"PXK",0.351,87
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"PTPRK",0.349,87
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"ATXN1",0.348,86
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"DIP2C",0.346,86
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"ZNF536",0.346,86
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"AKT3",0.341,85
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"CADM1",0.34,85
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"UBE2E2",0.338,85
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"SH3GL3",0.334,84
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"ERBIN",0.334,84
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"ZSWIM6",0.328,83
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"ASTN2",0.328,84
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"KLHL24",0.325,83
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"DMD",0.32,82
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"PLP1",0.311,82
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"SPOCK1",0.31,82
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"ANKS1B",0.309,81
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"CTNND2",0.309,81
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"DIP2B",0.306,81
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"USP34",0.303,80
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"CADM2",0.299,80
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"TNIK",0.298,79
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"FTO",0.297,78
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"MKLN1",0.297,79
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"PDE4D",0.297,79
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"SNRNP70",0.296,78
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"GPRC5B",0.295,78
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"ABCA2",0.294,77
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"ADGRB3",0.294,77
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"ASH1L",0.291,77
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"RORA",0.29,76
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"LRRC4C",0.289,76
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"ACER3",0.287,75
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"DOCK3",0.282,75
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"PLA2G16",0.281,75
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"ZNF292",0.279,74
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"TSPAN5",0.279,74
"T2","GABA_neurons_expressing_GABA_receptors","13","yellow",272,"GNAO1",0.277,74
