"gene","module","mm"
"CTNNA3","yellow",0.78027143564187
"PDE4B","yellow",0.702800576795528
"KLHL12","yellow",0.651089542067595
"PCDH9","yellow",0.639932812330945
"MBP","yellow",0.63987725321812
"AGPAT4","yellow",0.63613008326465
"SLC44A1","yellow",0.630042337351951
"LIMCH1","yellow",0.597000934743094
"RNF220","yellow",0.591175760208743
"MIB1","yellow",0.581253247452566
"DENND5A","yellow",0.574055088648842
"ASB8","yellow",0.557492445783353
"SESN3","yellow",0.550074952486002
"ZBTB20","yellow",0.539468893051725
"PIP4K2A","yellow",0.532753479151881
"RDX","yellow",0.532346053847549
"TSPAN5","yellow",0.529983610268352
"TTC7B","yellow",0.525223965028265
"PEX5L","yellow",0.516235582746045
"NEAT1","yellow",0.514919877252893
"CSNK1D","yellow",0.505331616381772
"ANKRD50","yellow",0.498586063306463
"MARCKS","yellow",0.49462439558872
"KLHL24","yellow",0.492942647420949
"DCC","yellow",0.490576533736217
"SLC8A1","yellow",0.486061329418084
"CADM1","yellow",0.484771461326125
"HNRNPDL","yellow",0.484046370990115
"SEL1L","yellow",0.483154904127922
"ATXN1","yellow",0.478345163225762
"SRSF11","yellow",0.478172892987337
"PSD3","yellow",0.478048822004848
"NTM","yellow",0.4754103589494
"SNRNP70","yellow",0.475311808397194
"IREB2","yellow",0.46721126604308
"RBM25","yellow",0.465452752893748
"REPS2","yellow",0.4648319044062
"GPHN","yellow",0.464754778787138
"KPNA5","yellow",0.460724612887628
"CAMK2D","yellow",0.460010062364791
"CIT","yellow",0.454538260777084
"TULP4","yellow",0.452307491836072
"TMEM165","yellow",0.448826842978384
"DIP2C","yellow",0.448174804810321
"STXBP5","yellow",0.446181852676471
"ARID4A","yellow",0.44492420036867
"MAST4","yellow",0.439825803741346
"FTO","yellow",0.438469815475137
"USP34","yellow",0.434454081829712
"WWOX","yellow",0.431516652264454
"DOCK3","yellow",0.431045783457576
"GPR137C","yellow",0.42756020378794
"TPPP","yellow",0.425500276155497
"PRDM2","yellow",0.420010024501649
"FP236383.1","yellow",0.419747961857332
