"iteration","cell_type","subcluster","module","module_size","gene","module_membership","percentile"
"T1","GABA_neurons_expressing_GLU_receptors","22","yellow",518,"ITGA8",0.597,100
"T1","GABA_neurons_expressing_GLU_receptors","22","yellow",518,"PDE1A",0.596,100
"T1","GABA_neurons_expressing_GLU_receptors","22","yellow",518,"FAM177A1",0.579,100
"T1","GABA_neurons_expressing_GLU_receptors","22","yellow",518,"CDK19",0.522,100
"T1","GABA_neurons_expressing_GLU_receptors","22","yellow",518,"ADCY1",0.521,100
"T1","GABA_neurons_expressing_GLU_receptors","22","yellow",518,"FAM107B",0.521,100
"T1","GABA_neurons_expressing_GLU_receptors","22","yellow",518,"STXBP3",0.514,99
"T1","GABA_neurons_expressing_GLU_receptors","22","yellow",518,"RPL23A",0.495,99
"T1","GABA_neurons_expressing_GLU_receptors","22","yellow",518,"UBAC1",0.481,99
"T1","GABA_neurons_expressing_GLU_receptors","22","yellow",518,"NSRP1",0.464,99
"T1","GABA_neurons_expressing_GLU_receptors","22","yellow",518,"TCEAL7",0.461,99
"T1","GABA_neurons_expressing_GLU_receptors","22","yellow",518,"ANAPC7",0.459,98
"T1","GABA_neurons_expressing_GLU_receptors","22","yellow",518,"EBPL",0.457,98
"T1","GABA_neurons_expressing_GLU_receptors","22","yellow",518,"NUTM2B-AS1",0.454,98
"T1","GABA_neurons_expressing_GLU_receptors","22","yellow",518,"ZBTB41",0.447,98
"T1","GABA_neurons_expressing_GLU_receptors","22","yellow",518,"WSCD2",0.446,97
"T1","GABA_neurons_expressing_GLU_receptors","22","yellow",518,"FNDC3B",0.446,98
"T1","GABA_neurons_expressing_GLU_receptors","22","yellow",518,"TMEM68",0.442,97
"T1","GABA_neurons_expressing_GLU_receptors","22","yellow",518,"QRSL1",0.441,97
"T1","GABA_neurons_expressing_GLU_receptors","22","yellow",518,"LGALS8",0.441,97
"T1","GABA_neurons_expressing_GLU_receptors","22","yellow",518,"NRIP3",0.439,97
"T1","GABA_neurons_expressing_GLU_receptors","22","yellow",518,"AC006504.5",0.435,96
"T1","GABA_neurons_expressing_GLU_receptors","22","yellow",518,"NHLRC3",0.428,96
"T1","GABA_neurons_expressing_GLU_receptors","22","yellow",518,"MCRIP1",0.426,96
"T1","GABA_neurons_expressing_GLU_receptors","22","yellow",518,"BRD7",0.422,96
"T1","GABA_neurons_expressing_GLU_receptors","22","yellow",518,"RAB22A",0.421,96
"T1","GABA_neurons_expressing_GLU_receptors","22","yellow",518,"SMURF1",0.419,95
"T1","GABA_neurons_expressing_GLU_receptors","22","yellow",518,"FAM157C",0.417,95
"T1","GABA_neurons_expressing_GLU_receptors","22","yellow",518,"TBC1D22B",0.416,95
"T1","GABA_neurons_expressing_GLU_receptors","22","yellow",518,"TUFM",0.415,95
