"iteration","cell_type","subcluster","module","module_size","gene","module_membership","percentile"
"T0","GLU_like_neurons","17","yellow",1316,"PCSK1N",0.354,100
"T0","GLU_like_neurons","17","yellow",1316,"THY1",0.322,100
"T0","GLU_like_neurons","17","yellow",1316,"STMN2",0.315,100
"T0","GLU_like_neurons","17","yellow",1316,"NEFL",0.286,100
"T0","GLU_like_neurons","17","yellow",1316,"PWAR6",0.283,100
"T0","GLU_like_neurons","17","yellow",1316,"GNAS",0.273,100
"T0","GLU_like_neurons","17","yellow",1316,"TUBB2A",0.27,100
"T0","GLU_like_neurons","17","yellow",1316,"UQCRH",0.27,100
"T0","GLU_like_neurons","17","yellow",1316,"CEND1",0.268,100
"T0","GLU_like_neurons","17","yellow",1316,"CKB",0.264,100
"T0","GLU_like_neurons","17","yellow",1316,"PEBP1",0.263,100
"T0","GLU_like_neurons","17","yellow",1316,"SERINC1",0.263,100
"T0","GLU_like_neurons","17","yellow",1316,"ATP1B1",0.261,100
"T0","GLU_like_neurons","17","yellow",1316,"MDH1",0.26,100
"T0","GLU_like_neurons","17","yellow",1316,"INA",0.259,99
"T0","GLU_like_neurons","17","yellow",1316,"IDH3A",0.259,99
"T0","GLU_like_neurons","17","yellow",1316,"NEFM",0.257,99
"T0","GLU_like_neurons","17","yellow",1316,"GABRG2",0.256,99
"T0","GLU_like_neurons","17","yellow",1316,"SV2A",0.255,99
"T0","GLU_like_neurons","17","yellow",1316,"IDS",0.255,99
"T0","GLU_like_neurons","17","yellow",1316,"LINC00513",0.253,99
"T0","GLU_like_neurons","17","yellow",1316,"MINDY2",0.252,99
"T0","GLU_like_neurons","17","yellow",1316,"TMEM132A",0.25,99
"T0","GLU_like_neurons","17","yellow",1316,"YWHAB",0.25,99
"T0","GLU_like_neurons","17","yellow",1316,"ATP6V1A",0.248,99
"T0","GLU_like_neurons","17","yellow",1316,"SRGAP3",0.245,99
"T0","GLU_like_neurons","17","yellow",1316,"CCDC85A",0.245,99
"T0","GLU_like_neurons","17","yellow",1316,"PNMA2",0.243,98
"T0","GLU_like_neurons","17","yellow",1316,"ATP5F1A",0.243,98
"T0","GLU_like_neurons","17","yellow",1316,"SRI",0.243,98
"T0","GLU_like_neurons","17","yellow",1316,"CALY",0.241,98
"T0","GLU_like_neurons","17","yellow",1316,"CALM1",0.241,98
"T0","GLU_like_neurons","17","yellow",1316,"NAP1L3",0.24,98
"T0","GLU_like_neurons","17","yellow",1316,"SNAP25-AS1",0.24,98
"T0","GLU_like_neurons","17","yellow",1316,"OPA1",0.239,98
"T0","GLU_like_neurons","17","yellow",1316,"STAC",0.238,98
"T0","GLU_like_neurons","17","yellow",1316,"RELL2",0.236,98
"T0","GLU_like_neurons","17","yellow",1316,"BRD9",0.235,98
"T0","GLU_like_neurons","17","yellow",1316,"PGAM1",0.233,98
"T0","GLU_like_neurons","17","yellow",1316,"SOD1",0.232,97
"T0","GLU_like_neurons","17","yellow",1316,"SNX24",0.232,97
"T0","GLU_like_neurons","17","yellow",1316,"CANX",0.232,98
"T0","GLU_like_neurons","17","yellow",1316,"UBA3",0.23,97
"T0","GLU_like_neurons","17","yellow",1316,"OLFM1",0.23,97
"T0","GLU_like_neurons","17","yellow",1316,"MICU3",0.225,97
"T0","GLU_like_neurons","17","yellow",1316,"YWHAG",0.225,97
"T0","GLU_like_neurons","17","yellow",1316,"CHGB",0.225,97
"T0","GLU_like_neurons","17","yellow",1316,"MEG3",0.224,97
"T0","GLU_like_neurons","17","yellow",1316,"ATP2C1",0.223,97
"T0","GLU_like_neurons","17","yellow",1316,"CBLB",0.223,97
"T0","GLU_like_neurons","17","yellow",1316,"TSGA10",0.223,97
"T0","GLU_like_neurons","17","yellow",1316,"TUBA1B",0.222,97
"T0","GLU_like_neurons","17","yellow",1316,"TMEM59L",0.222,97
"T0","GLU_like_neurons","17","yellow",1316,"ARNTL2",0.221,96
"T0","GLU_like_neurons","17","yellow",1316,"RAB21",0.221,96
"T0","GLU_like_neurons","17","yellow",1316,"ULK3",0.221,96
"T0","GLU_like_neurons","17","yellow",1316,"JUND",0.221,96
"T0","GLU_like_neurons","17","yellow",1316,"PCYOX1",0.221,96
"T0","GLU_like_neurons","17","yellow",1316,"TOP1",0.22,96
"T0","GLU_like_neurons","17","yellow",1316,"SULT4A1",0.22,96
"T0","GLU_like_neurons","17","yellow",1316,"SELENOT",0.218,96
"T0","GLU_like_neurons","17","yellow",1316,"UCHL1",0.218,96
"T0","GLU_like_neurons","17","yellow",1316,"RHBDD2",0.217,96
"T0","GLU_like_neurons","17","yellow",1316,"PKM",0.216,96
"T0","GLU_like_neurons","17","yellow",1316,"DKK3",0.215,96
"T0","GLU_like_neurons","17","yellow",1316,"FKBP15",0.215,96
"T0","GLU_like_neurons","17","yellow",1316,"IRS2",0.214,95
"T0","GLU_like_neurons","17","yellow",1316,"CYFIP2",0.214,95
"T0","GLU_like_neurons","17","yellow",1316,"SYNJ1",0.214,95
"T0","GLU_like_neurons","17","yellow",1316,"PLCG2",0.214,95
"T0","GLU_like_neurons","17","yellow",1316,"SCG5",0.214,95
"T0","GLU_like_neurons","17","yellow",1316,"PREPL",0.213,95
"T0","GLU_like_neurons","17","yellow",1316,"UBE3A",0.213,95
"T0","GLU_like_neurons","17","yellow",1316,"TMEM67",0.213,95
"T0","GLU_like_neurons","17","yellow",1316,"NORAD",0.213,95
"T0","GLU_like_neurons","17","yellow",1316,"ME3",0.213,95
"T0","GLU_like_neurons","17","yellow",1316,"VSNL1",0.211,95
"T0","GLU_like_neurons","17","yellow",1316,"ABLIM3",0.211,95
"T0","GLU_like_neurons","17","yellow",1316,"SLC22A17",0.211,95
"T0","GLU_like_neurons","17","yellow",1316,"NEFH",0.21,94
"T0","GLU_like_neurons","17","yellow",1316,"MGST3",0.21,94
"T0","GLU_like_neurons","17","yellow",1316,"UGP2",0.209,94
"T0","GLU_like_neurons","17","yellow",1316,"GIPC2",0.209,94
"T0","GLU_like_neurons","17","yellow",1316,"ACTR2",0.208,94
"T0","GLU_like_neurons","17","yellow",1316,"TAGLN3",0.208,94
"T0","GLU_like_neurons","17","yellow",1316,"SLC17A6",0.208,94
"T0","GLU_like_neurons","17","yellow",1316,"NDFIP1",0.207,94
"T0","GLU_like_neurons","17","yellow",1316,"PHYHIP",0.207,94
"T0","GLU_like_neurons","17","yellow",1316,"ATP6V1B2",0.207,94
"T0","GLU_like_neurons","17","yellow",1316,"NUDT3",0.206,94
"T0","GLU_like_neurons","17","yellow",1316,"TMX4",0.205,94
"T0","GLU_like_neurons","17","yellow",1316,"NSG2",0.205,94
"T0","GLU_like_neurons","17","yellow",1316,"DNHD1",0.205,94
"T0","GLU_like_neurons","17","yellow",1316,"EIF2AK3",0.204,93
"T0","GLU_like_neurons","17","yellow",1316,"RAB6B",0.202,93
"T0","GLU_like_neurons","17","yellow",1316,"FAM153A",0.2,93
"T0","GLU_like_neurons","17","yellow",1316,"NUFIP2",0.2,93
"T0","GLU_like_neurons","17","yellow",1316,"FAM135A",0.2,93
"T0","GLU_like_neurons","17","yellow",1316,"TSC22D2",0.199,93
"T0","GLU_like_neurons","17","yellow",1316,"B4GALT6",0.199,93
"T0","GLU_like_neurons","17","yellow",1316,"RRAGB",0.199,93
"T0","GLU_like_neurons","17","yellow",1316,"VPS8",0.198,92
"T0","GLU_like_neurons","17","yellow",1316,"SEPT3",0.198,93
"T0","GLU_like_neurons","17","yellow",1316,"KCMF1",0.198,93
"T0","GLU_like_neurons","17","yellow",1316,"OGA",0.198,93
"T0","GLU_like_neurons","17","yellow",1316,"LONRF2",0.198,93
"T0","GLU_like_neurons","17","yellow",1316,"RAD18",0.198,93
"T0","GLU_like_neurons","17","yellow",1316,"RTTN",0.197,92
"T0","GLU_like_neurons","17","yellow",1316,"NGLY1",0.197,92
"T0","GLU_like_neurons","17","yellow",1316,"SACM1L",0.197,92
"T0","GLU_like_neurons","17","yellow",1316,"PRKAR1A",0.196,92
"T0","GLU_like_neurons","17","yellow",1316,"AGFG1",0.196,92
"T0","GLU_like_neurons","17","yellow",1316,"FNIP2",0.195,92
"T0","GLU_like_neurons","17","yellow",1316,"SIDT1",0.195,92
"T0","GLU_like_neurons","17","yellow",1316,"LPIN1",0.195,92
"T0","GLU_like_neurons","17","yellow",1316,"HSPA4",0.194,92
"T0","GLU_like_neurons","17","yellow",1316,"REEP5",0.194,92
"T0","GLU_like_neurons","17","yellow",1316,"PITPNB",0.194,92
"T0","GLU_like_neurons","17","yellow",1316,"SLC35B4",0.193,91
"T0","GLU_like_neurons","17","yellow",1316,"PPIA",0.193,92
"T0","GLU_like_neurons","17","yellow",1316,"UHMK1",0.192,91
"T0","GLU_like_neurons","17","yellow",1316,"CEP85L",0.192,91
"T0","GLU_like_neurons","17","yellow",1316,"DNAJB14",0.192,91
"T0","GLU_like_neurons","17","yellow",1316,"AL117190.2",0.192,91
"T0","GLU_like_neurons","17","yellow",1316,"DYNC1H1",0.192,91
"T0","GLU_like_neurons","17","yellow",1316,"PRDM5",0.192,91
"T0","GLU_like_neurons","17","yellow",1316,"ICE2",0.191,91
"T0","GLU_like_neurons","17","yellow",1316,"SCAF8",0.19,91
"T0","GLU_like_neurons","17","yellow",1316,"SCRN1",0.19,91
"T0","GLU_like_neurons","17","yellow",1316,"BASP1",0.19,91
"T0","GLU_like_neurons","17","yellow",1316,"COX4I1",0.19,91
"T0","GLU_like_neurons","17","yellow",1316,"SNCG",0.19,91
"T0","GLU_like_neurons","17","yellow",1316,"STK33",0.189,90
"T0","GLU_like_neurons","17","yellow",1316,"C18orf25",0.189,90
"T0","GLU_like_neurons","17","yellow",1316,"KCNC1",0.189,90
"T0","GLU_like_neurons","17","yellow",1316,"METTL15",0.188,90
"T0","GLU_like_neurons","17","yellow",1316,"STT3B",0.188,90
"T0","GLU_like_neurons","17","yellow",1316,"CREBRF",0.186,90
"T0","GLU_like_neurons","17","yellow",1316,"SERGEF",0.186,90
"T0","GLU_like_neurons","17","yellow",1316,"XRRA1",0.186,90
"T0","GLU_like_neurons","17","yellow",1316,"YWHAZ",0.186,90
"T0","GLU_like_neurons","17","yellow",1316,"SETD5",0.186,90
"T0","GLU_like_neurons","17","yellow",1316,"LINC00882",0.185,89
"T0","GLU_like_neurons","17","yellow",1316,"TBCA",0.185,89
"T0","GLU_like_neurons","17","yellow",1316,"DPYSL3",0.185,90
"T0","GLU_like_neurons","17","yellow",1316,"AMY2B",0.185,90
"T0","GLU_like_neurons","17","yellow",1316,"TTC39B",0.185,90
"T0","GLU_like_neurons","17","yellow",1316,"NRDC",0.184,89
"T0","GLU_like_neurons","17","yellow",1316,"PSAP",0.184,89
"T0","GLU_like_neurons","17","yellow",1316,"PPP1R2",0.183,89
"T0","GLU_like_neurons","17","yellow",1316,"FAM120A",0.183,89
"T0","GLU_like_neurons","17","yellow",1316,"MORF4L2",0.183,89
"T0","GLU_like_neurons","17","yellow",1316,"ARL14EP",0.183,89
"T0","GLU_like_neurons","17","yellow",1316,"GFM1",0.183,89
"T0","GLU_like_neurons","17","yellow",1316,"DOCK7",0.183,89
"T0","GLU_like_neurons","17","yellow",1316,"ARIH1",0.182,89
"T0","GLU_like_neurons","17","yellow",1316,"WSB2",0.181,89
"T0","GLU_like_neurons","17","yellow",1316,"GUCY1B1",0.18,88
"T0","GLU_like_neurons","17","yellow",1316,"EPM2A",0.18,88
"T0","GLU_like_neurons","17","yellow",1316,"AGPS",0.18,88
"T0","GLU_like_neurons","17","yellow",1316,"KLC1",0.18,89
"T0","GLU_like_neurons","17","yellow",1316,"CHN1",0.179,88
"T0","GLU_like_neurons","17","yellow",1316,"IMMT",0.179,88
"T0","GLU_like_neurons","17","yellow",1316,"IPO11",0.179,88
"T0","GLU_like_neurons","17","yellow",1316,"DCAF5",0.179,88
