"gene","module","mm"
"KLHDC4","yellowgreen",0.46787587298536
"CCND3","yellowgreen",0.449096791832605
"LTN1","yellowgreen",0.403289294779271
"AC007566.1","yellowgreen",0.371674297896541
"GPATCH2","yellowgreen",0.370675565269925
"CDC42BPA","yellowgreen",0.367139636970317
"DRAM2","yellowgreen",0.363658343687602
"FBXL2","yellowgreen",0.362971307667471
"ACAT1","yellowgreen",0.356813803947101
"DGUOK","yellowgreen",0.356424266583966
"AL117190.2","yellowgreen",0.354117743576618
"RHOBTB3","yellowgreen",0.350995942536341
"RIT2","yellowgreen",0.350039827397712
"DYNC1H1","yellowgreen",0.34341269142457
"NOP58","yellowgreen",0.340467785445023
"HIPK1","yellowgreen",0.335515425373582
"ZNF793","yellowgreen",0.321674237274776
"MTHFD1L","yellowgreen",0.321207891672399
"USP40","yellowgreen",0.317255201177355
"SOCS5","yellowgreen",0.31713332735746
"DNAJC11","yellowgreen",0.31501883956485
"NSUN3","yellowgreen",0.31500625656947
"SETDB2","yellowgreen",0.299276007223381
"ZNF26","yellowgreen",0.298918254171994
"LMLN","yellowgreen",0.29501470446233
"AARS","yellowgreen",0.287395235072235
"FAM49A","yellowgreen",0.28098983848344
"CDK17","yellowgreen",0.27800419919472
"SCFD2","yellowgreen",0.275993085431893
"WDR49","yellowgreen",0.274764527908748
"NUDT3","yellowgreen",0.272697726425325
"EXOC2","yellowgreen",0.270220636045203
"STOX2","yellowgreen",0.267209624012115
"ACOT7","yellowgreen",0.266385141949737
"ARHGEF11","yellowgreen",0.262646175126902
"MYLK","yellowgreen",0.262335620276018
"MTHFD2L","yellowgreen",0.260145147547881
"NMNAT1","yellowgreen",0.259315891754067
"EHBP1","yellowgreen",0.25919797902302
"DCTN5","yellowgreen",0.258048569892426
"MICAL2","yellowgreen",0.256782624264315
"CCDC59","yellowgreen",0.251020389940636
"TRAK1","yellowgreen",0.249020098440659
"SRSF2","yellowgreen",0.239982897173282
"POLR1D","yellowgreen",0.232702319192407
"C12orf4","yellowgreen",0.229210126225806
"SUPT3H","yellowgreen",0.225624795425466
"ISCU","yellowgreen",0.223788541197453
"FAM66A","yellowgreen",0.221624540931451
"LDLRAD4","yellowgreen",0.215076370117688
"FANCM","yellowgreen",0.213019657035445
"EFHC1","yellowgreen",0.210690181734114
"SLC25A27","yellowgreen",0.20627821392353
"USF3","yellowgreen",0.204911840907416
"ABL1","yellowgreen",0.184252507219521
"SRBD1","yellowgreen",0.182264430558246
"NCKAP5","yellow",0.707086487305609
"QKI","yellow",0.673147154672422
"ST18","yellow",0.66363106986133
"CTNNA3","yellow",0.657919876185698
"PIP4K2A","yellow",0.648890885633799
"ZBTB20","yellow",0.618488983127756
"MBP","yellow",0.61558626996259
"RNF220","yellow",0.595744006410616
"C10orf90","yellow",0.581982650684786
"MAN2A1","yellow",0.577634592591019
"IL1RAPL1","yellow",0.566021448085616
"GPM6B","yellow",0.56285958736055
"AC026316.5","yellow",0.557229696273811
"PLP1","yellow",0.544599623252352
"TMEM144","yellow",0.541808603797432
"FKBP5","yellow",0.534545293549061
"DOCK1","yellow",0.532743741732314
"TF","yellow",0.532184670281741
"PTPRK","yellow",0.530583849337153
"ARHGAP21","yellow",0.525889176915512
"EDIL3","yellow",0.521574010369397
"KCNH8","yellow",0.51991588482753
"NDRG1","yellow",0.510021175337862
"ZEB2","yellow",0.510020268142608
"PCSK6","yellow",0.509636927891164
"TMEM165","yellow",0.507488262351704
"MOG","yellow",0.506761143971368
"FTL","yellow",0.495481697367116
"ENPP2","yellow",0.492757366815123
"S100B","yellow",0.489794381094468
"SORT1","yellow",0.4873113741859
"PLEKHH1","yellow",0.485331519136019
"BCAS1","yellow",0.484997653631644
"TMTC2","yellow",0.482885159290383
"LMCD1-AS1","yellow",0.476652307907373
"SLC44A1","yellow",0.469915174526244
"DPYD","yellow",0.469211252540744
"AGPAT4","yellow",0.467915843374156
"FBXL7","yellow",0.464033969168313
"SLC1A3","yellow",0.462398180616777
