"iteration","cell_type","subcluster","module","module_size","gene","module_membership","percentile"
"T2","Microglia","19","yellow",223,"DIAPH2-AS1",0.593,100
"T2","Microglia","19","yellow",223,"FAM120C",0.566,100
"T2","Microglia","19","yellow",223,"PISD",0.494,100
"T2","Microglia","19","yellow",223,"SPIDR",0.487,99
"T2","Microglia","19","yellow",223,"NVL",0.445,99
"T2","Microglia","19","yellow",223,"CCT2",0.439,98
"T2","Microglia","19","yellow",223,"WBP2NL",0.438,98
"T2","Microglia","19","yellow",223,"SPATA7",0.436,97
"T2","Microglia","19","yellow",223,"STAT6",0.422,97
"T2","Microglia","19","yellow",223,"CWC27",0.415,96
"T2","Microglia","19","yellow",223,"PECAM1",0.415,96
"T2","Microglia","19","yellow",223,"WWC2",0.413,96
"T2","Microglia","19","yellow",223,"GTPBP10",0.404,95
"T2","Microglia","19","yellow",223,"GTF2B",0.404,95
"T2","Microglia","19","yellow",223,"ST5",0.403,94
"T2","Microglia","19","yellow",223,"EXT2",0.4,94
"T2","Microglia","19","yellow",223,"LTBR",0.397,93
"T2","Microglia","19","yellow",223,"FEM1B",0.397,93
"T2","Microglia","19","yellow",223,"EWSR1",0.392,92
"T2","Microglia","19","yellow",223,"SCIMP",0.391,92
"T2","Microglia","19","yellow",223,"IRF3",0.387,91
"T2","Microglia","19","yellow",223,"SLC25A46",0.382,91
"T2","Microglia","19","yellow",223,"FAM219A",0.368,91
"T2","Microglia","19","yellow",223,"CNTN1",0.361,90
"T2","Microglia","19","yellow",223,"DDX50",0.359,90
"T2","Microglia","19","yellow",223,"SEC13",0.358,89
"T2","Microglia","19","yellow",223,"SEC16A",0.351,88
"T2","Microglia","19","yellow",223,"ARRB1",0.351,89
"T2","Microglia","19","yellow",223,"LMF1",0.347,88
"T2","Microglia","19","yellow",223,"KATNAL2",0.343,87
"T2","Microglia","19","yellow",223,"PCNX4",0.342,87
"T2","Microglia","19","yellow",223,"MAD1L1",0.34,87
"T2","Microglia","19","yellow",223,"ATP11C",0.339,86
"T2","Microglia","19","yellow",223,"EIF3K",0.339,86
"T2","Microglia","19","yellow",223,"MTMR4",0.334,85
"T2","Microglia","19","yellow",223,"MACF1",0.334,85
"T2","Microglia","19","yellow",223,"MAN2C1",0.332,84
"T2","Microglia","19","yellow",223,"GTF2A1",0.328,84
"T2","Microglia","19","yellow",223,"MNAT1",0.327,83
"T2","Microglia","19","yellow",223,"PMEPA1",0.326,83
"T2","Microglia","19","yellow",223,"TYW1B",0.324,82
"T2","Microglia","19","yellow",223,"ZC2HC1A",0.324,82
"T2","Microglia","19","yellow",223,"EFL1",0.323,82
"T2","Microglia","19","yellow",223,"TMEM87B",0.322,81
"T2","Microglia","19","yellow",223,"NIPAL2",0.321,81
"T2","Microglia","19","yellow",223,"NONO",0.316,79
"T2","Microglia","19","yellow",223,"THUMPD2",0.316,80
"T2","Microglia","19","yellow",223,"KPNA5",0.316,80
"T2","Microglia","19","yellow",223,"RPS6KA5",0.315,78
"T2","Microglia","19","yellow",223,"PIKFYVE",0.315,78
"T2","Microglia","19","yellow",223,"TGFBRAP1",0.315,79
"T2","Microglia","19","yellow",223,"DPP8",0.311,77
"T2","Microglia","19","yellow",223,"TSC1",0.311,77
"T2","Microglia","19","yellow",223,"NUP88",0.311,78
"T2","Microglia","19","yellow",223,"TRIM13",0.31,76
"T2","Microglia","19","yellow",223,"PDCD6IP",0.31,76
"T2","Microglia","19","yellow",223,"PROS1",0.309,74
"T2","Microglia","19","yellow",223,"AAMDC",0.309,75
"T2","Microglia","19","yellow",223,"AC008957.1",0.309,75
"T2","Microglia","19","yellow",223,"PEX13",0.308,74
"T2","Microglia","19","yellow",223,"MTURN",0.305,73
"T2","Microglia","19","yellow",223,"SIRT1",0.305,73
"T2","Microglia","19","yellow",223,"CCDC84",0.305,73
"T2","Microglia","19","yellow",223,"SETDB2",0.304,72
