"gene","module","mm"
"CD163","yellow",0.633714379113663
"PVT1","yellow",0.623400480233566
"TMEM163","yellow",0.616546219496127
"HSP90B1","yellow",0.586407044669562
"HSPA5","yellow",0.580792095153708
"CD163L1","yellow",0.576790976793886
"VSIG4","yellow",0.553212882068359
"ERC2","yellow",0.548115522006452
"SH3RF3","yellow",0.547939502419101
"NCK2","yellow",0.542707581151348
"DNAJC3","yellow",0.536476446175865
"DPYD","yellow",0.523140161922311
"BACH1","yellow",0.518530983643016
"SCFD2","yellow",0.517741858035391
"ARHGAP26","yellow",0.511155814434298
"SPATA6","yellow",0.50848377950485
"FAM157C","yellow",0.498250923262791
"PDIA6","yellow",0.49685133419358
"STAB1","yellow",0.483529787189654
"KLHL2","yellow",0.475548019080864
"FAM129A","yellow",0.474664490011479
"PDIA3","yellow",0.471432198507872
"PTPN2","yellow",0.470802909470908
"SND1","yellow",0.463055737011424
"PTPRE","yellow",0.462826731619306
"MARCH1","yellow",0.457907371508423
"AL034397.3","yellow",0.449482768830689
"ADGRG1","yellow",0.445910720401996
"PYGL","yellow",0.432033917320609
"HRH2","yellow",0.419654160878222
"TBC1D8","yellow",0.414723859254919
"TBC1D14","yellow",0.414646755405979
"JAK3","yellow",0.414482356959697
"DENND3","yellow",0.413139788499971
"BCL6","yellow",0.407648279000158
"IARS","yellow",0.402406627545484
"SLC25A37","yellow",0.40044058675479
"SCIN","yellow",0.394412938463627
"SH3PXD2B","yellow",0.385653138744809
"IPCEF1","yellow",0.384001313381375
"LINC01001","yellow",0.379728669706418
"SPTLC2","yellow",0.37552739511657
"PUM3","yellow",0.37435587666824
"TLR2","yellow",0.370946710250839
"ANKRD22","yellow",0.364981449300357
"ATP2A2","yellow",0.360495444812495
"ASCC3","yellow",0.358895088391253
"PIM1","yellow",0.358339758642563
"BIN1","yellow",0.355318537692973
"AC139887.2","yellow",0.352307009853211
"FAM20A","yellow",0.350945047751709
"LAP3","yellow",0.350491434307193
"SEC24D","yellow",0.345885751130779
"TMEM50B","yellow",0.345648339694963
"PHC2","yellow",0.34290577305343
"GRB2","yellow",0.340666519027924
"MIR4435-2HG","yellow",0.33826041700101
"FMN1","yellow",0.335815457399542
"SLC2A5","yellow",0.335405060069846
"DDX21","yellow",0.335226770714129
"RCC1","yellow",0.335129967341378
"ANK2","yellow",0.334770883829669
"AC074327.1","yellow",0.331284251215153
"FCGBP","yellow",0.32975751457862
"LMO2","yellow",0.326723354432534
"FNDC3B","yellow",0.325152245241676
"SP100","yellow",0.323833457523393
"IL17RA","yellow",0.321650830055295
"PMM2","yellow",0.308857094310617
"UGGT2","yellow",0.308780707294778
"P4HB","yellow",0.308315377911255
"RUNX1","yellow",0.307627139481217
"CHST11","yellow",0.304149877737425
"EIF4G3","yellow",0.303519650209689
"XBP1","yellow",0.303286333078286
"IKZF2","yellow",0.302994286543889
"DDX10","yellow",0.300951626441274
"ARHGAP20","yellow",0.298891408634601
"STT3B","yellow",0.298604443644994
"PUS7","yellow",0.298002095388325
"UBE2J1","yellow",0.296855439831559
"TPRG1","yellow",0.293361967221579
"CMSS1","yellow",0.290778002334854
"PRKD3","yellow",0.288727171261325
"SEL1L","yellow",0.285874980687543
"PRKCA","yellow",0.28180819362158
"FGD2","yellow",0.279958509642997
"RNGTT","yellow",0.279929752915517
"CPEB4","yellow",0.27978415839393
"CRELD1","yellow",0.276985524228585
"WNT5A","yellow",0.276619465915714
"CUL1","yellow",0.273435746057543
"ACACA","yellow",0.273356302348555
"JAZF1","yellow",0.272951461614691
"FARSB","yellow",0.269511056102575
"DCAF6","yellow",0.268356932107518
"LARS","yellow",0.266694428326897
"PTK2","yellow",0.26622114329593
"FCGR1B","yellow",0.265918190602926
"FLOT2","yellow",0.263184969657542
"IL4R","yellow",0.262589191287643
"IL21R","yellow",0.261556774685451
"HDAC4","yellow",0.261129517601723
"SEC61A1","yellow",0.260613258547527
"MLEC","yellow",0.259407444875314
"GMDS","yellow",0.259045812094972
"TMED8","yellow",0.257532812830741
"MAP3K20","yellow",0.257215222296437
"DENND1A","yellow",0.257045790279798
"AC096711.2","yellow",0.256915146039955
"UBE2G2","yellow",0.256681059782461
"SIGLEC9","yellow",0.255927293949446
"CRLS1","yellow",0.255778898449465
"E2F3","yellow",0.255771548481734
"SPCS3","yellow",0.255604138547407
"RBMS1","yellow",0.253398739775483
"ITGB3BP","yellow",0.252009640056274
"PSMD14","yellow",0.250580270730004
"SIGLEC10","yellow",0.25035972799832
"ERP44","yellow",0.249864070772786
"FBXL5","yellow",0.249297957437354
"GRAMD1A","yellow",0.249023653628809
"ALOX5","yellow",0.248707498397122
"RBPJ","yellow",0.248688388168393
"VTI1A","yellow",0.248424207478906
"GCA","yellow",0.248024790785029
"FAM208B","yellow",0.247552262624246
"SEC31A","yellow",0.246969735918773
"CBWD5","yellow",0.246690830648898
"SLC1A3","yellow",0.246101857618867
"TTTY14","yellow",0.245885412228293
"WDR43","yellow",0.245792194641003
"MAN1A2","yellow",0.24541756365163
"MRPL3","yellow",0.244716629149898
"SEPT9","yellow",0.244413182492542
"TCF12","yellow",0.243453975932774
"YARS","yellow",0.241490703232142
"OLA1","yellow",0.240960633927951
"GAREM1","yellow",0.240502870288984
"B4GALT5","yellow",0.239431269901561
"ASPH","yellow",0.238796671539446
"EIF2B3","yellow",0.23863902033533
"NLN","yellow",0.236813680340941
"TMEM39A","yellow",0.236724140508357
"SEC63","yellow",0.235481735236685
"NDUFAF2","yellow",0.235335452357736
"FIRRE","yellow",0.234731701538075
"LRP8","yellow",0.234340387765444
"SETBP1","yellow",0.234022175715605
"RGL1","yellow",0.23388439159737
"IBTK","yellow",0.2335273531866
"ZCCHC7","yellow",0.232470339394842
"CEP83","yellow",0.231574396019079
"MTHFD2","yellow",0.229040432081191
"LPP","yellow",0.228620838641569
"SIRPB2","yellow",0.228497177561748
"LYRM4","yellow",0.227708974682601
"AARS","yellow",0.226191306539304
"NUS1","yellow",0.224941925316018
"PACSIN2","yellow",0.224852235687072
"GTDC1","yellow",0.223939744077083
"LARP1B","yellow",0.223621112354742
"POLR1A","yellow",0.222829896710702
"HERPUD1","yellow",0.221466849043719
"UGGT1","yellow",0.221251790057441
"LMAN1","yellow",0.221145154425065
"TRAM1","yellow",0.220671709582307
"MTFR1","yellow",0.220522799186457
"PXN","yellow",0.220338698294728
"POU2F2","yellow",0.218978317001802
"NFATC2","yellow",0.21830364666163
"MFF","yellow",0.217156159575764
"FARS2","yellow",0.2170702664177
"USO1","yellow",0.216426473486179
"TRIM27","yellow",0.215699514524235
"PLAC8","yellow",0.214881662910438
"STK3","yellow",0.214124705698876
"LINC01146","yellow",0.214064202236055
"ERAP1","yellow",0.213695229264856
"ZNF407","yellow",0.211827253263393
"ITGAM","yellow",0.211745971903236
"STEAP3","yellow",0.210970683005598
"XPOT","yellow",0.210778906077703
"RPN2","yellow",0.210510886746199
"MRPS27","yellow",0.210473679760703
"ASAP1","yellow",0.209619296140277
"GAS6","yellow",0.209313573514402
"UTP20","yellow",0.208595428990528
"EMB","yellow",0.208217472943668
"SLC17A9","yellow",0.207425201674233
"XRN2","yellow",0.205721850886278
"SIL1","yellow",0.204691862241592
"ATR","yellow",0.202994088079152
"HCK","yellow",0.202959127401958
"RPS6KC1","yellow",0.202337820174546
"AC012150.1","yellow",0.202090237797778
"PRMT3","yellow",0.200975735086108
"ARHGAP12","yellow",0.200551029006218
"NEK6","yellow",0.199889046141215
"EIF2A","yellow",0.198472060958846
"EPRS","yellow",0.197563348175772
"ANAPC1","yellow",0.19730660907289
"SLC12A9","yellow",0.19720925212451
"PIK3AP1","yellow",0.196831327838962
"TMEM165","yellow",0.196104565776293
"MKNK1","yellow",0.196026777348029
"NLRC5","yellow",0.19597171049631
"RHBDF2","yellow",0.195309635257372
"PDPN","yellow",0.194993464602928
"XRCC4","yellow",0.194718071484374
"CCND1","yellow",0.194623241066829
"LAIR1","yellow",0.19451895153624
"FAM114A1","yellow",0.193399031745936
"ACBD6","yellow",0.191594897533861
"HDHD5","yellow",0.190678439495762
"TTLL11","yellow",0.190159127161953
"LARGE1","yellow",0.189820029988394
"RNF217","yellow",0.18887945880714
"HEATR1","yellow",0.187849167822423
"NETO2","yellow",0.187310076824655
"USP15","yellow",0.187302208313907
"HM13","yellow",0.187219094993586
"CLEC5A","yellow",0.186386880489815
"IPO7","yellow",0.186271874760653
"PRKDC","yellow",0.185404104797582
"FLVCR2","yellow",0.184634299075464
"PNKD","yellow",0.184442028386259
"GARS","yellow",0.184351090368179
"MLXIPL","yellow",0.184324385523648
"CHST15","yellow",0.183946295333171
"TLE4","yellow",0.183730504518532
"P2RY6","yellow",0.183649092909339
"RB1","yellow",0.182520508200172
"UGP2","yellow",0.182202755845662
"KDM4C","yellow",0.181283304336329
"COLGALT1","yellow",0.180926389556396
"EIPR1","yellow",0.180362122800303
"AC098850.3","yellow",0.180320718095074
"C1orf162","yellow",0.179050743976268
"PREP","yellow",0.178830225446553
"TRIM25","yellow",0.178583409224411
"ENOX2","yellow",0.178027719216762
"ATL3","yellow",0.177575633456406
"TAF1D","yellow",0.177229694715426
"GNAQ","yellow",0.176207101743503
"ANKS1A","yellow",0.17619329730958
"CWC27","yellow",0.175417091651883
"ERO1B","yellow",0.174822701326958
"MTMR4","yellow",0.174472699341255
"AGFG1","yellow",0.17401122043002
