"iteration","cell_type","subcluster","module","module_size","gene","module_membership","percentile"
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"APOD",0.706,100
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"PTPRZ1",0.675,100
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"BCAN",0.652,100
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"KCNMB2-AS1",0.648,99
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"GAPDH",0.639,99
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"FTH1",0.633,99
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"CST3",0.61,98
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"CD81",0.607,98
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"OLIG1",0.604,98
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"B2M",0.602,97
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"MARCKS",0.589,97
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"FTL",0.577,97
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"SLC22A17",0.563,96
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"HTRA1",0.525,96
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"PSAP",0.521,95
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"ITM2B",0.519,95
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"AC010127.1",0.516,95
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"ITM2C",0.504,94
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"PLCG2",0.49,94
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"IPO9-AS1",0.489,94
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"HLA-A",0.488,93
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"PHLDA1",0.48,93
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"PLLP",0.475,93
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"S100B",0.47,92
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"RAMP1",0.457,92
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"OLIG2",0.446,91
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"PCSK1N",0.446,91
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"CLU",0.445,91
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"LRP1",0.443,90
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"LINC00486",0.442,90
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"ACTG1",0.44,89
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"SYT11",0.44,90
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"SCG3",0.439,89
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"ATP1A1",0.438,89
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"ACTB",0.437,88
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"Z94057.1",0.432,87
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"PCDH9-AS2",0.432,88
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"MARCKSL1",0.424,87
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"CALM1",0.417,87
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"AL353784.1",0.413,86
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"VCAN",0.408,86
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"HLA-C",0.404,86
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"GPR37L1",0.402,85
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"RPL13",0.4,85
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"EIF1",0.396,85
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"TSC22D1",0.393,84
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"TUBB2B",0.389,84
"T1","Oligodendrocyte_progenitor_cells","7","yellow",277,"RPL15",0.386,83
