"gene","module","mm"
"TUBB2A","yellow",0.881687205248253
"TMSB4X","yellow",0.867575342512196
"BEX1","yellow",0.866404824860808
"UCHL1","yellow",0.858596525516546
"TUBA1B","yellow",0.848369192595133
"DSTN","yellow",0.840138196299672
"PSAP","yellow",0.835041881523079
"STMN2","yellow",0.828955847132882
"PEG10","yellow",0.817977074659694
"NEFL","yellow",0.810695595180162
"PCSK1N","yellow",0.792607694413584
"NEFM","yellow",0.790173504006839
"ITM2B","yellow",0.789424362563083
"PGAM1","yellow",0.786037091764714
"THY1","yellow",0.785400589867764
"EEF1A2","yellow",0.781364808425746
"CALM3","yellow",0.781119106007838
"ALDH1A1","yellow",0.778751678522159
"PEBP1","yellow",0.77796597756528
"GNAS","yellow",0.772936843740956
"ATP5F1B","yellow",0.771934170862007
"NDUFA4","yellow",0.771833319986126
"SYT1","yellow",0.771669913874611
"CKB","yellow",0.761123679760738
"PGRMC1","yellow",0.759734743551456
"SCG2","yellow",0.759620453456276
"DNER","yellow",0.757581823251174
"PKM","yellow",0.755749832324422
"ATP1B1","yellow",0.755217200653633
"UBB","yellow",0.753975217377464
"CD81","yellow",0.753669141089898
"ITM2C","yellow",0.747579762778765
"MDH1","yellow",0.747485271093143
"MAP1B","yellow",0.744702129976471
"ATP6V0E2","yellow",0.740205217829097
"SYT11","yellow",0.739030758851062
"CALM1","yellow",0.737858661239581
"LDHB","yellow",0.737088809908954
"BEX3","yellow",0.736837664498179
"EEF2","yellow",0.729273040166274
"PRDX1","yellow",0.723271164115549
"DDX24","yellow",0.723115022247953
"PINK1","yellow",0.714901214499009
"ATP6V0B","yellow",0.714857984119374
"ATP6V1B2","yellow",0.714043822327637
"SERINC1","yellow",0.711987425939988
"B4GAT1","yellow",0.706105676315563
"SRP14","yellow",0.702988289299956
"RTN3","yellow",0.698271796687229
"CEND1","yellow",0.68784835970593
"TUBB4A","yellow",0.686636140890125
"ATP5IF1","yellow",0.685818663699486
"SLC25A3","yellow",0.68550162559138
"GPX4","yellow",0.684732783300815
"PLD3","yellow",0.684612143763148
"HINT1","yellow",0.680672492071458
"ATP6V1E1","yellow",0.678881180735637
"RPL15","yellow",0.672426406690693
"BEX2","yellow",0.671766248507542
"SAP18","yellow",0.670616004112532
"ACTG1","yellow",0.670215601509344
"PTN","yellow",0.669904166688458
"TMBIM6","yellow",0.668927666218383
"YWHAB","yellow",0.66715234334804
"TUBB2B","yellow",0.665950726479978
"TUBB","yellow",0.661194967437844
"SEC62","yellow",0.66020158577569
"AP2M1","yellow",0.659930987738081
"BEX4","yellow",0.659542359274233
"PPA1","yellow",0.656640741886899
"SERPINE2","yellow",0.656613770661281
"SARAF","yellow",0.655750097262191
"PPIA","yellow",0.655407764051818
"SCG5","yellow",0.654832102025117
"LRPAP1","yellow",0.654528026721684
"PIN1","yellow",0.650858985265687
"TUBA1A","yellow",0.649321500687908
"ADGRG1","yellow",0.648875253344605
"DKK3","yellow",0.644691115637575
"TUBB4B","yellow",0.641945058426502
"REEP5","yellow",0.640881995062629
"HSP90AB1","yellow",0.638932319693351
"EIF1","yellow",0.638252069414813
"MARCKSL1","yellow",0.637142193706606
"NDRG4","yellow",0.634242024646112
"VPS35","yellow",0.630721455553966
"CANX","yellow",0.630674266519095
"ENO2","yellow",0.628336360653315
"CFL1","yellow",0.627957552522335
"RTN4","yellow",0.626982492609205
"MGST3","yellow",0.625265502588478
"CHCHD2","yellow",0.624916772185149
"CFTR","yellow",0.623415848005742
"SCOC","yellow",0.619576695743195
"TPI1","yellow",0.615130489829028
"SARS","yellow",0.61486435754823
"VSNL1","yellow",0.611105785331637
"NLRP1","yellow",0.609603052702214
"SKP1","yellow",0.609534381940622
"SLC25A4","yellow",0.609377614035522
"STMN1","yellow",0.609254212660957
"SOD1","yellow",0.608872716496003
"PPT1","yellow",0.605435957003088
"TUFM","yellow",0.602227166278159
"FAIM2","yellow",0.596874828485134
"IDS","yellow",0.588863801166343
"MAP1A","yellow",0.587353317710365
"SELENOW","yellow",0.585893742999735
"AP002075.1","yellow",0.585794691246619
"RTL8C","yellow",0.584708541953427
"PITHD1","yellow",0.584550492925906
"NTM","yellow",0.583050047600632
"ATP5MPL","yellow",0.58288516267111
