"iteration","cell_type","subcluster","module","module_size","gene","module_membership","percentile"
"T5","Oligodendrocytes","0","yellow",726,"DCC",0.699,100
"T5","Oligodendrocytes","0","yellow",726,"FCHSD2",0.681,100
"T5","Oligodendrocytes","0","yellow",726,"LINC01608",0.66,100
"T5","Oligodendrocytes","0","yellow",726,"LRRC4C",0.616,100
"T5","Oligodendrocytes","0","yellow",726,"LINC00320",0.607,100
"T5","Oligodendrocytes","0","yellow",726,"FYN",0.572,100
"T5","Oligodendrocytes","0","yellow",726,"TNIK",0.572,100
"T5","Oligodendrocytes","0","yellow",726,"ZNF532",0.556,100
"T5","Oligodendrocytes","0","yellow",726,"FNIP2",0.55,99
"T5","Oligodendrocytes","0","yellow",726,"SLC24A2",0.547,99
"T5","Oligodendrocytes","0","yellow",726,"CDH8",0.544,99
"T5","Oligodendrocytes","0","yellow",726,"CDK19",0.541,99
"T5","Oligodendrocytes","0","yellow",726,"TBL1XR1",0.539,99
"T5","Oligodendrocytes","0","yellow",726,"LINC01792",0.53,99
"T5","Oligodendrocytes","0","yellow",726,"AL354809.1",0.526,99
"T5","Oligodendrocytes","0","yellow",726,"KIAA1755",0.521,98
"T5","Oligodendrocytes","0","yellow",726,"PPP1R21",0.52,98
"T5","Oligodendrocytes","0","yellow",726,"ARAP2",0.519,98
"T5","Oligodendrocytes","0","yellow",726,"ZFHX4",0.516,98
"T5","Oligodendrocytes","0","yellow",726,"LRIG1",0.514,98
"T5","Oligodendrocytes","0","yellow",726,"VPS35L",0.511,98
"T5","Oligodendrocytes","0","yellow",726,"NAV1",0.505,98
"T5","Oligodendrocytes","0","yellow",726,"PPP3CA",0.501,97
"T5","Oligodendrocytes","0","yellow",726,"PLXDC2",0.499,97
"T5","Oligodendrocytes","0","yellow",726,"PAN3",0.496,97
"T5","Oligodendrocytes","0","yellow",726,"BACH2",0.493,97
"T5","Oligodendrocytes","0","yellow",726,"SOGA1",0.492,97
"T5","Oligodendrocytes","0","yellow",726,"C1QTNF3-AMACR",0.491,97
"T5","Oligodendrocytes","0","yellow",726,"PKD2",0.488,96
"T5","Oligodendrocytes","0","yellow",726,"PBX1",0.488,97
"T5","Oligodendrocytes","0","yellow",726,"NFIA",0.487,96
"T5","Oligodendrocytes","0","yellow",726,"AL589740.1",0.487,96
"T5","Oligodendrocytes","0","yellow",726,"DPF3",0.486,96
"T5","Oligodendrocytes","0","yellow",726,"RASGRP3",0.474,96
"T5","Oligodendrocytes","0","yellow",726,"HERC1",0.471,96
"T5","Oligodendrocytes","0","yellow",726,"C20orf194",0.467,96
"T5","Oligodendrocytes","0","yellow",726,"ITSN2",0.465,95
"T5","Oligodendrocytes","0","yellow",726,"SYNDIG1",0.465,95
"T5","Oligodendrocytes","0","yellow",726,"DUBR",0.465,96
"T5","Oligodendrocytes","0","yellow",726,"GAREM1",0.464,95
"T5","Oligodendrocytes","0","yellow",726,"PHLPP1",0.459,95
"T5","Oligodendrocytes","0","yellow",726,"SPPL3",0.458,95
"T5","Oligodendrocytes","0","yellow",726,"FOXO3",0.457,95
"T5","Oligodendrocytes","0","yellow",726,"ABCA1",0.456,95
"T5","Oligodendrocytes","0","yellow",726,"ARHGAP24",0.455,94
"T5","Oligodendrocytes","0","yellow",726,"BRAF",0.454,94
"T5","Oligodendrocytes","0","yellow",726,"GRM3",0.451,94
"T5","Oligodendrocytes","0","yellow",726,"KIF2A",0.444,94
"T5","Oligodendrocytes","0","yellow",726,"RCOR3",0.437,94
"T5","Oligodendrocytes","0","yellow",726,"ATL1",0.435,94
"T5","Oligodendrocytes","0","yellow",726,"DEPTOR",0.434,93
"T5","Oligodendrocytes","0","yellow",726,"TENT2",0.434,93
"T5","Oligodendrocytes","0","yellow",726,"NLGN1",0.434,94
"T5","Oligodendrocytes","0","yellow",726,"ARIH1",0.432,93
"T5","Oligodendrocytes","0","yellow",726,"IMMP2L",0.43,93
"T5","Oligodendrocytes","0","yellow",726,"TULP4",0.43,93
"T5","Oligodendrocytes","0","yellow",726,"PELI2",0.43,93
"T5","Oligodendrocytes","0","yellow",726,"STARD9",0.426,92
"T5","Oligodendrocytes","0","yellow",726,"KIF6",0.426,93
"T5","Oligodendrocytes","0","yellow",726,"AUH",0.425,92
"T5","Oligodendrocytes","0","yellow",726,"HIPK2",0.424,92
"T5","Oligodendrocytes","0","yellow",726,"PPP2R5C",0.424,92
"T5","Oligodendrocytes","0","yellow",726,"SRGAP1",0.422,92
"T5","Oligodendrocytes","0","yellow",726,"UBE3C",0.421,92
"T5","Oligodendrocytes","0","yellow",726,"KAT2B",0.419,92
"T5","Oligodendrocytes","0","yellow",726,"SESTD1",0.419,92
"T5","Oligodendrocytes","0","yellow",726,"PCCA",0.418,91
"T5","Oligodendrocytes","0","yellow",726,"RBM26",0.418,91
"T5","Oligodendrocytes","0","yellow",726,"SHTN1",0.418,91
"T5","Oligodendrocytes","0","yellow",726,"MBTD1",0.416,91
"T5","Oligodendrocytes","0","yellow",726,"PLEKHG3",0.416,91
"T5","Oligodendrocytes","0","yellow",726,"TAOK3",0.416,91
"T5","Oligodendrocytes","0","yellow",726,"USP9X",0.415,91
"T5","Oligodendrocytes","0","yellow",726,"UBR5",0.411,90
"T5","Oligodendrocytes","0","yellow",726,"CCNH",0.411,90
"T5","Oligodendrocytes","0","yellow",726,"GPATCH8",0.41,90
"T5","Oligodendrocytes","0","yellow",726,"ANKRD44",0.409,90
"T5","Oligodendrocytes","0","yellow",726,"ELP4",0.408,90
"T5","Oligodendrocytes","0","yellow",726,"BTRC",0.406,90
"T5","Oligodendrocytes","0","yellow",726,"ATG7",0.405,90
"T5","Oligodendrocytes","0","yellow",726,"MLLT10",0.403,89
"T5","Oligodendrocytes","0","yellow",726,"CSMD3",0.402,89
"T5","Oligodendrocytes","0","yellow",726,"CREB3L2",0.402,89
"T5","Oligodendrocytes","0","yellow",726,"GREM1",0.401,89
"T5","Oligodendrocytes","0","yellow",726,"SENP6",0.401,89
"T5","Oligodendrocytes","0","yellow",726,"MARK3",0.401,89
"T5","Oligodendrocytes","0","yellow",726,"FNDC3A",0.401,89
"T5","Oligodendrocytes","0","yellow",726,"ASAP2",0.399,88
"T5","Oligodendrocytes","0","yellow",726,"FIGN",0.398,88
"T5","Oligodendrocytes","0","yellow",726,"ADAM22",0.397,88
"T5","Oligodendrocytes","0","yellow",726,"HLCS",0.397,88
"T5","Oligodendrocytes","0","yellow",726,"TCF4",0.393,88
"T5","Oligodendrocytes","0","yellow",726,"TOM1L2",0.392,88
"T5","Oligodendrocytes","0","yellow",726,"CPEB1",0.392,88
"T5","Oligodendrocytes","0","yellow",726,"ARID2",0.392,88
"T5","Oligodendrocytes","0","yellow",726,"ATP9A",0.391,87
"T5","Oligodendrocytes","0","yellow",726,"ZNF407",0.389,87
"T5","Oligodendrocytes","0","yellow",726,"OSBP2",0.388,87
"T5","Oligodendrocytes","0","yellow",726,"TTC7B",0.388,87
"T5","Oligodendrocytes","0","yellow",726,"ATG2B",0.386,87
"T5","Oligodendrocytes","0","yellow",726,"TMEM161B-AS1",0.386,87
"T5","Oligodendrocytes","0","yellow",726,"RAPGEF2",0.385,87
"T5","Oligodendrocytes","0","yellow",726,"ANXA4",0.384,86
"T5","Oligodendrocytes","0","yellow",726,"MITF",0.384,86
"T5","Oligodendrocytes","0","yellow",726,"ARHGAP23",0.383,86
"T5","Oligodendrocytes","0","yellow",726,"CUEDC1",0.383,86
"T5","Oligodendrocytes","0","yellow",726,"CDH2",0.382,86
"T5","Oligodendrocytes","0","yellow",726,"TMEM260",0.382,86
"T5","Oligodendrocytes","0","yellow",726,"LARGE1",0.381,85
"T5","Oligodendrocytes","0","yellow",726,"SBF2",0.381,85
"T5","Oligodendrocytes","0","yellow",726,"APPBP2",0.381,86
"T5","Oligodendrocytes","0","yellow",726,"SLC16A1-AS1",0.379,85
"T5","Oligodendrocytes","0","yellow",726,"SMARCC1",0.378,85
"T5","Oligodendrocytes","0","yellow",726,"FBN1",0.377,85
"T5","Oligodendrocytes","0","yellow",726,"LINC02241",0.375,85
"T5","Oligodendrocytes","0","yellow",726,"LRBA",0.373,85
"T5","Oligodendrocytes","0","yellow",726,"AC118549.1",0.372,84
"T5","Oligodendrocytes","0","yellow",726,"TMEM135",0.372,84
"T5","Oligodendrocytes","0","yellow",726,"ZBTB44",0.372,84
"T5","Oligodendrocytes","0","yellow",726,"VPS13B",0.371,84
"T5","Oligodendrocytes","0","yellow",726,"FAM69A",0.371,84
"T5","Oligodendrocytes","0","yellow",726,"PHACTR4",0.37,84
"T5","Oligodendrocytes","0","yellow",726,"MICU1",0.369,84
"T5","Oligodendrocytes","0","yellow",726,"NCOA2",0.368,83
"T5","Oligodendrocytes","0","yellow",726,"KMT5B",0.368,84
"T5","Oligodendrocytes","0","yellow",726,"GATAD2B",0.367,83
"T5","Oligodendrocytes","0","yellow",726,"TAOK1",0.367,83
"T5","Oligodendrocytes","0","yellow",726,"BICD1",0.366,83
"T5","Oligodendrocytes","0","yellow",726,"SCAF8",0.366,83
"T5","Oligodendrocytes","0","yellow",726,"MFAP3L",0.365,83
"T5","Oligodendrocytes","0","yellow",726,"RNF38",0.363,82
