"gene","module","mm"
"AC090502.1","yellow",0.658318878203093
"KCNH8","yellow",0.634734369917286
"ANO4","yellow",0.611948063519916
"LINC01608","yellow",0.609239767410519
"AUTS2","yellow",0.59729614232332
"ERBB4","yellow",0.568830263124585
"IL1RAPL1","yellow",0.565950028778074
"CTNND2","yellow",0.555555394477558
"PALM2","yellow",0.55143259674069
"CREB5","yellow",0.545164006253921
"PTK2","yellow",0.5433107319515
"COL4A5","yellow",0.539826735040245
"TMEFF2","yellow",0.530284054381551
"NLGN1","yellow",0.528322299475357
"PTPRD","yellow",0.525110005788658
"ENOSF1","yellow",0.50558551755441
"HHIP","yellow",0.500945821290611
"SLC24A2","yellow",0.497831823945799
"PCDH9","yellow",0.494133335606843
"FRMD5","yellow",0.493670489557121
"MARCH1","yellow",0.490146529686209
"RYR2","yellow",0.487725257934149
"TTLL7","yellow",0.484424778370856
"OPALIN","yellow",0.47613796850789
"SIK3","yellow",0.470408013902179
"PDE8A","yellow",0.470360115105523
"LSAMP","yellow",0.469848986929608
"SVEP1","yellow",0.468729813569711
"ANK2","yellow",0.466268586114632
"ROBO1","yellow",0.46382929576609
"HIPK2","yellow",0.46038000232248
"KCNAB1","yellow",0.460260854626376
"KLHL32","yellow",0.457799742205188
"GREB1L","yellow",0.455588632138057
"NEDD4L","yellow",0.455165731027697
"FNBP1","yellow",0.454096904754384
"TRIM2","yellow",0.451891167199884
"SEPT7","yellow",0.43870638462333
"MIR181A1HG","yellow",0.434110728425686
"PPFIA2","yellow",0.433004658527055
"COBL","yellow",0.432516739001587
"GRAMD2B","yellow",0.431272186652496
"MCAM","yellow",0.429922788388284
"ANK3","yellow",0.410677132622394
"AC105383.1","yellow",0.408697258255277
"EXOC6B","yellow",0.408023507365625
"AL078590.3","yellow",0.402658226080204
"ZNF536","yellow",0.398181797244631
"GRIN2A","yellow",0.394400058878443
"LINC01792","yellow",0.392065482873275
"PLXDC2","yellow",0.388371931158433
"FAM196B","yellow",0.380165013500591
"DLEU2","yellow",0.380064257273821
"CERCAM","yellow",0.379029258666484
"DAPK2","yellow",0.378331928366097
"PTBP2","yellow",0.376142571632456
"PPM1H","yellow",0.375613300905778
"ASTN2","yellow",0.375257327730536
"PHLDB1","yellow",0.374656816107221
"PALM2-AKAP2","yellow",0.373279881504244
"TULP4","yellow",0.372268735731241
"PDE1C","yellow",0.370283028327898
"DUSP10","yellow",0.361396744529807
"TCF12","yellow",0.360955605137836
"LPGAT1","yellow",0.35809995286394
"AL354809.1","yellow",0.357461547383072
"DMD","yellow",0.354044243253064
"ROR1","yellow",0.353526849081021
"PLPPR1","yellow",0.352061857507648
"RGL1","yellow",0.346910439360562
"SH3D19","yellow",0.345786254014235
"TMEM123","yellow",0.338032455145631
"SHTN1","yellow",0.334104856114608
"DOCK4","yellow",0.333037343150198
"PLCL2","yellow",0.332594057397589
"NFASC","yellow",0.320016160290594
"FAT4","yellow",0.318319766511603
"FYN","yellow",0.314867355420789
"ADAMTS14","yellow",0.314533346384538
"CDC42BPA","yellow",0.314128168910471
"PLEKHG3","yellow",0.314043544570447
"PRKCQ","yellow",0.313500593282391
