"iteration","cell_type","subcluster","module","module_size","gene","module_membership","percentile"
"T1","T_cells","18","yellow",516,"RPL28",0.737,100
"T1","T_cells","18","yellow",516,"RPL13",0.72,100
"T1","T_cells","18","yellow",516,"TMSB4X",0.72,100
"T1","T_cells","18","yellow",516,"RPL41",0.716,100
"T1","T_cells","18","yellow",516,"RPS15",0.714,100
"T1","T_cells","18","yellow",516,"RPL7A",0.704,100
"T1","T_cells","18","yellow",516,"RPS19",0.7,99
"T1","T_cells","18","yellow",516,"RPL10",0.697,99
"T1","T_cells","18","yellow",516,"S100A4",0.687,99
"T1","T_cells","18","yellow",516,"RPLP1",0.683,99
"T1","T_cells","18","yellow",516,"RPL18",0.658,99
"T1","T_cells","18","yellow",516,"RPL3",0.638,98
"T1","T_cells","18","yellow",516,"B2M",0.636,98
"T1","T_cells","18","yellow",516,"TMSB10",0.636,98
"T1","T_cells","18","yellow",516,"RPS4X",0.633,98
"T1","T_cells","18","yellow",516,"RPS3",0.632,98
"T1","T_cells","18","yellow",516,"EEF1A1",0.629,97
"T1","T_cells","18","yellow",516,"NKG7",0.629,97
"T1","T_cells","18","yellow",516,"HLA-B",0.616,97
"T1","T_cells","18","yellow",516,"RPS14",0.614,97
"T1","T_cells","18","yellow",516,"RPS2",0.613,97
"T1","T_cells","18","yellow",516,"TXNRD1",0.612,96
"T1","T_cells","18","yellow",516,"ARMC9",0.599,96
"T1","T_cells","18","yellow",516,"RPL11",0.598,96
"T1","T_cells","18","yellow",516,"RPL13A",0.593,96
"T1","T_cells","18","yellow",516,"ACTB",0.589,96
"T1","T_cells","18","yellow",516,"RPL19",0.588,95
"T1","T_cells","18","yellow",516,"RPS5",0.581,95
"T1","T_cells","18","yellow",516,"RPL14",0.574,95
"T1","T_cells","18","yellow",516,"RPS23",0.571,95
"T1","T_cells","18","yellow",516,"HLA-A",0.566,95
"T1","T_cells","18","yellow",516,"FAU",0.564,94
"T1","T_cells","18","yellow",516,"CCL5",0.56,94
"T1","T_cells","18","yellow",516,"RPS12",0.557,94
"T1","T_cells","18","yellow",516,"RPL10A",0.556,94
"T1","T_cells","18","yellow",516,"RPS7",0.554,94
"T1","T_cells","18","yellow",516,"RPL36",0.552,94
"T1","T_cells","18","yellow",516,"RPS9",0.547,93
"T1","T_cells","18","yellow",516,"RPL6",0.546,93
"T1","T_cells","18","yellow",516,"RPS18",0.546,93
"T1","T_cells","18","yellow",516,"RPLP2",0.544,93
"T1","T_cells","18","yellow",516,"RPS8",0.54,93
"T1","T_cells","18","yellow",516,"RPL32",0.539,92
"T1","T_cells","18","yellow",516,"RPS27A",0.535,92
"T1","T_cells","18","yellow",516,"FTL",0.534,92
"T1","T_cells","18","yellow",516,"HLA-C",0.532,92
"T1","T_cells","18","yellow",516,"RPL15",0.531,92
"T1","T_cells","18","yellow",516,"RPSA",0.53,91
"T1","T_cells","18","yellow",516,"RPL29",0.524,91
"T1","T_cells","18","yellow",516,"RPL8",0.519,91
"T1","T_cells","18","yellow",516,"SERF2",0.518,91
"T1","T_cells","18","yellow",516,"UBA52",0.518,91
"T1","T_cells","18","yellow",516,"RPL30",0.515,90
"T1","T_cells","18","yellow",516,"S100A6",0.513,90
"T1","T_cells","18","yellow",516,"RPS29",0.513,90
"T1","T_cells","18","yellow",516,"RPS28",0.504,90
"T1","T_cells","18","yellow",516,"RPLP0",0.502,90
"T1","T_cells","18","yellow",516,"RPS27",0.499,89
"T1","T_cells","18","yellow",516,"ZNF90",0.495,89
"T1","T_cells","18","yellow",516,"HCST",0.495,89
"T1","T_cells","18","yellow",516,"PTMA",0.49,89
"T1","T_cells","18","yellow",516,"RPS24",0.487,89
"T1","T_cells","18","yellow",516,"AMBRA1",0.481,88
"T1","T_cells","18","yellow",516,"TPT1",0.472,88
"T1","T_cells","18","yellow",516,"HLA-E",0.464,88
"T1","T_cells","18","yellow",516,"SH3BGRL3",0.463,88
"T1","T_cells","18","yellow",516,"RPL27A",0.463,88
"T1","T_cells","18","yellow",516,"RPS16",0.462,87
"T1","T_cells","18","yellow",516,"PFN1",0.462,87
"T1","T_cells","18","yellow",516,"CD52",0.459,87
"T1","T_cells","18","yellow",516,"XPO5",0.459,87
"T1","T_cells","18","yellow",516,"RPS6",0.454,87
"T1","T_cells","18","yellow",516,"RPS25",0.451,87
"T1","T_cells","18","yellow",516,"CST7",0.448,86
"T1","T_cells","18","yellow",516,"RPS15A",0.447,86
"T1","T_cells","18","yellow",516,"RPS11",0.447,86
"T1","T_cells","18","yellow",516,"RACK1",0.445,86
"T1","T_cells","18","yellow",516,"CYBA",0.432,86
"T1","T_cells","18","yellow",516,"OST4",0.431,85
"T1","T_cells","18","yellow",516,"TOMM7",0.43,85
"T1","T_cells","18","yellow",516,"RPL23A",0.429,85
"T1","T_cells","18","yellow",516,"EMP3",0.426,85
"T1","T_cells","18","yellow",516,"ATP5MC2",0.426,85
"T1","T_cells","18","yellow",516,"MYL12A",0.424,84
"T1","T_cells","18","yellow",516,"BAIAP2L1",0.421,84
"T1","T_cells","18","yellow",516,"VIM",0.417,84
"T1","T_cells","18","yellow",516,"CALM1",0.415,84
"T1","T_cells","18","yellow",516,"HIST1H4C",0.413,84
"T1","T_cells","18","yellow",516,"RPL35A",0.409,83
"T1","T_cells","18","yellow",516,"RPL5",0.406,83
"T1","T_cells","18","yellow",516,"BTG1",0.405,83
"T1","T_cells","18","yellow",516,"GZMH",0.402,83
"T1","T_cells","18","yellow",516,"APOO",0.394,83
"T1","T_cells","18","yellow",516,"S100A11",0.389,82
"T1","T_cells","18","yellow",516,"AC010894.3",0.389,82
"T1","T_cells","18","yellow",516,"RPL36AL",0.388,82
"T1","T_cells","18","yellow",516,"CD37",0.388,82
"T1","T_cells","18","yellow",516,"RPS13",0.385,81
"T1","T_cells","18","yellow",516,"IL32",0.385,82
"T1","T_cells","18","yellow",516,"ACTG1",0.379,81
"T1","T_cells","18","yellow",516,"CFL1",0.376,81
"T1","T_cells","18","yellow",516,"TXNIP",0.375,81
"T1","T_cells","18","yellow",516,"RPL27",0.374,81
"T1","T_cells","18","yellow",516,"RPL23",0.373,80
"T1","T_cells","18","yellow",516,"PLCG2",0.371,80
"T1","T_cells","18","yellow",516,"RAC2",0.37,80
"T1","T_cells","18","yellow",516,"PHB2",0.369,80
"T1","T_cells","18","yellow",516,"GAPDH",0.367,80
"T1","T_cells","18","yellow",516,"GZMA",0.367,80
"T1","T_cells","18","yellow",516,"CTSW",0.363,79
"T1","T_cells","18","yellow",516,"RPL34",0.357,79
"T1","T_cells","18","yellow",516,"SPCS1",0.357,79
"T1","T_cells","18","yellow",516,"RPL38",0.356,79
"T1","T_cells","18","yellow",516,"OOEP",0.353,79
"T1","T_cells","18","yellow",516,"TSPO",0.349,78
"T1","T_cells","18","yellow",516,"GNAI2",0.348,78
"T1","T_cells","18","yellow",516,"GIMAP7",0.348,78
"T1","T_cells","18","yellow",516,"ATP5F1D",0.347,78
"T1","T_cells","18","yellow",516,"HOPX",0.345,78
"T1","T_cells","18","yellow",516,"LY6E",0.337,77
"T1","T_cells","18","yellow",516,"EIF3K",0.337,77
"T1","T_cells","18","yellow",516,"RPL35",0.336,77
